"cell_line_id","target_name","uniprot_id","ensg_id"
1793,"EMC8","O43402","ENSG00000131148"
1794,"EMC9","Q9Y3B6","ENSG00000100908"
1796,"TMCO1","Q9UM00","ENSG00000143183"
1797,"TMEM147","Q9BVK8","ENSG00000105677"
1798,"ENY2","Q9NPA8","ENSG00000120533"
1800,"MCM10","Q7L590","ENSG00000065328"
1803,"RAD17","O75943","ENSG00000276618"
1806,"ATG101","Q9BSB4","ENSG00000123395"
1807,"ATG12","O94817","ENSG00000145782"
1808,"ATG13","O75143","ENSG00000175224"
1809,"ATG3","Q9NT62","ENSG00000144848"
1810,"ATG4B","Q9Y4P1","ENSG00000168397"
1813,"ATG7","O95352","ENSG00000197548"
1814,"ATG2A","Q2TAZ0","ENSG00000110046"
1815,"ATG2B","Q96BY7","ENSG00000066739"
1817,"ATG14","Q6ZNE5","ENSG00000126775"
1818,"FTH1","P02794","ENSG00000167996"
1821,"PNPLA2","Q96AD5","ENSG00000177666"
1822,"NCAPH","Q15003","ENSG00000121152"
1824,"ZNF598","Q86UK7","ENSG00000167962"
1825,"NEMF","O60524","ENSG00000165525"
1826,"TCF25","Q9BQ70","ENSG00000141002"
1827,"USP7","Q93009","ENSG00000187555"
1828,"RING1","Q06587","ENSG00000231115"
1829,"INTS14","Q96SY0","ENSG00000138614"
1830,"ACTR5","Q9H9F9","ENSG00000101442"
1831,"TMEM63B","Q5T3F8","ENSG00000137216"
1832,"NUF2","Q9BZD4","ENSG00000143228"
1833,"HMGN2","P05204","ENSG00000198830"
1834,"HNRNPC","P07910","ENSG00000092199"
1835,"H2AZ1","P0C0S5","ENSG00000164032"
1836,"HNRNPD","Q14103","ENSG00000138668"
1837,"HNRNPU","Q00839","ENSG00000153187"
1838,"AP2B1","P63010","ENSG00000006125"
1909,"FAM50B","Q9Y247","ENSG00000145945"
1910,"SEC24D","O94855","ENSG00000150961"
1912,"RBM15","Q96T37","ENSG00000162775"
1916,"SRI","P30626","ENSG00000075142"
1917,"ATP6AP1","Q15904","ENSG00000071553"
1919,"SLC4A2","P04920","ENSG00000164889"
1920,"SBDS","Q9Y3A5","ENSG00000126524"
1921,"GRK2","P25098","ENSG00000173020"
1922,"SEPTIN5","Q99719","ENSG00000184702"
1924,"ATP6V1D","Q9Y5K8","ENSG00000100554"
1926,"ANKRD54","Q6NXT1","ENSG00000100124"
1928,"GTF2F1","P35269","ENSG00000125651"
1929,"PATZ1","Q9HBE1","ENSG00000100105"
1930,"CCDC86","Q9H6F5","ENSG00000110104"
1931,"ATP6V1E1","P36543","ENSG00000131100"
1933,"PSMD10","O75832","ENSG00000101843"
1934,"RPP30","P78346","ENSG00000148688"
1935,"SVIL","O95425","ENSG00000197321"
1936,"EMC10","Q5UCC4","ENSG00000161671"
1939,"HUS1","O60921","ENSG00000136273"
1942,"BECN1","Q14457","ENSG00000126581"
1839,"SFPQ","P23246","ENSG00000116560"
1840,"RBMX","P38159","ENSG00000147274"
1841,"RBBP4","Q09028","ENSG00000162521"
1842,"NUCKS1","Q9H1E3","ENSG00000069275"
1843,"HMGA1","P17096","ENSG00000137309"
1844,"AMBRA1","Q9C0C7","ENSG00000110497"
1846,"CCZ1B","P86790","ENSG00000146574"
1849,"KEAP1","Q14145","ENSG00000079999"
1850,"MFSD12","Q6NUT3","ENSG00000161091"
1852,"SPNS1","Q9H2V7","ENSG00000169682"
1853,"TOLLIP","Q9H0E2","ENSG00000078902"
1854,"UVRAG","Q9P2Y5","ENSG00000198382"
1855,"VMP1","Q96GC9","ENSG00000062716"
1857,"VPS16","Q9H269","ENSG00000215305"
1858,"VPS18","Q9P253","ENSG00000104142"
1859,"VPS33A","Q96AX1","ENSG00000139719"
1860,"VPS41","P49754","ENSG00000006715"
1861,"VPS39","Q96JC1","ENSG00000166887"
1863,"TRMT1L","Q7Z2T5","ENSG00000121486"
1864,"SPG21","Q9NZD8","ENSG00000090487"
1866,"C12orf57","Q99622","ENSG00000111678"
1868,"TMEM208","Q9BTX3","ENSG00000168701"
1871,"INTS5","Q6P9B9","ENSG00000185085"
109,"PSMA3","P25788","ENSG00000100567"
110,"PSMG1","O95456","ENSG00000183527"
111,"PSMA6","P60900","ENSG00000100902"
112,"PSMC5","P62195","ENSG00000087191"
113,"PSMA2","P25787","ENSG00000106588"
114,"PSMF1","Q92530","ENSG00000125818"
115,"PSMA1","P25786","ENSG00000129084"
116,"PSMC2","P35998","ENSG00000161057"
117,"PSMD6","Q15008","ENSG00000163636"
118,"PSMA5","P28066","ENSG00000143106"
119,"PSMD3","O43242","ENSG00000108344"
120,"PSMD7","P51665","ENSG00000103035"
121,"PSMD13","Q9UNM6","ENSG00000185627"
123,"PSMD11","O00231","ENSG00000108671"
124,"PSMC4","P43686","ENSG00000013275"
125,"PSMD12","O00232","ENSG00000197170"
126,"PSMB2","P49721","ENSG00000126067"
127,"PSMD1","Q99460","ENSG00000173692"
128,"PSMC6","P62333","ENSG00000100519"
129,"PSMG3","Q9BT73","ENSG00000157778"
130,"PSMD9","O00233","ENSG00000110801"
133,"PSME2","Q9UL46","ENSG00000100911"
134,"PSMC3IP","Q9P2W1","ENSG00000131470"
135,"PSME1","Q06323","ENSG00000092010"
137,"PSMG4","Q5JS54","ENSG00000180822"
138,"PSME4","Q14997","ENSG00000068878"
139,"PSMG2","Q969U7","ENSG00000128789"
140,"INPPL1","O15357","ENSG00000165458"
141,"PIP5K1A","Q99755","ENSG00000143398"
142,"PI4KB","Q9UBF8","ENSG00000143393"
143,"BPNT1","O95861","ENSG00000162813"
144,"MTMR1","Q13613","ENSG00000063601"
145,"PI4KA","P42356","ENSG00000241973"
146,"PIK3R2","O00459","ENSG00000105647"
147,"MTMR2","Q13614","ENSG00000087053"
148,"PIK3C2A","O00443","ENSG00000011405"
149,"CANX","P27824","ENSG00000283777"
150,"OCRL","Q01968","ENSG00000122126"
152,"PIP4P1","Q86T03","ENSG00000165782"
154,"PIP4K2A","P48426","ENSG00000150867"
156,"PIP4K2B","P78356","ENSG00000276293"
157,"INPP4A","Q96PE3","ENSG00000040933"
158,"PIP4K2C","Q8TBX8","ENSG00000166908"
162,"INPP5K","Q9BT40","ENSG00000132376"
164,"INPP5E","Q9NRR6","ENSG00000148384"
167,"PIP5K1C","O60331","ENSG00000186111"
168,"PIK3C3","Q8NEB9","ENSG00000078142"
169,"IMPA2","O14732","ENSG00000141401"
170,"PLD2","O14939","ENSG00000129219"
172,"PI4K2A","Q9BTU6","ENSG00000155252"
173,"PIKFYVE","Q9Y2I7","ENSG00000115020"
175,"NUP153","P49790","ENSG00000124789"
178,"OSTC","Q9NRP0","ENSG00000198856"
179,"KRTCAP2","Q8N6L1","ENSG00000163463"
180,"DDOST","P39656","ENSG00000244038"
181,"STT3A","P46977","ENSG00000134910"
182,"STT3B","Q8TCJ2","ENSG00000163527"
183,"RPN1","P04843","ENSG00000163902"
184,"RPN2","P04844","ENSG00000118705"
185,"OST4","P0C6T2","ENSG00000228474"
186,"DAD1","P61803","ENSG00000129562"
187,"ACLY","P53396","ENSG00000131473"
188,"CEP170","Q5SW79","ENSG00000143702"
191,"CEP250","Q9BV73","ENSG00000126001"
193,"CEP78","Q5JTW2","ENSG00000148019"
194,"CEP85","Q6P2H3","ENSG00000130695"
196,"CEP131","Q9UPN4","ENSG00000141577"
198,"CEP350","Q5VT06","ENSG00000135837"
199,"CEP72","Q9P209","ENSG00000112877"
200,"CEP164","Q9UPV0","ENSG00000110274"
202,"CEP135","Q66GS9","ENSG00000174799"
204,"CEP192","Q8TEP8","ENSG00000101639"
205,"CETN2","P41208","ENSG00000147400"
206,"CETN3","O15182","ENSG00000153140"
207,"CCT2","P78371","ENSG00000166226"
208,"CCT3","P49368","ENSG00000163468"
209,"CCT4","P50991","ENSG00000115484"
210,"CCT5","P48643","ENSG00000150753"
211,"CCT6A","P40227","ENSG00000146731"
212,"CCT7","Q99832","ENSG00000135624"
213,"CCT8","P50990","ENSG00000156261"
214,"PPP2CA","P67775","ENSG00000113575"
215,"PPP2CB","P62714","ENSG00000104695"
216,"CDC23","Q9UJX2","ENSG00000094880"
219,"ANAPC11","Q9NYG5","ENSG00000141552"
222,"ANAPC16","Q96DE5","ENSG00000166295"
223,"ANAPC2","Q9UJX6","ENSG00000176248"
224,"ANAPC4","Q9UJX5","ENSG00000053900"
227,"CDC16","Q13042","ENSG00000130177"
228,"CDC20","Q12834","ENSG00000117399"
229,"CDC26","Q8NHZ8","ENSG00000176386"
230,"BUB1B","O60566","ENSG00000156970"
232,"CDC27","P30260","ENSG00000004897"
233,"MED21","Q13503","ENSG00000152944"
234,"MED24","O75448","ENSG00000008838"
235,"MED10","Q9BTT4","ENSG00000133398"
236,"MED6","O75586","ENSG00000133997"
237,"MED8","Q96G25","ENSG00000159479"
238,"MED17","Q9NVC6","ENSG00000042429"
239,"MED18","Q9BUE0","ENSG00000130772"
240,"MED20","Q9H944","ENSG00000124641"
243,"MED28","Q9H204","ENSG00000118579"
244,"MED15","Q96RN5","ENSG00000099917"
245,"MED25","Q71SY5","ENSG00000104973"
246,"MED14","O60244","ENSG00000180182"
247,"MED31","Q9Y3C7","ENSG00000108590"
248,"MED19","A0JLT2","ENSG00000156603"
249,"MED4","Q9NPJ6","ENSG00000136146"
250,"MED11","Q9P086","ENSG00000161920"
251,"MED22","Q15528","ENSG00000148297"
252,"MED27","Q6P2C8","ENSG00000160563"
253,"MED9","Q9NWA0","ENSG00000141026"
254,"MED29","Q9NX70","ENSG00000063322"
259,"VHL","P40337","ENSG00000134086"
260,"VPS4A","Q9UN37","ENSG00000132612"
261,"SNX8","Q9Y5X2","ENSG00000106266"
262,"CCDC22","O60826","ENSG00000101997"
263,"CCDC93","Q567U6","ENSG00000125633"
264,"RANBP1","P43487","ENSG00000099901"
266,"COMMD1","Q8N668","ENSG00000173163"
267,"COMMD2","Q86X83","ENSG00000114744"
268,"COMMD4","Q9H0A8","ENSG00000140365"
269,"COMMD6","Q7Z4G1","ENSG00000188243"
272,"HMGCS1","Q01581","ENSG00000112972"
274,"MVK","Q03426","ENSG00000110921"
275,"PMVK","Q15126","ENSG00000163344"
276,"MVD","P53602","ENSG00000167508"
277,"IDI1","Q13907","ENSG00000067064"
278,"FDPS","P14324","ENSG00000160752"
279,"GGPS1","O95749","ENSG00000152904"
282,"SEC14L1","Q92503","ENSG00000129657"
283,"LSS","P48449","ENSG00000160285"
284,"CYP51A1","Q16850","ENSG00000001630"
287,"CYB5R3","P00387","ENSG00000100243"
288,"NSDHL","Q15738","ENSG00000147383"
289,"EBP","Q15125","ENSG00000147155"
290,"SC5D","O75845","ENSG00000109929"
292,"DHCR24","Q15392","ENSG00000116133"
293,"SPTLC2","O15270","ENSG00000100596"
294,"KDSR","Q06136","ENSG00000119537"
299,"DEGS1","O15121","ENSG00000143753"
311,"SGPL1","O95470","ENSG00000166224"
314,"FASN","P49327","ENSG00000169710"
315,"ELOVL1","Q9BW60","ENSG00000066322"
318,"ELOVL5","Q9NYP7","ENSG00000012660"
319,"ELOVL6","Q9H5J4","ENSG00000170522"
321,"SCD","O00767","ENSG00000099194"
322,"SCD5","Q86SK9","ENSG00000145284"
326,"GPAT3","Q53EU6","ENSG00000138678"
327,"GPAT4","Q86UL3","ENSG00000158669"
328,"AGPAT2","O15120","ENSG00000169692"
332,"UBB","P0CG47","ENSG00000170315"
333,"LPCAT1","Q8NF37","ENSG00000153395"
334,"LPCAT2","Q7L5N7","ENSG00000087253"
337,"MBOAT2","Q6ZWT7","ENSG00000143797"
338,"MBOAT7","Q96N66","ENSG00000278322"
340,"PLPP1","O14494","ENSG00000067113"
344,"CDS1","Q92903","ENSG00000163624"
345,"CDS2","O95674","ENSG00000101290"
346,"CEPT1","Q9Y6K0","ENSG00000134255"
347,"CDIPT","O14735","ENSG00000103502"
348,"CHPT1","Q8WUD6","ENSG00000111666"
349,"PTDSS1","P48651","ENSG00000156471"
350,"PTDSS2","Q9BVG9","ENSG00000174915"
352,"PLA2G4A","P47712","ENSG00000116711"
354,"ORAI1","Q96D31","ENSG00000276045"
355,"STIM1","Q13586","ENSG00000167323"
356,"ITPR3","Q14573","ENSG00000096433"
357,"CALM1","P0DP23","ENSG00000198668"
359,"GDI1","P31150","ENSG00000203879"
360,"GDI2","P50395","ENSG00000057608"
362,"MAP1LC3B","Q9GZQ8","ENSG00000140941"
363,"SYVN1","Q86TM6","ENSG00000162298"
364,"VCP","P55072","ENSG00000165280"
366,"ATL2","Q8NHH9","ENSG00000119787"
367,"ATL3","Q6DD88","ENSG00000184743"
368,"BCAP31","P51572","ENSG00000185825"
370,"ERG28","Q9UKR5","ENSG00000133935"
371,"C14orf119","Q9NWQ9","ENSG00000179933"
375,"C18orf21","Q32NC0","ENSG00000141428"
378,"FAM174C","Q9BVV8","ENSG00000228300"
380,"TRIR","Q9BQ61","ENSG00000123144"
381,"C19orf53","Q9UNZ5","ENSG00000104979"
383,"CZIB","Q9NWV4","ENSG00000162384"
385,"CFAP298","P57076","ENSG00000159079"
387,"C7orf50","Q9BRJ6","ENSG00000146540"
391,"C8orf33","Q9H7E9","ENSG00000182307"
393,"RBIS","Q8N0T1","ENSG00000176731"
395,"C9orf16","Q9BUW7","ENSG00000171159"
398,"CD63","P08962","ENSG00000135404"
399,"CD81","P60033","ENSG00000110651"
400,"CD9","P21926","ENSG00000010278"
401,"CLTA","P09496","ENSG00000122705"
402,"CLTB","P09497","ENSG00000175416"
403,"CLTC","Q00610","ENSG00000141367"
404,"CERT1","Q9Y5P4","ENSG00000113163"
405,"ESYT1","Q9BSJ8","ENSG00000139641"
408,"MTOR","P42345","ENSG00000198793"
412,"OSBP","P22059","ENSG00000110048"
413,"OSBPL11","Q9BXB4","ENSG00000144909"
414,"OSBPL8","Q9BZF1","ENSG00000091039"
415,"RAB10","P61026","ENSG00000084733"
416,"RAB11A","P62491","ENSG00000103769"
417,"RAB11B","Q15907","ENSG00000185236"
419,"RAB13","P51153","ENSG00000143545"
420,"RAB14","P61106","ENSG00000119396"
421,"RAB18","Q9NP72","ENSG00000099246"
422,"RAB1A","P62820","ENSG00000138069"
423,"RAB1B","Q9H0U4","ENSG00000174903"
425,"RAB23","Q9ULC3","ENSG00000112210"
426,"RAB24","Q969Q5","ENSG00000169228"
428,"RAB29","O14966","ENSG00000117280"
429,"RAB2A","P61019","ENSG00000104388"
430,"RAB2B","Q8WUD1","ENSG00000129472"
433,"RAB35","Q15286","ENSG00000111737"
434,"RAB3D","O95716","ENSG00000105514"
435,"RAB3GAP2","Q9H2M9","ENSG00000118873"
438,"RAB5A","P20339","ENSG00000144566"
439,"RAB5B","P61020","ENSG00000111540"
440,"RAB6B","Q9NRW1","ENSG00000154917"
441,"RAB7A","P51149","ENSG00000075785"
442,"RAB8B","Q92930","ENSG00000166128"
443,"RAB9A","P51151","ENSG00000123595"
444,"RABAC1","Q9UI14","ENSG00000105404"
445,"RABEP1","Q15276","ENSG00000029725"
446,"RABEPK","Q7Z6M1","ENSG00000136933"
447,"RABGAP1","Q9Y3P9","ENSG00000011454"
448,"RABGAP1L","Q5R372","ENSG00000152061"
449,"RABGGTA","Q92696","ENSG00000100949"
450,"RABGGTB","P53611","ENSG00000137955"
451,"RABIF","P47224","ENSG00000183155"
452,"RABL3","Q5HYI8","ENSG00000144840"
453,"RHEB","Q15382","ENSG00000106615"
454,"RTN4","Q9NQC3","ENSG00000115310"
456,"SEC61B","P60468","ENSG00000106803"
458,"SPTLC1","O15269","ENSG00000090054"
460,"VAPA","Q9P0L0","ENSG00000101558"
461,"VAPB","O95292","ENSG00000124164"
462,"YWHAB","P31946","ENSG00000166913"
463,"YWHAE","P62258","ENSG00000108953"
464,"YWHAG","P61981","ENSG00000170027"
465,"YWHAH","Q04917","ENSG00000128245"
466,"YWHAQ","P27348","ENSG00000134308"
467,"YWHAZ","P63104","ENSG00000164924"
468,"TRAPPC1","Q9Y5R8","ENSG00000170043"
469,"MIS12","Q9H081","ENSG00000167842"
471,"TRAPPC11","Q7Z392","ENSG00000168538"
473,"TRAPPC2","P0DI81","ENSG00000196459"
479,"KRAS","P01116","ENSG00000133703"
483,"ARL1","P40616","ENSG00000120805"
485,"ARL13B","Q3SXY8","ENSG00000169379"
490,"ARL2","P36404","ENSG00000213465"
491,"ARL3","P36405","ENSG00000138175"
495,"ARL8A","Q96BM9","ENSG00000143862"
496,"ARL8B","Q9NVJ2","ENSG00000134108"
498,"ARL6","Q9H0F7","ENSG00000113966"
499,"ARL14EP","Q8N8R7","ENSG00000152219"
500,"ARL2BP","Q9Y2Y0","ENSG00000102931"
501,"ARL6IP4","Q66PJ3","ENSG00000182196"
502,"ARL6IP5","O75915","ENSG00000144746"
503,"ARL6IP6","Q8N6S5","ENSG00000177917"
504,"APPL1","Q9UKG1","ENSG00000157500"
505,"ACTR2","P61160","ENSG00000138071"
508,"ARPC3","O15145","ENSG00000111229"
509,"BCAR1","P56945","ENSG00000285460"
510,"BIN1","O00499","ENSG00000136717"
512,"CALM2","P0DP24","ENSG00000143933"
513,"CALM3","P0DP25","ENSG00000160014"
514,"CDC42","P60953","ENSG00000070831"
518,"CHEK1","O14757","ENSG00000149554"
519,"CORO1B","Q9BR76","ENSG00000172725"
520,"CORO1C","Q9ULV4","ENSG00000110880"
521,"CTTN","Q14247","ENSG00000288401"
522,"DBNL","Q9UJU6","ENSG00000136279"
523,"DNM1","Q05193","ENSG00000106976"
524,"DNM2","P50570","ENSG00000079805"
525,"EPN1","Q9Y6I3","ENSG00000063245"
526,"EPN2","O95208","ENSG00000072134"
527,"EPS15","P42566","ENSG00000085832"
528,"FNBP1","Q96RU3","ENSG00000187239"
529,"GAK","O14976","ENSG00000178950"
530,"GRB2","P62993","ENSG00000177885"
531,"HIP1","O00291","ENSG00000127946"
533,"EEA1","Q15075","ENSG00000102189"
534,"MAP4K4","O95819","ENSG00000071054"
535,"MYO1E","Q12965","ENSG00000157483"
536,"NCK1","P16333","ENSG00000158092"
537,"NCKAP1","Q9Y2A7","ENSG00000061676"
538,"NECAP1","Q8NC96","ENSG00000089818"
539,"NECAP2","Q9NVZ3","ENSG00000157191"
540,"PACSIN2","Q9UNF0","ENSG00000100266"
541,"PAK1","Q13153","ENSG00000149269"
542,"PAK2","Q13177","ENSG00000180370"
543,"PICALM","Q13492","ENSG00000073921"
545,"PXN","P49023","ENSG00000089159"
546,"SNX9","Q9Y5X1","ENSG00000130340"
549,"WASF1","Q92558","ENSG00000112290"
550,"WASF2","Q9Y6W5","ENSG00000158195"
551,"WIPF2","Q8TF74","ENSG00000171475"
552,"WWOX","Q9NZC7","ENSG00000186153"
553,"RBSN","Q9H1K0","ENSG00000131381"
556,"ARHGAP21","Q5T5U3","ENSG00000107863"
558,"ARHGAP35","Q9NRY4","ENSG00000160007"
560,"ARHGAP8","P85298","ENSG00000241484"
561,"CHN1","P15882","ENSG00000128656"
563,"DEPDC1B","Q8WUY9","ENSG00000035499"
565,"MYO9A","B2RTY4","ENSG00000066933"
566,"ARHGEF12","Q9NZN5","ENSG00000196914"
567,"ARHGEF18","Q6ZSZ5","ENSG00000104880"
573,"DOCK7","Q96N67","ENSG00000116641"
575,"ECT2","Q9H8V3","ENSG00000114346"
576,"FARP1","Q9Y4F1","ENSG00000152767"
578,"ITSN1","Q15811","ENSG00000205726"
579,"ITSN2","Q9NZM3","ENSG00000198399"
580,"NET1","Q7Z628","ENSG00000173848"
583,"TIAM1","Q13009","ENSG00000156299"
585,"RHOB","P62745","ENSG00000143878"
587,"RHOC","P08134","ENSG00000155366"
588,"RND3","P61587","ENSG00000115963"
590,"ARHGAP1","Q07960","ENSG00000175220"
591,"ARHGAP11A","Q6P4F7","ENSG00000275568"
592,"ARHGAP17","Q68EM7","ENSG00000140750"
595,"MYO9B","Q13459","ENSG00000099331"
596,"PIK3R1","P27986","ENSG00000145675"
598,"RALBP1","Q15311","ENSG00000017797"
599,"AKAP13","Q12802","ENSG00000170776"
602,"ARHGEF7","Q14155","ENSG00000102606"
603,"DOCK11","Q5JSL3","ENSG00000147251"
604,"SOS1","Q07889","ENSG00000115904"
605,"ABR","Q12979","ENSG00000278741"
607,"RAC1","P63000","ENSG00000136238"
608,"RAC3","P60763","ENSG00000169750"
609,"RHOA","P61586","ENSG00000067560"
611,"RHOG","P84095","ENSG00000177105"
613,"MYL12B","O14950","ENSG00000118680"
614,"VASP","P50552","ENSG00000125753"
615,"DIAPH1","O60610","ENSG00000131504"
618,"AKT1","P31749","ENSG00000142208"
619,"PFN1","P07737","ENSG00000108518"
621,"CAPZB","P47756","ENSG00000077549"
622,"VCL","P18206","ENSG00000035403"
623,"UTRN","P46939","ENSG00000152818"
624,"CLIP1","P30622","ENSG00000130779"
650,"AGAP1","Q9UPQ3","ENSG00000157985"
651,"AGAP3","Q96P47","ENSG00000133612"
653,"ARF1","P84077","ENSG00000143761"
654,"ARF3","P61204","ENSG00000134287"
655,"ARF4","P18085","ENSG00000168374"
656,"ARF5","P84085","ENSG00000004059"
657,"ARF6","P62330","ENSG00000165527"
658,"ARFGAP2","Q8N6H7","ENSG00000149182"
659,"ARFGAP3","Q9NP61","ENSG00000242247"
660,"ARFGEF2","Q9Y6D5","ENSG00000124198"
661,"GBF1","Q92538","ENSG00000107862"
662,"FNBP1L","Q5T0N5","ENSG00000137942"
663,"PACSIN3","Q9UKS6","ENSG00000165912"
664,"FCHSD2","O94868","ENSG00000137478"
665,"BAIAP2","Q9UQB8","ENSG00000175866"
666,"BAIAP2L1","Q9UHR4","ENSG00000006453"
668,"BIN3","Q9NQY0","ENSG00000147439"
669,"SH3GL1","Q99961","ENSG00000141985"
670,"SH3GLB1","Q9Y371","ENSG00000097033"
671,"SH3GLB2","Q9NR46","ENSG00000148341"
672,"APPL2","Q8NEU8","ENSG00000136044"
674,"ACAP2","Q15057","ENSG00000114331"
675,"ACAP3","Q96P50","ENSG00000131584"
677,"ARFIP1","P53367","ENSG00000164144"
678,"SNX1","Q13596","ENSG00000028528"
679,"SNX2","O60749","ENSG00000205302"
680,"SNX3","O60493","ENSG00000112335"
681,"SNX4","O95219","ENSG00000114520"
682,"SNX5","Q9Y5X3","ENSG00000089006"
684,"SNX7","Q9UNH6","ENSG00000162627"
685,"APC","P25054","ENSG00000134982"
686,"SNX11","Q9Y5W9","ENSG00000002919"
687,"SNX12","Q9UMY4","ENSG00000147164"
691,"SNX17","Q15036","ENSG00000115234"
693,"SNX27","Q96L92","ENSG00000143376"
696,"POLR2A","P24928","ENSG00000284832"
697,"POLR2B","P30876","ENSG00000047315"
698,"POLR2C","P19387","ENSG00000102978"
699,"POLR2D","O15514","ENSG00000144231"
700,"POLR2E","P19388","ENSG00000099817"
701,"POLR2F","P61218","ENSG00000100142"
702,"POLR2G","P62487","ENSG00000168002"
703,"POLR2H","P52434","ENSG00000163882"
704,"POLR2I","P36954","ENSG00000105258"
705,"POLR2J","P52435","ENSG00000005075"
707,"POLR2K","P53803","ENSG00000147669"
709,"POLR3A","O14802","ENSG00000148606"
710,"POLR3B","Q9NW08","ENSG00000013503"
711,"POLR3C","Q9BUI4","ENSG00000186141"
712,"POLR3D","P05423","ENSG00000168495"
713,"POLR3E","Q9NVU0","ENSG00000058600"
714,"POLR3F","Q9H1D9","ENSG00000132664"
715,"POLR3G","O15318","ENSG00000113356"
716,"POLR3GL","Q9BT43","ENSG00000121851"
717,"POLR3H","Q9Y535","ENSG00000100413"
719,"MKI67","P46013","ENSG00000148773"
721,"NIFK","Q9BYG3","ENSG00000155438"
723,"TUBG1","P23258","ENSG00000131462"
724,"GJA1","P17302","ENSG00000152661"
727,"KRT18","P05783","ENSG00000111057"
728,"SEPTIN2","Q15019","ENSG00000168385"
729,"SEPTIN7","Q16181","ENSG00000122545"
730,"SEPTIN9","Q9UHD8","ENSG00000282302"
731,"SEPTIN11","Q9NVA2","ENSG00000138758"
732,"SEPTIN8","Q92599","ENSG00000164402"
736,"TJP1","Q07157","ENSG00000277401"
737,"TJP2","Q9UDY2","ENSG00000119139"
738,"EIF2AK2","P19525","ENSG00000055332"
740,"PKMYT1","Q99640","ENSG00000127564"
741,"CTNNB1","P35222","ENSG00000168036"
744,"YKT6","O15498","ENSG00000106636"
745,"NAPA","P54920","ENSG00000105402"
746,"BET1","O15155","ENSG00000105829"
747,"VAMP2","P63027","ENSG00000220205"
748,"SEC22B","O75396","ENSG00000265808"
749,"BET1L","Q9NYM9","ENSG00000177951"
750,"GOSR2","O14653","ENSG00000108433"
751,"STX3","Q13277","ENSG00000166900"
752,"BNIP1","Q12981","ENSG00000113734"
753,"GOSR1","O95249","ENSG00000108587"
755,"STX8","Q9UNK0","ENSG00000170310"
756,"STX5","Q13190","ENSG00000162236"
757,"VTI1B","Q9UEU0","ENSG00000100568"
758,"STX18","Q9P2W9","ENSG00000168818"
759,"VTI1A","Q96AJ9","ENSG00000151532"
760,"STX10","O60499","ENSG00000104915"
761,"STX6","O43752","ENSG00000135823"
762,"SCFD1","Q8WVM8","ENSG00000092108"
763,"VAMP8","Q9BV40","ENSG00000118640"
764,"STX16","O14662","ENSG00000124222"
765,"STX7","O15400","ENSG00000079950"
766,"NAPG","Q9BXF6","ENSG00000135631"
768,"STX2","P32856","ENSG00000111450"
771,"VAMP4","O75379","ENSG00000117533"
772,"CHMP1A","Q9HD42","ENSG00000131165"
773,"CHMP2A","O43633","ENSG00000130724"
774,"CHMP2B","Q9UQN3","ENSG00000083937"
775,"CHMP4A","Q9BY43","ENSG00000285302"
776,"CHMP4B","Q9H444","ENSG00000101421"
779,"CHMP7","Q8WUX9","ENSG00000147457"
780,"HGS","O14964","ENSG00000185359"
781,"IST1","P53990","ENSG00000182149"
782,"MVB12A","Q96EY5","ENSG00000141971"
