"cell_line_id","target_name","uniprot_id","ensg_id"
1874,"TMEM192","Q8IY95","ENSG00000170088"
1875,"MFN2","O95140","ENSG00000116688"
1876,"INTS9","Q9NV88","ENSG00000104299"
1877,"CUTC","Q9NTM9","ENSG00000119929"
1878,"ARID1B","Q8NFD5","ENSG00000049618"
1879,"MARK4","Q96L34","ENSG00000007047"
1880,"DYNC1H1","Q14204","ENSG00000197102"
1882,"REEP3","Q6NUK4","ENSG00000165476"
1883,"CERS5","Q8N5B7","ENSG00000139624"
1884,"PDCL3","Q9H2J4","ENSG00000115539"
1886,"SMARCA2","P51531","ENSG00000080503"
1887,"PRKD3","O94806","ENSG00000115825"
1888,"KIF20A","O95235","ENSG00000112984"
1890,"STIM2","Q9P246","ENSG00000109689"
1892,"NSA2","O95478","ENSG00000164346"
1894,"HLA-A","P04439","ENSG00000206505"
1895,"STK32C","Q86UX6","ENSG00000165752"
1896,"SF3B4","Q15427","ENSG00000143368"
1897,"CDK5","Q00535","ENSG00000164885"
1898,"CKAP2L","Q8IYA6","ENSG00000169607"
1899,"RANBP2","P49792","ENSG00000153201"
1900,"AKR1A1","P14550","ENSG00000117448"
1902,"RPL27","P61353","ENSG00000131469"
1903,"TAF1","P21675","ENSG00000147133"
1904,"SNRPB","P14678","ENSG00000125835"
1905,"CHUK","O15111","ENSG00000213341"
1906,"LBR","Q14739","ENSG00000143815"
1908,"RAN","P62826","ENSG00000132341"
1782,"PDAP1","Q13442","ENSG00000106244"
1783,"UFC1","Q9Y3C8","ENSG00000143222"
1784,"FANCA","O15360","ENSG00000187741"
1785,"UBA5","Q9GZZ9","ENSG00000081307"
1786,"ZCCHC17","Q9NP64","ENSG00000121766"
1787,"VPS8","Q8N3P4","ENSG00000156931"
1788,"TGFBRAP1","Q8WUH2","ENSG00000135966"
1789,"EMC1","Q8N766","ENSG00000127463"
1790,"EMC2","Q15006","ENSG00000104412"
1791,"EMC4","Q5J8M3","ENSG00000128463"
1792,"EMC7","Q9NPA0","ENSG00000134153"
