ensg_id,target_name,annotation_name,annotation_grade
ENSG00000197299,BLM,nuclear_punctae,3
ENSG00000197299,BLM,nucleolus_gc,1
ENSG00000197299,BLM,nucleoplasm,1
ENSG00000106605,BLVRA,cytoplasmic,3
ENSG00000106605,BLVRA,nucleoplasm,3
ENSG00000090013,BLVRB,cytoplasmic,3
ENSG00000090013,BLVRB,nucleoplasm,3
ENSG00000165733,BMS1,nucleolus_gc,3
ENSG00000113734,BNIP1,er,3
ENSG00000261236,BOP1,nucleolus_gc,3
ENSG00000162813,BPNT1,cytoplasmic,3
ENSG00000162813,BPNT1,nucleoplasm,3
ENSG00000204256,BRD2,nucleoplasm,3
ENSG00000204256,BRD2,nuclear_punctae,2
ENSG00000169925,BRD3,nucleoplasm,3
ENSG00000141867,BRD4,nucleoplasm,3
ENSG00000141867,BRD4,nuclear_punctae,2
ENSG00000145741,BTF3,cytoplasmic,3
ENSG00000169679,BUB1,cytoplasmic,3
ENSG00000169679,BUB1,nucleoplasm,3
ENSG00000156970,BUB1B,cytoplasmic,3
ENSG00000071462,BUD23,nucleolus_gc,3
ENSG00000071462,BUD23,cytoplasmic,1
ENSG00000112578,BYSL,nucleolus_gc,3
ENSG00000112578,BYSL,cytoplasmic,2
ENSG00000112578,BYSL,nucleoplasm,1
ENSG00000111678,C12orf57,cytoplasmic,3
ENSG00000111678,C12orf57,nucleoplasm,3
ENSG00000111678,C12orf57,membrane,2
ENSG00000179933,C14orf119,cytoplasmic,3
ENSG00000179933,C14orf119,nucleoplasm,2
ENSG00000141428,C18orf21,nucleolus_gc,3
ENSG00000141428,C18orf21,nuclear_punctae,1
ENSG00000104979,C19orf53,nucleolus_gc,3
ENSG00000104979,C19orf53,nucleoplasm,3
ENSG00000174749,C4orf32,er,3
ENSG00000146540,C7orf50,nucleolus_gc,3
ENSG00000146540,C7orf50,nucleoplasm,2
ENSG00000146540,C7orf50,chromatin,1
ENSG00000182307,C8orf33,cytoplasmic,3
ENSG00000182307,C8orf33,nucleolus_gc,3
ENSG00000182307,C8orf33,nucleoplasm,2
ENSG00000171159,C9orf16,cytoplasmic,3
ENSG00000171159,C9orf16,nucleoplasm,3
ENSG00000136819,C9orf78,nucleoplasm,3
ENSG00000084774,CAD,cytoplasmic,3
ENSG00000122786,CALD1,cytoskeleton,3
ENSG00000122786,CALD1,cytoplasmic,1
ENSG00000198668,CALM1,cell_contact,3
ENSG00000198668,CALM1,centrosome,3
ENSG00000198668,CALM1,cytoplasmic,3
ENSG00000198668,CALM1,nucleoplasm,3
ENSG00000198668,CALM1,membrane,1
ENSG00000143933,CALM2,centrosome,3
ENSG00000143933,CALM2,membrane,3
ENSG00000143933,CALM2,cytoplasmic,2
ENSG00000143933,CALM2,nucleoplasm,2
ENSG00000143933,CALM2,cell_contact,1
ENSG00000160014,CALM3,centrosome,3
ENSG00000160014,CALM3,membrane,3
ENSG00000160014,CALM3,cytoplasmic,2
ENSG00000160014,CALM3,nucleoplasm,2
ENSG00000134072,CAMK1,cytoplasmic,3
ENSG00000134072,CAMK1,nucleoplasm,1
ENSG00000148660,CAMK2G,cytoplasmic,3
ENSG00000148660,CAMK2G,nucleoplasm,1
ENSG00000127022,CANX,er,3
ENSG00000135387,CAPRIN1,cytoplasmic,3
ENSG00000135387,CAPRIN1,nucleoplasm,1
ENSG00000077549,CAPZB,cytoplasmic,3
ENSG00000077549,CAPZB,membrane,3
ENSG00000077549,CAPZB,vesicles,3
ENSG00000077549,CAPZB,nucleoplasm,1
ENSG00000106144,CASP2,nucleoplasm,3
ENSG00000164305,CASP3,cytoplasmic,3
ENSG00000164305,CASP3,nucleoplasm,2
ENSG00000138794,CASP6,cytoplasmic,3
ENSG00000138794,CASP6,nucleoplasm,3
ENSG00000165806,CASP7,cytoplasmic,3
ENSG00000165806,CASP7,nucleoplasm,3
ENSG00000165806,CASP7,big_aggregates,2
ENSG00000108468,CBX1,nuclear_punctae,3
ENSG00000108468,CBX1,chromatin,1
ENSG00000108468,CBX1,nucleoplasm,1
ENSG00000060339,CCAR1,nuclear_punctae,3
ENSG00000060339,CCAR1,nucleoplasm,3
ENSG00000101997,CCDC22,vesicles,3
ENSG00000108588,CCDC47,er,3
ENSG00000110104,CCDC86,nucleolus_gc,3
ENSG00000110104,CCDC86,nucleoplasm,1
ENSG00000125633,CCDC93,vesicles,3
ENSG00000134057,CCNB1,cytoplasmic,3
ENSG00000134057,CCNB1,cytoskeleton,2
ENSG00000166226,CCT2,cytoplasmic,3
ENSG00000166226,CCT2,nucleoplasm,3
