,target,prey
4602561,CKAP2L,SIRT5
3567395,CKAP4,CKAP4
3567664,CKAP4,VAPA
3567747,CKAP4,FBXO28
3568569,CKAP4,HACD3
3570511,CKAP5,CKAP5
3572033,CKAP5,SLAIN2
3575310,CKB,CKB
3575678,CKB,NCLN
3575849,CKB,CKM
3481823,CLASP1,GCC2
3482006,CLASP1,DYNLT1
3482043,CLASP1,YWHAH
3482083,CLASP1,ACTR1A
3482149,CLASP1,YWHAG
3482159,CLASP1,YWHAE
3482200,CLASP1,DYNC1H1
3482316,CLASP1,DCTN2
3482348,CLASP1,DYNC1I2
3482471,CLASP1,CENPJ
3482635,CLASP1,DYNC1LI1
3482683,CLASP1,DCTN4
3482924,CLASP1,JAKMIP1
3483068,CLASP1,KIF2C
3483090,CLASP1,MED18
3483183,CLASP1,CLASP1
3483227,CLASP1,DCTN1;DKFZP686E0752
3483249,CLASP1,CLASP2
3483278,CLASP1,NIN
3483364,CLASP1,CLIP1
3483415,CLASP1,CLIP4
3483661,CLASP1,MACF1
3483668,CLASP1,CENPE
3483867,CLASP1,DYNLRB1
3483925,CLASP1,YWHAQ
3483944,CLASP1,YWHAB
3483976,CLASP1,LAMP1
3484228,CLASP1,CAPZA2
3484252,CLASP1,PAFAH1B1
3484441,CLASP1,KIF2A
3484547,CLASP1,RCBTB2
3484639,CLASP1,DCTN3
3484867,CLASP2,GCC2
3485047,CLASP2,YWHAZ
3485050,CLASP2,DYNLT1
3485087,CLASP2,YWHAH
3485127,CLASP2,ACTR1A
3485193,CLASP2,YWHAG
3485203,CLASP2,YWHAE
3485244,CLASP2,DYNC1H1
3485360,CLASP2,DCTN2
3485392,CLASP2,DYNC1I2
3485515,CLASP2,CENPJ
3485678,CLASP2,DYNC1LI1
3485920,CLASP2,WDR48
3485969,CLASP2,JAKMIP1
3485972,CLASP2,UBE2O
3486270,CLASP2,DCTN1;DKFZP686E0752
3486280,CLASP2,MARK2
3486292,CLASP2,CLASP2
3486321,CLASP2,NIN
3486360,CLASP2,USP46;USP12
3486422,CLASP2,CLIP1
3486423,CLASP2,MARK3
3486458,CLASP2,CLIP4
3486552,CLASP2,STRADA
3486710,CLASP2,CENPE
3486968,CLASP2,YWHAQ
3486987,CLASP2,YWHAB
3487041,CLASP2,HSPA5
3487099,CLASP2,POR
3487295,CLASP2,PAFAH1B1
3487636,CLASP2,TAF5L
3487657,CLASP2,RCBTB2
3643618,CLASRP,RBBP4
3644489,CLASRP,CLASRP
3644574,CLASRP,MTA1
3232479,CLCN7,CLCN7
3232981,CLCN7,OSTM1
52337,CLINT1,VBP1
52387,CLINT1,CLINT1
53418,CLINT1,PFDN5
53446,CLINT1,TBCD
53608,CLINT1,MAP4
1153964,CLIP1,DCTN3
1153985,CLIP1,LETM1
1154047,CLIP1,CS
1154163,CLIP1,LDHA
1154208,CLIP1,PPP6C
1154225,CLIP1,ETFB
1154226,CLIP1,NUP62
1154301,CLIP1,DYNC1LI2
1154393,CLIP1,UQCRFS1;UQCRFS1P1
1154396,CLIP1,CAPZB
1154397,CLIP1,CAPZA2
1154412,CLIP1,RANGAP1
1154445,CLIP1,PAFAH1B1
1154472,CLIP1,MDH2
1154475,CLIP1,ACAA2
1154484,CLIP1,RANBP2
1154486,CLIP1,ACTR1B
1154527,CLIP1,NUP107
1154595,CLIP1,NUP98
1154634,CLIP1,PRKAR2A
1154669,CLIP1,DLAT
1154690,CLIP1,PDHB
1154723,CLIP1,ALDH1B1
1154724,CLIP1,PKLR
1154826,CLIP1,ACTR1A
1154832,CLIP1,ATP5J
1154841,CLIP1,RGPD3
1154875,CLIP1,DYNLRB1
1154907,CLIP1,NUP214
1155350,CLIP1,PPIF
1155422,CLIP1,CLIP1
1155436,CLIP1,UBE2I
1155443,CLIP1,COX5A
1155453,CLIP1,PKM
1155454,CLIP1,DCTN5
1155471,CLIP1,PPP6R3
1155474,CLIP1,NUP93
1155566,CLIP1,DCTN1;DKFZP686E0752
1155590,CLIP1,NIN
1155621,CLIP1,CLASP1
1155642,CLIP1,NUP37
1155765,CLIP1,AKAP9
1156022,CLIP1,NUP205
1156253,CLIP1,DYNC1LI1
1156496,CLIP1,DCTN4
1156538,CLIP1,ACTR10
1156591,CLIP1,DYNC1H1
1156644,CLIP1,DYNC1I2
1156678,CLIP1,DCTN2
1156727,CLIP1,CCDC88A
1156807,CLIP1,DYNLT1
1156928,CLIP1,TRAP1
1157056,CLIP1,NDUFAF2
1157088,CLIP1,HOOK3
1157127,CLIP1,BICD2
1157128,CLIP1,PNPT1
1157160,CLIP1,NUP133
1157227,CLIP1,HEATR3
1157275,CLIP1,PDE4DIP
1157370,CLIP1,NUP54
1157447,CLIP1,CDC2;CDK1
2651396,CLK2,CLK2
2654183,CLK3,CDC37
2654460,CLK3,CARM1
2656429,CLK3,ARFGAP2
2657183,CLK3,CLK3
2657561,CLK3,PSME3
1391537,CLNS1A,COPS6
1391540,CLNS1A,KDM3B
1391711,CLNS1A,APPL2
1391747,CLNS1A,FAM98A
1391751,CLNS1A,GEMIN5
1391868,CLNS1A,LRRC47
1392027,CLNS1A,LSM6
1392028,CLNS1A,SNRPD1
1392029,CLNS1A,SNRPD2
1392030,CLNS1A,SNRPD3
1392096,CLNS1A,LSM11
1392233,CLNS1A,TSR1
1392311,CLNS1A,NUMA1
1392360,CLNS1A,FAM135A
1392456,CLNS1A,DDX20
1392501,CLNS1A,COPRS
1392534,CLNS1A,GAR1
1392597,CLNS1A,MTCL1
1392641,CLNS1A,LSM4
1392677,CLNS1A,LSM2
1392683,CLNS1A,NOB1
1392743,CLNS1A,EPB41L3
1392780,CLNS1A,C14ORF166
1392782,CLNS1A,CDYL
1392940,CLNS1A,DDX1
1393118,CLNS1A,RIOK1
1393257,CLNS1A,EIF1AD
1393264,CLNS1A,ZNHIT2
1393268,CLNS1A,FAU
1393347,CLNS1A,AGAP1
1393401,CLNS1A,CLNS1A
1393418,CLNS1A,ALYREF
1393431,CLNS1A,WDR6
1393622,CLNS1A,VRK1
1393640,CLNS1A,WDR77
1393696,CLNS1A,SNRPF
1393710,CLNS1A,EPB41L1
1393734,CLNS1A,EPB41
1393755,CLNS1A,SMN1;SMN2
1393768,CLNS1A,EPB41
1393891,CLNS1A,WIZ
1394084,CLNS1A,SNRPE
1394161,CLNS1A,HNRNPH1
1394234,CLNS1A,EPB41
1394301,CLNS1A,SNRPB;SNRPN
1394397,CLNS1A,GEMIN4
1394418,CLNS1A,HNRNPH2
1394569,CLNS1A,PRMT5
1394640,CLNS1A,EPB41L2
1394653,CLNS1A,CIRBP
1394879,CLNS1A,PEX14
1394898,CLNS1A,SYNCRIP
1394929,CLNS1A,FARP2
3825742,CLPTM1,CLPTM1
3827301,CLPTM1,AP3S1
557897,CLTA,HSPH1
557898,CLTA,STX10
557899,CLTA,MLK4
557909,CLTA,DNTTIP2
557934,CLTA,THOC7;NIF3L1BP1
557950,CLTA,EDC4
557954,CLTA,SCYL2
557978,CLTA,AP1AR
558019,CLTA,NSDHL
558039,CLTA,VAMP3;VAMP2
558045,CLTA,HSP90AB3P
558058,CLTA,MOV10
558080,CLTA,PNRC1
558091,CLTA,HSPA1L
558115,CLTA,DCP1B
558117,CLTA,XRN1
558128,CLTA,DCP2
558150,CLTA,STX12
558160,CLTA,FAM134A
558170,CLTA,LSM14A
558187,CLTA,TCP11L2
558244,CLTA,AFTPH
558265,CLTA,PATL1
558327,CLTA,RPS27A
558328,CLTA,AP2B1
558339,CLTA,YBX1
558342,CLTA,RPS26
558353,CLTA,RPS14
558364,CLTA,RPL7A
558370,CLTA,LSM6
558374,CLTA,CLTC
558429,CLTA,CLTCL1
558430,CLTA,AP2S1
558434,CLTA,IST1
558445,CLTA,ALDH18A1
558506,CLTA,AP1S1
558511,CLTA,SEC13
558549,CLTA,CLINT1
558644,CLTA,NONO
558651,CLTA,AP1B1
558684,CLTA,FMR1
558705,CLTA,PICALM
558723,CLTA,ARFRP1
558769,CLTA,GTSE1
558780,CLTA,IGF2BP1
558788,CLTA,TMEM38B
558813,CLTA,CHMP5
558856,CLTA,HEATR5B
558890,CLTA,DCP1A
558905,CLTA,FN3KRP
558919,CLTA,CENPJ
558924,CLTA,BMP2K
558979,CLTA,VPRBP
558984,CLTA,KIAA0430
558994,CLTA,CD2AP
559011,CLTA,LSM2
559016,CLTA,TMED5
559027,CLTA,RPL36
559033,CLTA,PSAT1
559048,CLTA,LSM4
559082,CLTA,ENPP4
559085,CLTA,EPN1
559099,CLTA,KIDINS220
559100,CLTA,MKL2
559133,CLTA,LSM7
559156,CLTA,BTBD3
559160,CLTA,KLHL20
559172,CLTA,L1RE1
559175,CLTA,STX8
559286,CLTA,EDC3
559307,CLTA,UPF1
559331,CLTA,NUP133
559479,CLTA,YTHDC2
559496,CLTA,C10ORF88
559521,CLTA,CHMP4B
559529,CLTA,SORT1
559573,CLTA,MAP7D2
559581,CLTA,AP1M1
559584,CLTA,TMEM43
559624,CLTA,ERP44
559667,CLTA,REPS1
559683,CLTA,HSPA8
559692,CLTA,SEC23A
559694,CLTA,BTBD6
559724,CLTA,CPSF7
559734,CLTA,EPN2
559756,CLTA,RPL14
559984,CLTA,NUMB
560002,CLTA,IGF2BP2
560014,CLTA,RPSA
560018,CLTA,MITD1
560083,CLTA,HSPA1B;HSPA1A
560105,CLTA,ZFP91-CNTF;ZFP91
560143,CLTA,DYRK1A
560150,CLTA,SEC23B
560155,CLTA,SPAST
560209,CLTA,VTA1
560210,CLTA,AP2M1
560234,CLTA,PYCR2
560301,CLTA,LSM5
560316,CLTA,CHMP2B
560327,CLTA,CLTB
560348,CLTA,NBR1
560421,CLTA,SH3D19
560423,CLTA,SART3
560433,CLTA,SEC16A
560536,CLTA,VCL
560555,CLTA,HNRNPL
560576,CLTA,RPS3
560598,CLTA,HNRNPA2B1
560607,CLTA,RAB4A
560625,CLTA,DDX6
560666,CLTA,CLTA
560689,CLTA,IGF2R
560699,CLTA,CKMT1A;CKMT1B
560752,CLTA,CAPZB
560774,CLTA,EPS15
560775,CLTA,RPS27;RPS27L
560803,CLTA,FXR1
560913,CLTA,HSPA9
560933,CLTA,HSPA4
560978,CLTA,GAK
560988,CLTA,HIP1
560997,CLTA,IGF2BP3
561009,CLTA,PIK3C2A
561041,CLTA,LSM1
561065,CLTA,CHMP2A
561191,CLTA,SEC24B
561221,CLTA,AP2A2
561231,CLTA,AP2A1
561234,CLTA,TFRC
561260,CLTA,BAG2
561271,CLTA,STAU1
561307,CLTA,DNAJC6
561315,CLTA,ASNA1
561319,CLTA,AP1G1
561340,CLTA,HIP1R
561376,CLTA,VAMP4
596619,CLTB,EDC4
596647,CLTB,AP1AR
596729,CLTB,MIA3
596784,CLTB,DCP1B
596797,CLTB,DCP2
596914,CLTB,AFTPH
596999,CLTB,AP2B1
597029,CLTB,LSM6
597045,CLTB,CLTC
597100,CLTB,CLTCL1
597105,CLTB,IST1
597116,CLTB,ALDH18A1
597182,CLTB,SEC13
597219,CLTB,CLINT1
597322,CLTB,AP1B1
597376,CLTB,PICALM
597510,CLTB,CHMP5
597589,CLTB,DCP1A
597653,CLTB,KIAA0430
597680,CLTB,LSM2
597712,CLTB,LSM4
597803,CLTB,LSM7
597958,CLTB,EDC3
598031,CLTB,NUP133
598114,CLTB,AP1M1
598192,CLTB,CHMP4B
598372,CLTB,CHMP1A
598752,CLTB,HSPA1B;HSPA1A
598877,CLTB,AP2M1
598995,CLTB,CLTB
599099,CLTB,SEC16A
599348,CLTB,CLTA
599358,CLTB,IGF2R
599445,CLTB,EPS15
599603,CLTB,HSPA4
599647,CLTB,GAK
599664,CLTB,PIK3C2A
599708,CLTB,LSM1
599841,CLTB,CHMP2A
599887,CLTB,AP2A2
599896,CLTB,AP2A1
599985,CLTB,AP1G1
600613,CLTC,CLTC
602665,CLTC,CLTB
602827,CLTC,CLTA
3829203,CNBP,HIST1H1B
3829398,CNBP,RAN
3829887,CNBP,SMG1
3830018,CNBP,PAICS
3831121,CNBP,CNBP
3831152,CNBP,UNNAMED
3831256,CNBP,SARNP
3577684,CNN2,CNN2
4029231,COL4A3BP,SFN
4029739,COL4A3BP,TAF15
4029850,COL4A3BP,RPL14
4030660,COL4A3BP,COL4A3BP
4031183,COL4A3BP,RPL38
1828177,COMMD1,C16ORF62
1828241,COMMD1,COMMD6
1828242,COMMD1,CCDC93
1828351,COMMD1,COMMD1
1828416,COMMD1,FAM45A;FAM45B
1828437,COMMD1,COMMD2
1828523,COMMD1,CCAR1
1828595,COMMD1,SSRP1
1828863,COMMD1,CWF19L2
1829000,COMMD1,VPS29
1829022,COMMD1,COMMD9
1829143,COMMD1,ARGLU1
1829146,COMMD1,COMMD8
1829210,COMMD1,SUPT16H
1829252,COMMD1,COMMD3-BMI1;COMMD3;BMI1
1829292,COMMD1,COMMD10
1829417,COMMD1,RBM17
1829422,COMMD1,RSRC1
1829663,COMMD1,COMMD4
1830261,COMMD1,COMMD5
1830389,COMMD1,COMMD7
1830631,COMMD1,SRSF6
1830969,COMMD1,SUB1
1831190,COMMD1,U2SURP
1831207,COMMD1,DSCR3
1831217,COMMD1,DHX15
1831366,COMMD1,NUP62
1831427,COMMD1,SNAP29
1831533,COMMD1,CCDC22
1831673,COMMD2,C16ORF62
1831735,COMMD2,CCDC93
1831846,COMMD2,COMMD1
1831910,COMMD2,FAM45A;FAM45B
1831921,COMMD2,COMMD6
1831932,COMMD2,COMMD2
1832114,COMMD2,SSRP1
1832355,COMMD2,CWF19L2
1832465,COMMD2,ITPR3
1832516,COMMD2,COMMD9
1832521,COMMD2,VPS29
1832637,COMMD2,ARGLU1
1832640,COMMD2,COMMD8
1832705,COMMD2,SUPT16H
1832718,COMMD2,RBMX2
1832747,COMMD2,COMMD3-BMI1;COMMD3;BMI1
1832787,COMMD2,COMMD10
1832910,COMMD2,RBM17
1832915,COMMD2,RSRC1
1832938,COMMD2,CCDC97
1833156,COMMD2,COMMD4
1833422,COMMD2,PCBP2
1833424,COMMD2,MYO1C
1833749,COMMD2,COMMD5
1833877,COMMD2,COMMD7
1833987,COMMD2,PAK3
1834119,COMMD2,SRSF6
1834158,COMMD2,CHERP
1834213,COMMD2,DHRS7B
1834485,COMMD2,SUB1
1834557,COMMD2,SKIV2L2
1834678,COMMD2,U2SURP
1834698,COMMD2,DSCR3
1834761,COMMD2,AP3D1
1835022,COMMD2,CCDC22
1835163,COMMD4,C16ORF62
1835209,COMMD4,CDK11A
1835228,COMMD4,CCDC93
1835292,COMMD4,COMMD6
1835339,COMMD4,COMMD1
1835403,COMMD4,FAM45A;FAM45B
1835424,COMMD4,COMMD2
1835507,COMMD4,SUGP1
1835580,COMMD4,SSRP1
1835849,COMMD4,CWF19L2
1835896,COMMD4,SF3B2
1835959,COMMD4,ITPR3
1835987,COMMD4,VPS29
1836009,COMMD4,COMMD9
1836047,COMMD4,APEX2
1836128,COMMD4,GPATCH2
1836130,COMMD4,ARGLU1
1836133,COMMD4,COMMD8
1836197,COMMD4,SUPT16H
1836210,COMMD4,RBMX2
1836239,COMMD4,COMMD3-BMI1;COMMD3;BMI1
1836279,COMMD4,COMMD10
1836327,COMMD4,PACSIN3
1836404,COMMD4,RBM17
1836409,COMMD4,RSRC1
1836432,COMMD4,CCDC97
1836650,COMMD4,COMMD4
1837244,COMMD4,COMMD5
1837374,COMMD4,COMMD7
1837616,COMMD4,SRSF6
1837654,COMMD4,CHERP
1837981,COMMD4,SUB1
1838053,COMMD4,SKIV2L2
1838174,COMMD4,U2SURP
1838194,COMMD4,DSCR3
1838231,COMMD4,DHX15
1838518,COMMD4,CCDC22
1838558,COMMD4,SF3B1
1838637,COMMD6,SF3B1
1838649,COMMD6,CCDC22
1838973,COMMD6,DSCR3
1838990,COMMD6,U2SURP
1839212,COMMD6,SUB1
1839550,COMMD6,SRSF6
1839793,COMMD6,COMMD7
1839963,COMMD6,DNMT3A
1840032,COMMD6,CHERP
1840514,COMMD6,COMMD4
1840733,COMMD6,CCDC97
1840757,COMMD6,RSRC1
1840762,COMMD6,RBM17
1840885,COMMD6,COMMD10
1840924,COMMD6,COMMD3-BMI1;COMMD3;BMI1
1840953,COMMD6,RBMX2
1840967,COMMD6,SUPT16H
1841030,COMMD6,COMMD8
1841033,COMMD6,ARGLU1
1841155,COMMD6,COMMD9
1841178,COMMD6,VPS29
1841267,COMMD6,SF3B2
1841314,COMMD6,CWF19L2
1841583,COMMD6,SSRP1
1841654,COMMD6,CCAR1
1841739,COMMD6,COMMD2
1841760,COMMD6,FAM45A;FAM45B
1841823,COMMD6,COMMD1
1841858,COMMD6,COMMD6
1841933,COMMD6,CCDC93
1841999,COMMD6,C16ORF62
1842007,COMMD6,PHF5A
143241,COPA,NUCB2;NUCB2
143258,COPA,NSDHL
143306,COPA,HSD17B12
143355,COPA,SCYL3
143394,COPA,HSD17B11
143430,COPA,CISD2
143438,COPA,EMC1
143453,COPA,UBE2R2
143487,COPA,LCLAT1
143565,COPA,RPS27A
143613,COPA,REEP5
143657,COPA,ARF5
143664,COPA,COPA
143687,COPA,COPB1
143792,COPA,GANAB
143829,COPA,RCN1
143831,COPA,TMED2
143863,COPA,EMC2
143869,COPA,RAB3GAP1
143976,COPA,PRDX4
144009,COPA,TECR
144026,COPA,TMEM38B
144031,COPA,GPATCH2
144051,COPA,COPG2
144083,COPA,VAPA
144114,COPA,APMAP
144162,COPA,SACM1L
144186,COPA,RTN4
144254,COPA,TMED5
144264,COPA,DHRS7
144298,COPA,PSAT1
144303,COPA,COPG1
144446,COPA,GRAMD1A
144478,COPA,ERGIC1
144498,COPA,SCYL1
144569,COPA,PDZD8
144571,COPA,VPS37A
144581,COPA,ATL2
144582,COPA,MCFD2
144625,COPA,SCFD1
144634,COPA,ATL1
144668,COPA,RACGAP1
144677,COPA,LNP
144694,COPA,WDR11
144741,COPA,RAB3GAP2
144748,COPA,TMX1
144797,COPA,NUDCD1
144821,COPA,NDC1
144858,COPA,FAM213A
144859,COPA,ERP44
144863,COPA,ESYT1
144938,COPA,COPZ1
144958,COPA,ATL3
145030,COPA,PSD3
145116,COPA,ARL6IP1
145380,COPA,MICAL2
145498,COPA,DHCR24
145512,COPA,PPIP5K2
145656,COPA,ESYT2
145723,COPA,ILVBL
145725,COPA,NBAS
145750,COPA,SSR4
145843,COPA,P4HA1
145860,COPA,HNRNPC
145965,COPA,HSPA5
146022,COPA,ARCN1
146046,COPA,BCAP31
146057,COPA,CSNK1A1
146068,COPA,ALDH7A1
146074,COPA,TMED10
146116,COPA,CALR
146118,COPA,CANX
146181,COPA,COPB2
146248,COPA,ZW10
146257,COPA,EMC8
146378,COPA,COPE
146389,COPA,RTN2
146409,COPA,VAPB
146459,COPA,RTN3
146505,COPA,CYB5R3
146584,COPA,STAM2
146622,COPA,ERLIN1
561397,COPB2,SURF4
561424,COPB2,RALY
561432,COPB2,DHRS3
561437,COPB2,RER1
561489,COPB2,RAB18
561508,COPB2,UGT8
561532,COPB2,NSDHL
561537,COPB2,TBCC
561542,COPB2,ATP6AP1
561604,COPB2,HSD17B12
561628,COPB2,SCYL3
561639,COPB2,SUGP2
561691,COPB2,HSD17B11
561703,COPB2,CISD2
561762,COPB2,LCLAT1
561872,COPB2,ARF6
561911,COPB2,REEP5
561929,COPB2,ARF5
561971,COPB2,HNRNPA3
561972,COPB2,HNRNPM
561990,COPB2,COPB1
561991,COPB2,COPA
562030,COPB2,SMIM11
562066,COPB2,LBR
562137,COPB2,SEPT2
562141,COPB2,RAB3GAP1
562154,COPB2,NONO
562156,COPB2,RCN1
562176,COPB2,ILF3
562248,COPB2,PRDX4
562341,COPB2,SUN2
562345,COPB2,SEPT9
562351,COPB2,COPG2
562357,COPB2,VAPA
562389,COPB2,APMAP
562411,COPB2,AGO3
562435,COPB2,RTN4
562437,COPB2,SACM1L
562522,COPB2,TMX2
562526,COPB2,DHRS7
562528,COPB2,TMED5
562577,COPB2,COPG1
562598,COPB2,TEX264
562721,COPB2,GRAMD1A
562754,COPB2,ERGIC1
562755,COPB2,CCDC47
562756,COPB2,MRPL24
562771,COPB2,CLMN
562774,COPB2,SCYL1
562848,COPB2,RDH11
562857,COPB2,ATL2
562911,COPB2,ATL1
562915,COPB2,SCFD1
562980,COPB2,LNP
563017,COPB2,RAB3GAP2
563022,COPB2,CPVL
563073,COPB2,NUDCD1
563097,COPB2,NDC1
563107,COPB2,TMED9
563136,COPB2,ERP44
563139,COPB2,ESYT1
563217,COPB2,COPZ1
563225,COPB2,OSBPL8
563237,COPB2,ATL3
563274,COPB2,SEPT7
563290,COPB2,SEPT11
563309,COPB2,PSD3
563312,COPB2,REEP4
563359,COPB2,LRCH3
563369,COPB2,HNRNPA1;HNRNPA1L2
563370,COPB2,ZDHHC3
563388,COPB2,MLST8
563397,COPB2,ARL6IP1
563519,COPB2,SEPT5
563523,COPB2,CCDC115
563583,COPB2,TMEM33
563606,COPB2,MATR3
563611,COPB2,PTBP1
563619,COPB2,FAM92A1
563622,COPB2,CYP51A1
563659,COPB2,MICAL2
563759,COPB2,MYEF2
563767,COPB2,ZNF326
563777,COPB2,DHCR24
563791,COPB2,PPIP5K2
563896,COPB2,EPT1
563925,COPB2,MCM8
563935,COPB2,ESYT2
563941,COPB2,SLMAP
563943,COPB2,ITCH;WWP1
563954,COPB2,ADAR
563966,COPB2,BIRC6
563975,COPB2,ILVBL
563980,COPB2,SEPT3
563986,COPB2,SEPT6
564004,COPB2,NBAS
564021,COPB2,PRAF2
564022,COPB2,SEPT8
564031,COPB2,IFNAR1
564042,COPB2,ARF4
564063,COPB2,HNRNPL
564133,COPB2,HNRNPA2B1
564135,COPB2,ITGA6
564163,COPB2,LTA4H
564191,COPB2,HNRNPC
564256,COPB2,YAP1
564270,COPB2,ARCN1
564275,COPB2,NSF
564322,COPB2,BCAP31
564325,COPB2,ALDH3A2
564330,COPB2,SERPINH1
564345,COPB2,ALDH7A1
564378,COPB2,PRDX2
564394,COPB2,CANX
564458,COPB2,COPB2
564471,COPB2,EI24
564488,COPB2,HNRNPDL
564527,COPB2,ZW10
564585,COPB2,GDPD1
564668,COPB2,RTN2
564686,COPB2,COPE
564687,COPB2,KDSR
564700,COPB2,ACSL3
564709,COPB2,PTBP3
564717,COPB2,VAPB
564726,COPB2,ENDOD1
564737,COPB2,RTN3
564778,COPB2,CYB5A
564856,COPB2,ATP6AP2
564863,COPB2,STAM2
564895,COPB2,ERLIN1
146637,COPE,TM9SF3
146719,COPE,RAB18
146746,COPE,NUCB2;NUCB2
146763,COPE,NSDHL
146833,COPE,CEP55
146835,COPE,HSD17B12
146859,COPE,SCYL3
146870,COPE,SUGP2
146922,COPE,HSD17B11
146934,COPE,CISD2
146942,COPE,EMC1
146993,COPE,LCLAT1
147069,COPE,RPS27A
147141,COPE,REEP5
147161,COPE,ARF5
147222,COPE,COPB1
147223,COPE,COPA
147262,COPE,SMIM11
147296,COPE,GANAB
147369,COPE,SEPT2
147373,COPE,RAB3GAP1
147388,COPE,RCN1
147468,COPE,TNFAIP1
147480,COPE,PRDX4
147500,COPE,PDZD8
147514,COPE,TECR
147531,COPE,TMEM38B
147536,COPE,GPATCH2
147572,COPE,SUN2
147576,COPE,SEPT9
147580,COPE,COPG2
147586,COPE,EMC3
147588,COPE,VAPA
147619,COPE,APMAP
147641,COPE,AGO3
147667,COPE,SACM1L
147720,COPE,BCAP29
147757,COPE,DHRS7
147759,COPE,TMED5
147776,COPE,PSAT1
147808,COPE,COPG1
147907,COPE,LEMD3
147951,COPE,GRAMD1A
147984,COPE,ERGIC1
148004,COPE,SCYL1
148071,COPE,TMEM263
148087,COPE,ATL2
148089,COPE,MCFD2
148112,COPE,PIGK
148145,COPE,SCFD1
148149,COPE,CYP20A1
148179,COPE,LMAN2L
148201,COPE,WDR11
148210,COPE,LNP
148247,COPE,RAB3GAP2
148254,COPE,TMX1
148303,COPE,NUDCD1
148327,COPE,NDC1
148364,COPE,FAM213A
148366,COPE,ERP44
148369,COPE,ESYT1
148449,COPE,COPZ1
148457,COPE,OSBPL8
148469,COPE,ATL3
148507,COPE,SEPT7
148533,COPE,REEP4
148557,COPE,YIF1A
148755,COPE,CCDC115
148765,COPE,SEPT5
148812,COPE,NRM
148892,COPE,MICAL2
148931,COPE,DHCR24
148932,COPE,REEP2
148934,COPE,TEX2
149024,COPE,PPIP5K2
149132,COPE,SPCS1
149168,COPE,ESYT2
149174,COPE,SLMAP
149235,COPE,ILVBL
149237,COPE,NBAS
149255,COPE,SEPT8
149275,COPE,ARF4
149371,COPE,P4HA1
149482,COPE,NSF
149503,COPE,ARCN1
149555,COPE,BCAP31
149577,COPE,ALDH7A1
149611,COPE,PRDX2
149627,COPE,CANX
149691,COPE,COPB2
149760,COPE,ZW10
149769,COPE,EMC8
149818,COPE,GDPD1
149892,COPE,COPE
149932,COPE,ACSL3
149941,COPE,PTBP3
149947,COPE,VAPB
149969,COPE,RTN3
150020,COPE,C3
150099,COPE,ARL6IP5
150128,COPE,ERLIN1
4360445,COPG1,SCYL3
4360498,COPG1,ATL2
4360725,COPG1,COPB1
4360734,COPG1,COPA
4360777,COPG1,GEMIN4
4361183,COPG1,DHRS7
4361220,COPG1,COPG1
4361353,COPG1,GRAMD1A
4361400,COPG1,SCYL1
4361604,COPG1,NUDCD1
4361663,COPG1,ESYT1
4361671,COPG1,ATL3
4361741,COPG1,COPZ1
4361764,COPG1,MYO1B
4362558,COPG1,ARCN1
4362605,COPG1,BCAP31
4362706,COPG1,COPB2
4362848,COPG1,COPE
4363038,COPG1,URI1
5611,COPG2,RCN1
5734,COPG2,SCYL3
5807,COPG2,UBE2R2
5924,COPG2,COPB1
5925,COPG2,COPA
5926,COPG2,COPA
5946,COPG2,BCAP31
6244,COPG2,COPG2
6298,COPG2,APMAP
6302,COPG2,SAR1A
6608,COPG2,ATL2
6610,COPG2,MCFD2
6614,COPG2,RDH11
6797,COPG2,NUDCD1
6912,COPG2,ATL3
7037,COPG2,NAN
7151,COPG2,COPZ1
7534,COPG2,ILVBL
7802,COPG2,ARCN1
7859,COPG2,COPB2
8027,COPG2,COPE
8083,COPG2,RTN3
8207,COPG2,ARL6IP5
8215,COPG2,CTSV
8234,COPG2,RPP40
8263,COPZ1,ARL6IP5
8277,COPZ1,CTSV
8383,COPZ1,RTN3
8443,COPZ1,COPE
8498,COPZ1,PGRMC2
8610,COPZ1,COPB2
8616,COPZ1,RFC1
8666,COPZ1,ARCN1
8701,COPZ1,LMAN1
8746,COPZ1,PI4KA;PI4KAP1
8749,COPZ1,APC
8901,COPZ1,ARF4
9091,COPZ1,KIF23
9122,COPZ1,NAV1
9136,COPZ1,MYO5A
9152,COPZ1,HCG_39893;GRAMD1B
9168,COPZ1,PSMD1
9189,COPZ1,ERGIC3
9318,COPZ1,COPZ1
9345,COPZ1,TOMM5
9557,COPZ1,ATL3
9611,COPZ1,ERP44
9653,COPZ1,NUDCD1
9762,COPZ1,RACGAP1
9802,COPZ1,NUP205
9826,COPZ1,SHCBP1
9859,COPZ1,MCFD2
9861,COPZ1,ATL2
9893,COPZ1,SCYL1
9909,COPZ1,GRAMD1A
9946,COPZ1,ERGIC1
10054,COPZ1,COPG1
10169,COPZ1,APMAP
10224,COPZ1,COPG2
10456,COPZ1,TNFAIP1
10466,COPZ1,RBM10
10469,COPZ1,SMIM11
10522,COPZ1,BCAP31
10542,COPZ1,COPA
10543,COPZ1,COPA
10544,COPZ1,COPB1
10578,COPZ1,ARF5
10657,COPZ1,UBE2R2
10734,COPZ1,SCYL3
10857,COPZ1,RCN1
10890,COPZ1,SF3B4
10906,COPZ1,UBR4
2246870,CORO1B,HIST2H2AA3;HIST2H2AC
