,target,prey
345795,ACTB,SPTBN1
345809,ACTB,ENAH
345833,ACTB,INF2
345846,ACTB,WIPF3
345899,ACTB,PXK
345905,ACTB,ABI2
345915,ACTB,ARL1
345925,ACTB,ABI1
345993,ACTB,MKL1;MKL1
346072,ACTB,ARHGAP32
346099,ACTB,SMARCD2
346101,ACTB,MAP3K4
346115,ACTB,TCP1
346165,ACTB,CFL1
346241,ACTB,GSN
346262,ACTB,PFN1
346337,ACTB,CAPZA2
346338,ACTB,CAPZB
346347,ACTB,CBX5
346369,ACTB,PAFAH1B1
346383,ACTB,VASP
346386,ACTB,CCT8
346387,ACTB,CCT4
346397,ACTB,SMARCA4
346406,ACTB,CCT5
346419,ACTB,CCT3
346476,ACTB,TMOD1
346504,ACTB,CCT6A
346521,ACTB,PFN2
346536,ACTB,ADD2
346567,ACTB,ARID1A
346577,ACTB,WASL
346603,ACTB,ZW10
346629,ACTB,ARPC1B
346630,ACTB,ARPC2
346631,ACTB,ARPC3
346636,ACTB,PFDN6
346665,ACTB,BLOC1S2
346679,ACTB,SPIRE1
346685,ACTB,PHACTR2
346777,ACTB,YEATS4
346852,ACTB,ACTL6A
346892,ACTB,WDR1
346975,ACTB,TADA3
346979,ACTB,LRRC20
2657837,ACTG1,DCTN3
2657892,ACTG1,COBL
2657893,ACTG1,WDR1
2657939,ACTG1,ACTL6A
2658004,ACTG1,SMC2
2658061,ACTG1,MYO9B
2658067,ACTG1,WASL
2658116,ACTG1,SS18
2658161,ACTG1,ARPC5
2658211,ACTG1,ARPC3
2658227,ACTG1,ARID1A
2658241,ACTG1,ARPC2
2658242,ACTG1,ARPC1B
2658269,ACTG1,GSN
2658275,ACTG1,CCT6A
2658313,ACTG1,ACTR1B
2658370,ACTG1,PAFAH1B1
2658374,ACTG1,PFN2
2658392,ACTG1,CCT4
2658393,ACTG1,CCT8
2658395,ACTG1,VASP
2658442,ACTG1,SMARCA4
2658478,ACTG1,CCT3
2658489,ACTG1,CCT5
2658499,ACTG1,CAPZB
2658500,ACTG1,CAPZA2
2658533,ACTG1,ALAS1
2658576,ACTG1,PFN1
2658644,ACTG1,CFL1
2658652,ACTG1,STOM
2658679,ACTG1,TMOD1
2658691,ACTG1,TCP1
2658699,ACTG1,TMEM11
2658783,ACTG1,WIPF2
2658794,ACTG1,ARHGAP32
2658801,ACTG1,MKL1;MKL1
2658899,ACTG1,SPATS2L
2658900,ACTG1,PXK
2658916,ACTG1,WASH3P;WASH2P;WASH6P;WASH1;WASH4P
2658962,ACTG1,ABI2
