,target,prey,ensg_id,prey_ensg,plex,huri,Hein
108,ACTB,ARHGAP32,ENSG00000075624,ENSG00000134909,False,False,False
109,ACTB,SMARCD2,ENSG00000075624,ENSG00000108604,False,False,False
110,ACTB,MAP3K4,ENSG00000075624,ENSG00000085511,True,False,False
111,ACTB,TCP1,ENSG00000075624,ENSG00000120438,True,False,True
112,ACTB,CFL1,ENSG00000075624,ENSG00000172757,True,True,False
113,ACTB,GSN,ENSG00000075624,ENSG00000148180,True,False,True
114,ACTB,PFN1,ENSG00000075624,ENSG00000108518,True,False,True
115,ACTB,CAPZA2,ENSG00000075624,ENSG00000198898,True,False,True
116,ACTB,CAPZB,ENSG00000075624,ENSG00000077549,True,False,True
117,ACTB,CBX5,ENSG00000075624,ENSG00000094916,False,False,False
118,ACTB,PAFAH1B1,ENSG00000075624,ENSG00000007168,False,False,False
119,ACTB,VASP,ENSG00000075624,ENSG00000125753,True,False,False
120,ACTB,CCT8,ENSG00000075624,ENSG00000156261,True,False,True
121,ACTB,CCT4,ENSG00000075624,ENSG00000115484,True,False,True
122,ACTB,SMARCA4,ENSG00000075624,ENSG00000127616,False,False,False
123,ACTB,CCT5,ENSG00000075624,ENSG00000150753,True,False,False
124,ACTB,CCT3,ENSG00000075624,ENSG00000163468,True,False,True
125,ACTB,TMOD1,ENSG00000075624,ENSG00000136842,True,False,True
126,ACTB,CCT6A,ENSG00000075624,ENSG00000146731,True,False,False
127,ACTB,PFN2,ENSG00000075624,ENSG00000070087,True,False,False
128,ACTB,ADD2,ENSG00000075624,ENSG00000075340,True,False,False
129,ACTB,ARID1A,ENSG00000075624,ENSG00000117713,False,False,False
130,ACTB,WASL,ENSG00000075624,ENSG00000106299,True,False,False
131,ACTB,ZW10,ENSG00000075624,ENSG00000086827,False,False,False
132,ACTB,ARPC1B,ENSG00000075624,ENSG00000130429,True,False,True
133,ACTB,ARPC2,ENSG00000075624,ENSG00000163466,True,False,True
134,ACTB,ARPC3,ENSG00000075624,ENSG00000111229,True,False,True
135,ACTB,PFDN6,ENSG00000075624,ENSG00000206283,False,False,False
136,ACTB,BLOC1S2,ENSG00000075624,ENSG00000196072,False,False,False
137,ACTB,SPIRE1,ENSG00000075624,ENSG00000134278,True,False,False
138,ACTB,PHACTR2,ENSG00000075624,ENSG00000112419,True,False,False
139,ACTB,YEATS4,ENSG00000075624,ENSG00000127337,True,False,False
140,ACTB,ACTL6A,ENSG00000075624,ENSG00000136518,True,False,False
141,ACTB,WDR1,ENSG00000075624,ENSG00000071127,True,False,False
142,ACTB,TADA3,ENSG00000075624,ENSG00000171148,True,False,False
143,ACTB,LRRC20,ENSG00000075624,ENSG00000172731,True,False,False
144,ACTG1,DCTN3,ENSG00000184009,ENSG00000137100,False,False,False
145,ACTG1,COBL,ENSG00000184009,ENSG00000106078,False,False,False
146,ACTG1,WDR1,ENSG00000184009,ENSG00000071127,False,False,False
147,ACTG1,ACTL6A,ENSG00000184009,ENSG00000136518,False,False,False
148,ACTG1,SMC2,ENSG00000184009,ENSG00000136824,False,False,False
149,ACTG1,MYO9B,ENSG00000184009,ENSG00000099331,False,False,False
150,ACTG1,WASL,ENSG00000184009,ENSG00000106299,False,False,False
151,ACTG1,SS18,ENSG00000184009,ENSG00000141380,False,False,False
152,ACTG1,ARPC5,ENSG00000184009,ENSG00000162704,False,False,False
153,ACTG1,ARPC3,ENSG00000184009,ENSG00000111229,False,False,False
154,ACTG1,ARID1A,ENSG00000184009,ENSG00000117713,False,False,False
155,ACTG1,ARPC2,ENSG00000184009,ENSG00000163466,False,False,False
156,ACTG1,ARPC1B,ENSG00000184009,ENSG00000130429,False,False,False
157,ACTG1,GSN,ENSG00000184009,ENSG00000148180,False,False,False
158,ACTG1,CCT6A,ENSG00000184009,ENSG00000146731,False,False,False
159,ACTG1,ACTR1B,ENSG00000184009,ENSG00000115073,False,False,False
160,ACTG1,PAFAH1B1,ENSG00000184009,ENSG00000007168,False,False,False
161,ACTG1,PFN2,ENSG00000184009,ENSG00000070087,False,False,False
