cell_line_id,target_name,uniprot_id,ensg_id,leiden
2,ACTB,P60709,ENSG00000075624,54
3,AHSA1,O95433,ENSG00000100591,31
7,BAG4,O95429,ENSG00000156735,64
9,BAG6,P46379,ENSG00000229524,93
10,CDC37,Q16543,ENSG00000105401,127
11,DNAJA1,P31689,ENSG00000086061,31
12,DNAJA2,O60884,ENSG00000069345,127
14,DNAJB1,P25685,ENSG00000132002,80
17,DNAJB2,P25686,ENSG00000135924,82
18,DNAJB4,Q9UDY4,ENSG00000162616,165
20,DNAJB6,O75190,ENSG00000105993,136
22,DNAJC11,Q9NVH1,ENSG00000007923,131
24,DNAJC13,O75165,ENSG00000138246,71
26,DNAJC17,Q9NVM6,ENSG00000104129,15
27,DNAJC18,Q9H819,ENSG00000170464,100
28,DNAJC2,Q99543,ENSG00000105821,14
30,DNAJC24,Q6P3W2,ENSG00000170946,73
34,DNAJC5,Q9H3Z4,ENSG00000101152,108
36,DNAJC7,Q99615,ENSG00000168259,127
37,DNAJC8,O75937,ENSG00000285317,56
38,DNAJC9,Q8WXX5,ENSG00000213551,74
39,HSF1,Q00613,ENSG00000185122,15
41,HSP90AA1,P07900,ENSG00000080824,31
42,HSP90AB1,P08238,ENSG00000096384,154
43,HSP90B1,P14625,ENSG00000166598,39
44,HSPA12A,O43301,ENSG00000165868,46
45,HSPA14,Q0VDF9,ENSG00000187522,105
46,HSPA1B,P0DMV9,ENSG00000231555,154
47,HSPA4,P34932,ENSG00000170606,80
48,HSPA4L,O95757,ENSG00000164070,28
49,HSPA8,P11142,ENSG00000109971,154
50,HSPB1,P04792,ENSG00000106211,39
51,HSPB11,Q9Y547,ENSG00000081870,147
52,HSPBP1,Q9NZL4,ENSG00000133265,10
53,HSPH1,Q92598,ENSG00000120694,10
54,STIP1,P31948,ENSG00000168439,154
55,NEDD1,Q8NHV4,ENSG00000139350,8
59,SQSTM1,Q13501,ENSG00000161011,58
61,WWP1,Q9H0M0,ENSG00000123124,152
64,BTF3,P20290,ENSG00000145741,14
65,G3BP1,Q13283,ENSG00000145907,0
66,G3BP2,Q9UN86,ENSG00000138757,0
67,CHMP3,Q9Y3E7,ENSG00000115561,147
68,CHMP6,Q96FZ7,ENSG00000176108,25
69,PDCD6IP,Q8WUM4,ENSG00000170248,39
73,PTGES3,Q15185,ENSG00000110958,31
74,AGTRAP,Q6RW13,ENSG00000177674,22
75,ATG9A,Q7Z3C6,ENSG00000198925,60
76,CHM,P24386,ENSG00000188419,168
78,RAB4A,P20338,ENSG00000168118,141
79,SCAMP1,O15126,ENSG00000085365,68
80,SCAMP2,O15127,ENSG00000140497,68
81,SCAMP4,Q969E2,ENSG00000227500,60
82,SLC7A1,P30825,ENSG00000139514,33
84,STX12,Q86Y82,ENSG00000117758,32
85,VAMP3,Q15836,ENSG00000049245,60
86,VDAC1,P21796,ENSG00000213585,131
87,VDAC2,P45880,ENSG00000165637,79
88,VDAC3,Q9Y277,ENSG00000078668,131
90,UBC,P0CG48,ENSG00000150991,26
91,SACM1L,Q9NTJ5,ENSG00000211456,43
92,NUP35,Q8NFH5,ENSG00000163002,65
93,ARL6IP1,Q15041,ENSG00000170540,145
96,PSMA4,P25789,ENSG00000041357,1
97,PSMB4,P28070,ENSG00000159377,1
98,SEM1,P60896,ENSG00000127922,155
99,PSMB1,P20618,ENSG00000008018,1
100,PSMB3,P49720,ENSG00000277791,142
101,PSME3,P61289,ENSG00000131467,56
102,PSMB7,Q99436,ENSG00000136930,1
103,PSMD4,P55036,ENSG00000159352,1
104,PSMC3,P17980,ENSG00000165916,142
105,PSMD2,Q13200,ENSG00000175166,1
106,PSMB6,P28072,ENSG00000142507,41
107,PSMB5,P28074,ENSG00000100804,1
109,PSMA3,P25788,ENSG00000100567,41
110,PSMG1,O95456,ENSG00000183527,98
111,PSMA6,P60900,ENSG00000100902,1
112,PSMC5,P62195,ENSG00000087191,41
113,PSMA2,P25787,ENSG00000106588,1
114,PSMF1,Q92530,ENSG00000125818,142
115,PSMA1,P25786,ENSG00000129084,1
116,PSMC2,P35998,ENSG00000161057,41
117,PSMD6,Q15008,ENSG00000163636,41
118,PSMA5,P28066,ENSG00000143106,1
119,PSMD3,O43242,ENSG00000108344,142
120,PSMD7,P51665,ENSG00000103035,142
121,PSMD13,Q9UNM6,ENSG00000185627,1
123,PSMD11,O00231,ENSG00000108671,41
124,PSMC4,P43686,ENSG00000013275,41
125,PSMD12,O00232,ENSG00000197170,41
126,PSMB2,P49721,ENSG00000126067,41
127,PSMD1,Q99460,ENSG00000173692,1
128,PSMC6,P62333,ENSG00000100519,1
129,PSMG3,Q9BT73,ENSG00000157778,98
130,PSMD9,O00233,ENSG00000110801,10
133,PSME2,Q9UL46,ENSG00000100911,10
134,PSMC3IP,Q9P2W1,ENSG00000131470,111
135,PSME1,Q06323,ENSG00000092010,124
137,PSMG4,Q5JS54,ENSG00000180822,63
138,PSME4,Q14997,ENSG00000068878,119
139,PSMG2,Q969U7,ENSG00000128789,28
140,INPPL1,O15357,ENSG00000165458,152
141,PIP5K1A,Q99755,ENSG00000143398,25
142,PI4KB,Q9UBF8,ENSG00000143393,61
143,BPNT1,O95861,ENSG00000162813,89
144,MTMR1,Q13613,ENSG00000063601,103
145,PI4KA,P42356,ENSG00000241973,109
146,PIK3R2,O00459,ENSG00000105647,109
147,MTMR2,Q13614,ENSG00000087053,93
148,PIK3C2A,O00443,ENSG00000011405,29
149,CANX,P27824,ENSG00000283777,9
150,OCRL,Q01968,ENSG00000122126,81
152,PIP4P1,Q86T03,ENSG00000165782,96
154,PIP4K2A,P48426,ENSG00000150867,109
156,PIP4K2B,P78356,ENSG00000276293,82
157,INPP4A,Q96PE3,ENSG00000040933,29
158,PIP4K2C,Q8TBX8,ENSG00000166908,152
162,INPP5K,Q9BT40,ENSG00000132376,42
164,INPP5E,Q9NRR6,ENSG00000148384,8
167,PIP5K1C,O60331,ENSG00000186111,109
168,PIK3C3,Q8NEB9,ENSG00000078142,20
169,IMPA2,O14732,ENSG00000141401,19
170,PLD2,O14939,ENSG00000129219,152
172,PI4K2A,Q9BTU6,ENSG00000155252,79
173,PIKFYVE,Q9Y2I7,ENSG00000115020,20
175,NUP153,P49790,ENSG00000124789,65
178,OSTC,Q9NRP0,ENSG00000198856,125
179,KRTCAP2,Q8N6L1,ENSG00000163463,125
180,DDOST,P39656,ENSG00000244038,9
181,STT3A,P46977,ENSG00000134910,125
182,STT3B,Q8TCJ2,ENSG00000163527,125
183,RPN1,P04843,ENSG00000163902,9
184,RPN2,P04844,ENSG00000118705,9
185,OST4,P0C6T2,ENSG00000228474,9
186,DAD1,P61803,ENSG00000129562,125
187,ACLY,P53396,ENSG00000131473,107
188,CEP170,Q5SW79,ENSG00000143702,8
191,CEP250,Q9BV73,ENSG00000126001,8
193,CEP78,Q5JTW2,ENSG00000148019,8
194,CEP85,Q6P2H3,ENSG00000130695,8
196,CEP131,Q9UPN4,ENSG00000141577,130
198,CEP350,Q5VT06,ENSG00000135837,8
199,CEP72,Q9P209,ENSG00000112877,8
200,CEP164,Q9UPV0,ENSG00000110274,8
202,CEP135,Q66GS9,ENSG00000174799,8
204,CEP192,Q8TEP8,ENSG00000101639,8
205,CETN2,P41208,ENSG00000147400,90
206,CETN3,O15182,ENSG00000153140,90
207,CCT2,P78371,ENSG00000166226,70
208,CCT3,P49368,ENSG00000163468,70
209,CCT4,P50991,ENSG00000115484,70
210,CCT5,P48643,ENSG00000150753,70
211,CCT6A,P40227,ENSG00000146731,70
212,CCT7,Q99832,ENSG00000135624,70
213,CCT8,P50990,ENSG00000156261,70
214,PPP2CA,P67775,ENSG00000113575,90
215,PPP2CB,P62714,ENSG00000104695,82
216,CDC23,Q9UJX2,ENSG00000094880,26
219,ANAPC11,Q9NYG5,ENSG00000141552,19
222,ANAPC16,Q96DE5,ENSG00000166295,26
223,ANAPC2,Q9UJX6,ENSG00000176248,77
224,ANAPC4,Q9UJX5,ENSG00000053900,26
227,CDC16,Q13042,ENSG00000130177,26
228,CDC20,Q12834,ENSG00000117399,170
229,CDC26,Q8NHZ8,ENSG00000176386,26
230,BUB1B,O60566,ENSG00000156970,2
232,CDC27,P30260,ENSG00000004897,26
233,MED21,Q13503,ENSG00000152944,7
234,MED24,O75448,ENSG00000008838,24
235,MED10,Q9BTT4,ENSG00000133398,24
236,MED6,O75586,ENSG00000133997,24
237,MED8,Q96G25,ENSG00000159479,24
238,MED17,Q9NVC6,ENSG00000042429,24
239,MED18,Q9BUE0,ENSG00000130772,7
240,MED20,Q9H944,ENSG00000124641,7
243,MED28,Q9H204,ENSG00000118579,7
244,MED15,Q96RN5,ENSG00000099917,24
245,MED25,Q71SY5,ENSG00000104973,24
246,MED14,O60244,ENSG00000180182,7
247,MED31,Q9Y3C7,ENSG00000108590,7
248,MED19,A0JLT2,ENSG00000156603,7
249,MED4,Q9NPJ6,ENSG00000136146,7
250,MED11,Q9P086,ENSG00000161920,7
251,MED22,Q15528,ENSG00000148297,7
252,MED27,Q6P2C8,ENSG00000160563,153
253,MED9,Q9NWA0,ENSG00000141026,7
254,MED29,Q9NX70,ENSG00000063322,7
262,CCDC22,O60826,ENSG00000101997,71
263,CCDC93,Q567U6,ENSG00000125633,71
264,RANBP1,P43487,ENSG00000099901,67
266,COMMD1,Q8N668,ENSG00000173163,71
267,COMMD2,Q86X83,ENSG00000114744,33
268,COMMD4,Q9H0A8,ENSG00000140365,71
269,COMMD6,Q7Z4G1,ENSG00000188243,33
272,HMGCS1,Q01581,ENSG00000112972,165
274,MVK,Q03426,ENSG00000110921,73
275,PMVK,Q15126,ENSG00000163344,146
276,MVD,P53602,ENSG00000167508,69
277,IDI1,Q13907,ENSG00000067064,19
278,FDPS,P14324,ENSG00000160752,165
279,GGPS1,O95749,ENSG00000152904,29
282,SEC14L1,Q92503,ENSG00000129657,175
283,LSS,P48449,ENSG00000160285,173
284,CYP51A1,Q16850,ENSG00000001630,112
287,CYB5R3,P00387,ENSG00000100243,78
288,NSDHL,Q15738,ENSG00000147383,49
289,EBP,Q15125,ENSG00000147155,53
290,SC5D,O75845,ENSG00000109929,33
292,DHCR24,Q15392,ENSG00000116133,100
293,SPTLC2,O15270,ENSG00000100596,42
294,KDSR,Q06136,ENSG00000119537,42
299,DEGS1,O15121,ENSG00000143753,112
311,SGPL1,O95470,ENSG00000166224,49
314,FASN,P49327,ENSG00000169710,39
315,ELOVL1,Q9BW60,ENSG00000066322,79
318,ELOVL5,Q9NYP7,ENSG00000012660,53
319,ELOVL6,Q9H5J4,ENSG00000170522,33
321,SCD,O00767,ENSG00000099194,53
322,SCD5,Q86SK9,ENSG00000145284,75
326,GPAT3,Q53EU6,ENSG00000138678,100
327,GPAT4,Q86UL3,ENSG00000158669,42
328,AGPAT2,O15120,ENSG00000169692,75
332,UBB,P0CG47,ENSG00000170315,89
333,LPCAT1,Q8NF37,ENSG00000153395,173
334,LPCAT2,Q7L5N7,ENSG00000087253,112
337,MBOAT2,Q6ZWT7,ENSG00000143797,173
338,MBOAT7,Q96N66,ENSG00000278322,49
340,PLPP1,O14494,ENSG00000067113,23
344,CDS1,Q92903,ENSG00000163624,75
345,CDS2,O95674,ENSG00000101290,53
346,CEPT1,Q9Y6K0,ENSG00000134255,42
347,CDIPT,O14735,ENSG00000103502,53
348,CHPT1,Q8WUD6,ENSG00000111666,127
349,PTDSS1,P48651,ENSG00000156471,66
350,PTDSS2,Q9BVG9,ENSG00000174915,112
352,PLA2G4A,P47712,ENSG00000116711,28
354,ORAI1,Q96D31,ENSG00000276045,23
355,STIM1,Q13586,ENSG00000167323,42
356,ITPR3,Q14573,ENSG00000096433,148
357,CALM1,P0DP23,ENSG00000198668,158
359,GDI1,P31150,ENSG00000203879,134
360,GDI2,P50395,ENSG00000057608,134
362,MAP1LC3B,Q9GZQ8,ENSG00000140941,158
363,SYVN1,Q86TM6,ENSG00000162298,37
364,VCP,P55072,ENSG00000165280,88
366,ATL2,Q8NHH9,ENSG00000119787,42
367,ATL3,Q6DD88,ENSG00000184743,128
368,BCAP31,P51572,ENSG00000185825,145
370,ERG28,Q9UKR5,ENSG00000133935,53
371,C14orf119,Q9NWQ9,ENSG00000179933,124
375,C18orf21,Q32NC0,ENSG00000141428,144
378,FAM174C,Q9BVV8,ENSG00000228300,101
380,TRIR,Q9BQ61,ENSG00000123144,137
381,C19orf53,Q9UNZ5,ENSG00000104979,44
383,CZIB,Q9NWV4,ENSG00000162384,98
385,CFAP298,P57076,ENSG00000159079,150
387,C7orf50,Q9BRJ6,ENSG00000146540,44
391,C8orf33,Q9H7E9,ENSG00000182307,105
393,RBIS,Q8N0T1,ENSG00000176731,86
