cell_line_id,target_name,uniprot_id,ensg_id,leiden
395,C9orf16,Q9BUW7,ENSG00000171159,98
398,CD63,P08962,ENSG00000135404,96
399,CD81,P60033,ENSG00000110651,34
400,CD9,P21926,ENSG00000010278,34
401,CLTA,P09496,ENSG00000122705,60
402,CLTB,P09497,ENSG00000175416,60
403,CLTC,Q00610,ENSG00000141367,60
404,CERT1,Q9Y5P4,ENSG00000113163,61
405,ESYT1,Q9BSJ8,ENSG00000139641,60
408,MTOR,P42345,ENSG00000198793,108
412,OSBP,P22059,ENSG00000110048,130
413,OSBPL11,Q9BXB4,ENSG00000144909,61
414,OSBPL8,Q9BZF1,ENSG00000091039,122
415,RAB10,P61026,ENSG00000084733,141
416,RAB11A,P62491,ENSG00000103769,163
417,RAB11B,Q15907,ENSG00000185236,163
419,RAB13,P51153,ENSG00000143545,108
420,RAB14,P61106,ENSG00000119396,104
421,RAB18,Q9NP72,ENSG00000099246,140
422,RAB1A,P62820,ENSG00000138069,22
423,RAB1B,Q9H0U4,ENSG00000174903,22
425,RAB23,Q9ULC3,ENSG00000112210,25
426,RAB24,Q969Q5,ENSG00000169228,100
428,RAB29,O14966,ENSG00000117280,100
429,RAB2A,P61019,ENSG00000104388,104
430,RAB2B,Q8WUD1,ENSG00000129472,78
433,RAB35,Q15286,ENSG00000111737,54
434,RAB3D,O95716,ENSG00000105514,78
435,RAB3GAP2,Q9H2M9,ENSG00000118873,81
438,RAB5A,P20339,ENSG00000144566,20
439,RAB5B,P61020,ENSG00000111540,122
440,RAB6B,Q9NRW1,ENSG00000154917,43
441,RAB7A,P51149,ENSG00000075785,96
442,RAB8B,Q92930,ENSG00000166128,108
443,RAB9A,P51151,ENSG00000123595,78
444,RABAC1,Q9UI14,ENSG00000105404,22
445,RABEP1,Q15276,ENSG00000029725,72
446,RABEPK,Q7Z6M1,ENSG00000136933,19
447,RABGAP1,Q9Y3P9,ENSG00000011454,179
448,RABGAP1L,Q5R372,ENSG00000152061,179
449,RABGGTA,Q92696,ENSG00000100949,120
450,RABGGTB,P53611,ENSG00000137955,10
451,RABIF,P47224,ENSG00000183155,89
452,RABL3,Q5HYI8,ENSG00000144840,99
453,RHEB,Q15382,ENSG00000106615,93
454,RTN4,Q9NQC3,ENSG00000115310,145
456,SEC61B,P60468,ENSG00000106803,9
458,SPTLC1,O15269,ENSG00000090054,128
460,VAPA,Q9P0L0,ENSG00000101558,104
461,VAPB,O95292,ENSG00000124164,104
462,YWHAB,P31946,ENSG00000166913,27
463,YWHAE,P62258,ENSG00000108953,27
464,YWHAG,P61981,ENSG00000170027,27
465,YWHAH,Q04917,ENSG00000128245,27
466,YWHAQ,P27348,ENSG00000134308,27
467,YWHAZ,P63104,ENSG00000164924,27
468,TRAPPC1,Q9Y5R8,ENSG00000170043,141
469,MIS12,Q9H081,ENSG00000167842,111
471,TRAPPC11,Q7Z392,ENSG00000168538,72
473,TRAPPC2,P0DI81,ENSG00000196459,29
479,KRAS,P01116,ENSG00000133703,25
483,ARL1,P40616,ENSG00000120805,43
485,ARL13B,Q3SXY8,ENSG00000169379,8
490,ARL2,P36404,ENSG00000213465,69
491,ARL3,P36405,ENSG00000138175,150
495,ARL8A,Q96BM9,ENSG00000143862,45
496,ARL8B,Q9NVJ2,ENSG00000134108,96
498,ARL6,Q9H0F7,ENSG00000113966,45
499,ARL14EP,Q8N8R7,ENSG00000152219,55
500,ARL2BP,Q9Y2Y0,ENSG00000102931,63
501,ARL6IP4,Q66PJ3,ENSG00000182196,97
502,ARL6IP5,O75915,ENSG00000144746,75
503,ARL6IP6,Q8N6S5,ENSG00000177917,55
504,APPL1,Q9UKG1,ENSG00000157500,139
505,ACTR2,P61160,ENSG00000138071,113
508,ARPC3,O15145,ENSG00000111229,113
509,BCAR1,P56945,ENSG00000285460,2
510,BIN1,O00499,ENSG00000136717,13
512,CALM2,P0DP24,ENSG00000143933,158
513,CALM3,P0DP25,ENSG00000160014,158
514,CDC42,P60953,ENSG00000070831,174
518,CHEK1,O14757,ENSG00000149554,74
519,CORO1B,Q9BR76,ENSG00000172725,113
520,CORO1C,Q9ULV4,ENSG00000110880,113
521,CTTN,Q14247,ENSG00000288401,113
522,DBNL,Q9UJU6,ENSG00000136279,121
523,DNM1,Q05193,ENSG00000106976,59
524,DNM2,P50570,ENSG00000079805,139
525,EPN1,Q9Y6I3,ENSG00000063245,118
526,EPN2,O95208,ENSG00000072134,29
527,EPS15,P42566,ENSG00000085832,117
528,FNBP1,Q96RU3,ENSG00000187239,13
529,GAK,O14976,ENSG00000178950,72
530,GRB2,P62993,ENSG00000177885,98
531,HIP1,O00291,ENSG00000127946,72
533,EEA1,Q15075,ENSG00000102189,40
534,MAP4K4,O95819,ENSG00000071054,13
535,MYO1E,Q12965,ENSG00000157483,76
536,NCK1,P16333,ENSG00000158092,13
537,NCKAP1,Q9Y2A7,ENSG00000061676,118
538,NECAP1,Q8NC96,ENSG00000089818,77
539,NECAP2,Q9NVZ3,ENSG00000157191,77
540,PACSIN2,Q9UNF0,ENSG00000100266,87
541,PAK1,Q13153,ENSG00000149269,13
542,PAK2,Q13177,ENSG00000180370,103
543,PICALM,Q13492,ENSG00000073921,117
545,PXN,P49023,ENSG00000089159,13
546,SNX9,Q9Y5X1,ENSG00000130340,87
549,WASF1,Q92558,ENSG00000112290,76
550,WASF2,Q9Y6W5,ENSG00000158195,110
551,WIPF2,Q8TF74,ENSG00000171475,13
552,WWOX,Q9NZC7,ENSG00000186153,161
553,RBSN,Q9H1K0,ENSG00000131381,33
556,ARHGAP21,Q5T5U3,ENSG00000107863,6
558,ARHGAP35,Q9NRY4,ENSG00000160007,59
560,ARHGAP8,P85298,ENSG00000241484,6
561,CHN1,P15882,ENSG00000128656,73
563,DEPDC1B,Q8WUY9,ENSG00000035499,6
565,MYO9A,B2RTY4,ENSG00000066933,6
566,ARHGEF12,Q9NZN5,ENSG00000196914,59
567,ARHGEF18,Q6ZSZ5,ENSG00000104880,51
573,DOCK7,Q96N67,ENSG00000116641,116
575,ECT2,Q9H8V3,ENSG00000114346,92
576,FARP1,Q9Y4F1,ENSG00000152767,23
578,ITSN1,Q15811,ENSG00000205726,117
579,ITSN2,Q9NZM3,ENSG00000198399,117
580,NET1,Q7Z628,ENSG00000173848,170
583,TIAM1,Q13009,ENSG00000156299,59
585,RHOB,P62745,ENSG00000143878,25
587,RHOC,P08134,ENSG00000155366,10
588,RND3,P61587,ENSG00000115963,82
590,ARHGAP1,Q07960,ENSG00000175220,141
591,ARHGAP11A,Q6P4F7,ENSG00000275568,85
592,ARHGAP17,Q68EM7,ENSG00000140750,29
595,MYO9B,Q13459,ENSG00000099331,59
596,PIK3R1,P27986,ENSG00000145675,109
598,RALBP1,Q15311,ENSG00000017797,72
599,AKAP13,Q12802,ENSG00000170776,2
602,ARHGEF7,Q14155,ENSG00000102606,87
603,DOCK11,Q5JSL3,ENSG00000147251,59
604,SOS1,Q07889,ENSG00000115904,51
605,ABR,Q12979,ENSG00000278741,51
607,RAC1,P63000,ENSG00000136238,54
608,RAC3,P60763,ENSG00000169750,174
609,RHOA,P61586,ENSG00000067560,134
611,RHOG,P84095,ENSG00000177105,108
613,MYL12B,O14950,ENSG00000118680,16
614,VASP,P50552,ENSG00000125753,29
615,DIAPH1,O60610,ENSG00000131504,4
618,AKT1,P31749,ENSG00000142208,45
619,PFN1,P07737,ENSG00000108518,67
621,CAPZB,P47756,ENSG00000077549,139
622,VCL,P18206,ENSG00000035403,27
623,UTRN,P46939,ENSG00000152818,86
624,CLIP1,P30622,ENSG00000130779,157
650,AGAP1,Q9UPQ3,ENSG00000157985,6
651,AGAP3,Q96P47,ENSG00000133612,77
653,ARF1,P84077,ENSG00000143761,43
654,ARF3,P61204,ENSG00000134287,146
655,ARF4,P18085,ENSG00000168374,49
656,ARF5,P84085,ENSG00000004059,49
657,ARF6,P62330,ENSG00000165527,54
658,ARFGAP2,Q8N6H7,ENSG00000149182,22
659,ARFGAP3,Q9NP61,ENSG00000242247,22
660,ARFGEF2,Q9Y6D5,ENSG00000124198,20
661,GBF1,Q92538,ENSG00000107862,61
662,FNBP1L,Q5T0N5,ENSG00000137942,166
663,PACSIN3,Q9UKS6,ENSG00000165912,86
664,FCHSD2,O94868,ENSG00000137478,37
665,BAIAP2,Q9UQB8,ENSG00000175866,118
666,BAIAP2L1,Q9UHR4,ENSG00000006453,118
668,BIN3,Q9NQY0,ENSG00000147439,2
669,SH3GL1,Q99961,ENSG00000141985,139
670,SH3GLB1,Q9Y371,ENSG00000097033,157
671,SH3GLB2,Q9NR46,ENSG00000148341,81
672,APPL2,Q8NEU8,ENSG00000136044,166
674,ACAP2,Q15057,ENSG00000114331,76
675,ACAP3,Q96P50,ENSG00000131584,6
677,ARFIP1,P53367,ENSG00000164144,101
678,SNX1,Q13596,ENSG00000028528,40
679,SNX2,O60749,ENSG00000205302,40
680,SNX3,O60493,ENSG00000112335,40
681,SNX4,O95219,ENSG00000114520,40
682,SNX5,Q9Y5X3,ENSG00000089006,40
684,SNX7,Q9UNH6,ENSG00000162627,20
685,APC,P25054,ENSG00000134982,37
686,SNX11,Q9Y5W9,ENSG00000002919,176
687,SNX12,Q9UMY4,ENSG00000147164,40
691,SNX17,Q15036,ENSG00000115234,29
693,SNX27,Q96L92,ENSG00000143376,40
696,POLR2A,P24928,ENSG00000284832,84
697,POLR2B,P30876,ENSG00000047315,84
698,POLR2C,P19387,ENSG00000102978,84
699,POLR2D,O15514,ENSG00000144231,64
700,POLR2E,P19388,ENSG00000099817,50
701,POLR2F,P61218,ENSG00000100142,50
702,POLR2G,P62487,ENSG00000168002,84
703,POLR2H,P52434,ENSG00000163882,50
704,POLR2I,P36954,ENSG00000105258,84
705,POLR2J,P52435,ENSG00000005075,84
707,POLR2K,P53803,ENSG00000147669,50
709,POLR3A,O14802,ENSG00000148606,149
710,POLR3B,Q9NW08,ENSG00000013503,149
711,POLR3C,Q9BUI4,ENSG00000186141,11
712,POLR3D,P05423,ENSG00000168495,153
713,POLR3E,Q9NVU0,ENSG00000058600,149
714,POLR3F,Q9H1D9,ENSG00000132664,149
715,POLR3G,O15318,ENSG00000113356,181
716,POLR3GL,Q9BT43,ENSG00000121851,181
717,POLR3H,Q9Y535,ENSG00000100413,149
719,MKI67,P46013,ENSG00000148773,44
721,NIFK,Q9BYG3,ENSG00000155438,21
723,TUBG1,P23258,ENSG00000131462,28
724,GJA1,P17302,ENSG00000152661,58
727,KRT18,P05783,ENSG00000111057,140
728,SEPTIN2,Q15019,ENSG00000168385,16
729,SEPTIN7,Q16181,ENSG00000122545,16
730,SEPTIN9,Q9UHD8,ENSG00000282302,16
731,SEPTIN11,Q9NVA2,ENSG00000138758,16
732,SEPTIN8,Q92599,ENSG00000164402,116
736,TJP1,Q07157,ENSG00000277401,58
737,TJP2,Q9UDY2,ENSG00000119139,58
738,EIF2AK2,P19525,ENSG00000055332,14
740,PKMYT1,Q99640,ENSG00000127564,75
741,CTNNB1,P35222,ENSG00000168036,86
744,YKT6,O15498,ENSG00000106636,150
745,NAPA,P54920,ENSG00000105402,146
746,BET1,O15155,ENSG00000105829,99
747,VAMP2,P63027,ENSG00000220205,68
748,SEC22B,O75396,ENSG00000265808,53
749,BET1L,Q9NYM9,ENSG00000177951,32
750,GOSR2,O14653,ENSG00000108433,99
751,STX3,Q13277,ENSG00000166900,25
752,BNIP1,Q12981,ENSG00000113734,128
753,GOSR1,O95249,ENSG00000108587,99
755,STX8,Q9UNK0,ENSG00000170310,32
756,STX5,Q13190,ENSG00000162236,101
757,VTI1B,Q9UEU0,ENSG00000100568,32
758,STX18,Q9P2W9,ENSG00000168818,128
759,VTI1A,Q96AJ9,ENSG00000151532,68
760,STX10,O60499,ENSG00000104915,99
761,STX6,O43752,ENSG00000135823,99
762,SCFD1,Q8WVM8,ENSG00000092108,43
763,VAMP8,Q9BV40,ENSG00000118640,68
764,STX16,O14662,ENSG00000124222,68
765,STX7,O15400,ENSG00000079950,32
766,NAPG,Q9BXF6,ENSG00000135631,77
768,STX2,P32856,ENSG00000111450,25
771,VAMP4,O75379,ENSG00000117533,32
772,CHMP1A,Q9HD42,ENSG00000131165,148
773,CHMP2A,O43633,ENSG00000130724,115
774,CHMP2B,Q9UQN3,ENSG00000083937,177
775,CHMP4A,Q9BY43,ENSG00000285302,147
776,CHMP4B,Q9H444,ENSG00000101421,58
779,CHMP7,Q8WUX9,ENSG00000147457,108
780,HGS,O14964,ENSG00000185359,40
781,IST1,P53990,ENSG00000182149,87
782,MVB12A,Q96EY5,ENSG00000141971,87
783,SNF8,Q96H20,ENSG00000159210,10
784,SPAST,Q9UBP0,ENSG00000021574,147
785,STAM,Q92783,ENSG00000136738,71
786,STAM2,O75886,ENSG00000115145,71
787,TSG101,Q99816,ENSG00000074319,151
788,VPS25,Q9BRG1,ENSG00000131475,10
789,VPS28,Q9UK41,ENSG00000160948,13
790,VPS36,Q86VN1,ENSG00000136100,69
791,VPS37B,Q9H9H4,ENSG00000139722,168
796,GOLGA2,Q08379,ENSG00000167110,130
797,PFDN6,O15212,ENSG00000206283,93
798,PHF10,Q8WUB8,ENSG00000130024,15
799,CCAR1,Q8IX12,ENSG00000060339,133
800,ARFIP2,P53365,ENSG00000132254,161
801,TATDN3,Q17R31,ENSG00000203705,69
802,MSH6,P52701,ENSG00000116062,65
803,ARFGEF1,Q9Y6D6,ENSG00000066777,72
804,USP1,O94782,ENSG00000162607,11
805,TMEM87A,Q8NBN3,ENSG00000103978,160
806,LARP7,Q4G0J3,ENSG00000174720,15
809,ZNF326,Q5BKZ1,ENSG00000162664,159
810,LIG1,Q96JA1,ENSG00000144749,55
813,MAN1A2,O60476,ENSG00000198162,79
816,GPR107,Q5VW38,ENSG00000148358,160
817,SYAP1,Q96A49,ENSG00000169895,61
818,MFN1,Q8IWA4,ENSG00000171109,131
820,TOMM20,Q15388,ENSG00000173726,131
821,TOMM70,O94826,ENSG00000154174,131
825,TUBA1B,P68363,ENSG00000123416,39
826,TUBB4B,P68371,ENSG00000188229,52
828,MAP4,P27816,ENSG00000047849,145
830,EDC4,Q6P2E9,ENSG00000038358,83
831,SEC16A,O15027,ENSG00000148396,143
832,CLINT1,Q14677,ENSG00000113282,121
833,EDC3,Q96F86,ENSG00000179151,138
835,DCP1B,Q8IZD4,ENSG00000284850,83
836,DCP2,Q8IU60,ENSG00000172795,83
837,DCP1A,Q9NPI6,ENSG00000272886,83
838,VIM,P08670,ENSG00000026025,140
839,LNPK,Q9C0E8,ENSG00000144320,60
840,POLR1A,O95602,ENSG00000068654,18
841,POLR1B,Q9H9Y6,ENSG00000125630,18
842,POLR1D,P0DPB6,ENSG00000186184,50
843,POLR1C,O15160,ENSG00000171453,50
844,POLR1E,Q9GZS1,ENSG00000137054,106
845,POLR1F,Q3B726,ENSG00000105849,18
846,UBTF,P17480,ENSG00000108312,50
847,TBP,P20226,ENSG00000112592,159
851,TAF1D,Q9H5J8,ENSG00000166012,175
852,TAF12,Q16514,ENSG00000120656,15
