in_cluster_gene_name,mcl_community_id,core_cluster_id,module_id,branch_id,uniprot_id
DKFZP564M2223,1,0,M17,C,Q659G3
EPRS1,1,NULL,M17,C,P07814
RPS10-NUDT3,1,0,M17,C,NA
SRP9,1,0,M17,C,P49458
CCDC86,1,NULL,M17,C,Q9H6F5
EIF4B,1,1,M17,C,P23588
SERBP1,1,0,M17,C,Q8NC51
HMGB2,1,0,M17,C,P26583
FAU,1,1,M17,C,P62861
MTDH,1,0,M17,C,Q86UE4
PRRC2B,1,NULL,M17,C,Q5JSZ5
AVEN,1,NULL,M17,C,Q9NQS1
NCL,1,0,M17,C,P19338
G3BP2,1,0,M17,C,Q9UN86
CCDC124,1,0,M17,C,Q96CT7
LARP4B,1,NULL,M17,C,Q92615
G3BP1,1,0,M17,C,Q13283
RBM8A,1,0,M17,C,Q9Y5S9
WASH6P,1,NULL,M17,C,Q9NQA3
CAPRIN1,1,0,M17,C,Q14444
LYAR,1,NULL,M17,C,Q9NX58
RRP1B,1,NULL,M17,C,Q14684
ZCCHC17,1,NULL,M17,C,Q9NP64
RPLP2,1,0,M17,C,P05387
ILF3,1,0,M17,C,Q12906
RPS10,1,0,M17,C,P46783
ZNF598,1,NULL,M17,C,Q86UK7
WASH4P,1,NULL,M17,C,A8MWX3
RPS25,1,0,M17,C,P62851
WASH3P,1,NULL,M17,C,C4AMC7
RPS26,1,0,M17,C,P62854
WASH2P,1,NULL,M17,C,Q6VEQ5
RBM28,1,NULL,M17,C,Q9NW13
RPL39,1,0,M17,C,P62891
RPL39P5,1,0,M17,C,Q59GN2
WASHC1,1,NULL,M17,C,A8K0Z3
PSPC1,1,1,M17,C,Q8WXF1
LARP4,1,NULL,M17,C,Q71RC2
RPL24,1,0,M17,C,P83731
MAGEB2,1,NULL,M17,C,O15479
RPS24,1,0,M17,C,P62847
RPS14,1,0,M17,C,P62263
ZC3H15,1,0,M17,C,Q8WU90
RPLP1,1,0,M17,C,P05386
GNL2,1,NULL,M17,C,Q13823
RPS28,1,0,M17,C,P62857
RPL23A,1,0,M17,C,P62750
RPS6,1,0,M17,C,P62753
RPL26,1,0,M17,C,P61254
RPL14,1,0,M17,C,P50914
STAU1,1,0,M17,C,O95793
BTF3L4,1,NULL,M17,C,Q96K17
RPS27,1,0,M17,C,P42677
RPL26L1,1,0,M17,C,Q9UNX3
HSPB1,1,0,M17,C,P04792
RPL13,1,0,M17,C,P26373
METAP2,1,0,M17,C,P50579
SRP19,1,0,M17,C,P09132
LSG1,1,NULL,M17,C,Q9H089
SRP14,1,0,M17,C,P37108
RPL18,1,0,M17,C,Q07020
CENPQ,1,NULL,M17,C,Q7L2Z9
RPL21,1,0,M17,C,P46778
RPL36,1,0,M17,C,Q9Y3U8
RPL19,1,0,M17,C,P84098
RPL6,1,0,M17,C,Q02878
RPL35,1,0,M17,C,P42766
RPL31,1,0,M17,C,P62899
EIF3CL,1,0,M17,C,B5ME19
EIF3C,1,0,M17,C,Q99613
ZNF622,1,NULL,M17,C,Q969S3
RPL28,1,0,M17,C,P46779
SSR1,1,0,M17,C,P43307
SRP72,1,0,M17,C,O76094
RPS27L,1,0,M17,C,Q71UM5
RPL27A,1,0,M17,C,P46776
RPS19,1,0,M17,C,P39019
NKRF,1,NULL,M17,C,O15226
TARBP2,1,NULL,M17,C,Q15633
SDAD1,1,NULL,M17,C,Q9NVU7
PDZD8,1,NULL,M17,C,Q8NEN9
RPS20,1,0,M17,C,P60866
RPL4,1,0,M17,C,P36578
RPS2,1,0,M17,C,P15880
RPL15,1,0,M17,C,P61313
