in_cluster_gene_name,mcl_community_id,core_cluster_id,module_id,branch_id,uniprot_id
RPL8,1,0,M17,C,P62917
GTPBP4,1,NULL,M17,C,Q9BZE4
RPS9,1,0,M17,C,P46781
RPL34,1,0,M17,C,P49207
RPL17,1,0,M17,C,P18621
RPS15,1,0,M17,C,P62841
EXOSC9,1,NULL,M17,C,Q06265
RPL32,1,0,M17,C,P62910
RPS3A,1,0,M17,C,P61247
PABPC1,1,0,M17,C,P11940
RPL12,1,0,M17,C,P30050
DLG1,1,0,M17,C,Q12959
ILF2,1,0,M17,C,Q12905
RPS7,1,0,M17,C,P62081
PA2G4,1,0,M17,C,Q9UQ80
RPS17,1,0,M17,C,P08708
RPL23,1,0,M17,C,P62829
GSPT1,1,0,M17,C,P15170
RPS23,1,0,M17,C,P62266
RPS3,1,0,M17,C,P23396
RPL7A,1,0,M17,C,P62424
DHX29,1,NULL,M17,C,Q7Z478
MRM3,1,NULL,M17,C,Q9HC36
RPL22,1,0,M17,C,P35268
RPS18,1,0,M17,C,P62269
RPS13,1,0,M17,C,P62277
RPL35A,1,0,M17,C,P18077
RPL30,1,0,M17,C,P62888
RPS16,1,0,M17,C,P62249
SRP68,1,0,M17,C,Q9UHB9
RPL27,1,0,M17,C,P61353
SEC61G,1,0,M17,C,P60059
RPL5,1,0,M17,C,P46777
RPSA,1,0,M17,C,P08865
RPL3,1,0,M17,C,P39023
RPS21,1,0,M17,C,P63220
DHX57,1,NULL,M17,C,Q6P158
RPL18A,1,0,M17,C,Q02543
EXOSC3,1,NULL,M17,C,Q9NQT5
TPT1,1,0,M17,C,P13693
EIF1B,1,NULL,M17,C,O60739
RPL7,1,0,M17,C,P18124
ENY2,1,0,M17,C,Q9NPA8
RPL11,1,0,M17,C,P62913
SND1,1,NULL,M17,C,Q7KZF4
SRP9,1,0,M17,C,P49458
RPS5,1,0,M17,C,P46782
RPS11,1,0,M17,C,P62280
RPS4X,1,0,M17,C,P62701
DHX30,1,NULL,M17,C,Q7L2E3
DARS1,1,NULL,M17,C,P14868
ASCC1,1,NULL,M17,C,Q8N9N2
GPC4,1,NULL,M17,C,O75487
RPL13A,1,0,M17,C,P40429
ABCF2,1,NULL,M17,C,Q9UG63
RPL10A,1,0,M17,C,P62906
DRG1,1,0,M17,C,Q9Y295
GLUD2,1,0,M17,C,P49448
MAGOH,1,0,M17,C,P61326
RPLP0P6,1,0,M17,C,Q8NHW5
GLUD1,1,0,M17,C,P00367
MAGOHB,1,0,M17,C,Q96A72
RPS12,1,0,M17,C,P25398
RPL9,1,0,M17,C,P32969
EXOSC4,1,NULL,M17,C,Q9NPD3
RPL10,1,0,M17,C,P27635
RPS15A,1,0,M17,C,P62244
RPLP0,1,0,M17,C,P05388
RACK1,1,0,M17,C,P63244
RACK1,1,0,M17,C,P63244
MARS1,1,0,M17,C,P56192
EEF2,1,0,M17,C,P13639
SERPINB12,1,NULL,M17,C,Q96P63
EIF4A2,1,NULL,M17,C,Q14240
SSR4,1,0,M17,C,P51571
ATG4B,1,0,M17,C,Q9Y4P1
SRP54,1,0,M17,C,P61011
HERC5,1,NULL,M17,C,Q9UII4
ATG7,1,0,M17,C,O95352
FASTKD2,1,0,M17,C,Q9NYY8
HCG_1984214,2,NULL,M17,C,I3L0E3
KRI1,2,NULL,M17,C,Q8N9T8
NPM1,2,NULL,M17,C,P06748
RRP8,2,NULL,M17,C,O43159
ISG20L2,2,NULL,M17,C,Q9H9L3
MRPS18B,2,NULL,M17,C,Q9Y676
NIFK,2,NULL,M17,C,Q9BYG3
MRPS23,2,NULL,M17,C,Q9Y3D9
NPM3,2,NULL,M17,C,O75607
SENP5,2,NULL,M17,C,Q96HI0
MRPL41,2,NULL,M17,C,Q8IXM3
PUM3,2,NULL,M17,C,Q15397
MRPL24,2,NULL,M17,C,Q96A35
EPB41L5,2,NULL,M17,C,Q9HCM4
CMAS,2,NULL,M17,C,Q8NFW8
MRPS17,2,NULL,M17,C,Q9Y2R5
RIOX2,2,NULL,M17,C,Q8IUF8
NEPRO,2,NULL,M17,C,Q6NW34
RFLNB,3,NULL,M06,A,Q8N5W9
CALD1,3,2,M06,A,Q05682
KIAA1671,3,NULL,M06,A,Q9BY89
WASHC2A,3,2,M06,A,Q641Q2
LIMA1,3,NULL,M06,A,Q9UHB6
UBN2,3,NULL,M06,A,Q6ZU65
NEXN,3,NULL,M06,A,Q0ZGT2
SIPA1L3,3,NULL,M06,A,O60292
PPP1R9A,3,NULL,M06,A,Q9ULJ8
SPECC1,3,NULL,M06,A,Q5M775
PEAK1,3,NULL,M06,A,Q9H792
CNOT2,3,NULL,M06,A,Q9NZN8
CD2AP,3,2,M06,A,Q9Y5K6
DBNL,3,NULL,M06,A,Q9UJU6
SVIL,3,NULL,M06,A,O95425
PHLDB2,3,NULL,M06,A,Q86SQ0
CABIN1,3,NULL,M06,A,Q9Y6J0
SPAST,3,NULL,M06,A,Q9UBP0
NSUN2,3,NULL,M06,A,Q08J23
AIF1L,3,NULL,M06,A,Q9BQI0
DCTN2,3,2,M06,A,Q13561
MPP5,3,NULL,M06,A,Q8N3R9
TMOD1,3,NULL,M06,A,P28289
ASF1A,3,NULL,M06,A,Q9Y294
FLNA,3,NULL,M06,A,P21333
FLNC,3,NULL,M06,A,Q14315
TMOD3,3,NULL,M06,A,Q9NYL9
HIRA,3,NULL,M06,A,P54198
FLNB,3,NULL,M06,A,O75369
CAPZB,3,2,M06,A,P47756
MTPN,3,2,M06,A,P58546
DCTN4,3,2,M06,A,Q9UJW0
TWF1,3,2,M06,A,Q12792
CAPZA1,3,2,M06,A,P52907
PPP1CA,3,NULL,M06,A,P62136
FLII,3,NULL,M06,A,Q13045
PPP1CB,3,NULL,M06,A,P62140
SPTAN1,3,NULL,M06,A,Q13813
PPP1CC,3,NULL,M06,A,P36873
ACTR10,3,2,M06,A,Q9NZ32
MYO5C,3,NULL,M06,A,Q9NQX4
DCTN3,3,2,M06,A,O75935
CAPZA2,3,2,M06,A,P47755
ACTR1B,3,2,M06,A,P42025
DCTN5,3,NULL,M06,A,Q9BTE1
MEAF6,4,NULL,M01,A,Q9HAF1
MSL1,4,NULL,M01,A,Q68DK7
XRCC1,4,NULL,M01,A,P18887
H2BC21,4,3,M01,A,Q16778
KAT7,4,NULL,M01,A,O95251
H3C15,4,3,M01,A,Q71DI3
UHRF1,4,NULL,M01,A,Q96T88
PNKP,4,NULL,M01,A,Q96T60
LIG3,4,NULL,M01,A,P49916
APTX,4,NULL,M01,A,Q7Z2E3
PARP1,4,3,M01,A,P09874
CHD1L,4,NULL,M01,A,Q86WJ1
HLTF,4,NULL,M01,A,Q14527
CORO1B,4,NULL,M01,A,Q9BR76
POLB,4,NULL,M01,A,P06746
SHPRH,4,NULL,M01,A,Q149N8
MCM5,4,NULL,M01,A,P33992
RECQL,4,NULL,M01,A,P46063
CORO1C,4,NULL,M01,A,Q9ULV4
CBX4,5,NULL,M01,A,O00257
PHF2,5,NULL,M01,A,O75151
ING5,5,NULL,M01,A,Q8WYH8
JADE3,5,NULL,M01,A,Q92613
JADE1,5,NULL,M01,A,Q6IE81
PCGF5,5,NULL,M01,A,Q86SE9
GTF3C5,5,NULL,M01,A,Q9Y5Q8
PCGF3,5,NULL,M01,A,Q3KNV8
RPS6KA3,5,NULL,M01,A,P51812
CSNK2B,5,NULL,M01,A,P67870
SNX9,6,NULL,M01,A,Q9Y5X1
DNM1,6,NULL,M01,A,Q05193
DNM3,6,NULL,M01,A,Q9UQ16
DNM2,6,NULL,M01,A,P50570
SEC61B,7,5,M18,C,P60468
SEC62,7,5,M18,C,Q99442
PGRMC2,7,5,M18,C,O15173
TEX264,7,NULL,M18,C,Q9Y6I9
CCDC47,7,4,M18,C,Q96A33
SEC63,7,5,M18,C,Q9UGP8
EMC10,7,4,M18,C,Q5UCC4
EMC7,7,4,M18,C,Q9NPA0
MMGT1,7,NULL,M18,C,Q8N4V1
EMC4,7,4,M18,C,Q5J8M3
ERN1,7,5,M18,C,O75460
SSR3,7,5,M18,C,Q9UNL2
PTRH2,7,NULL,M18,C,Q9Y3E5
ODR4,7,NULL,M18,C,Q5SWX8
RAB29,7,NULL,M18,C,O14966
EMC2,7,4,M18,C,Q15006
DERL2,7,4,M18,C,Q9GZP9
ATP13A1,7,NULL,M18,C,Q9HD20
EMC8,7,4,M18,C,O43402
EMC9,7,4,M18,C,Q9Y3B6
EMC3,7,4,M18,C,Q9P0I2
ATP2A2,7,NULL,M18,C,P16615
TMEM33,7,4,M18,C,P57088
EMC1,7,4,M18,C,Q8N766
SEC61A1,7,5,M18,C,P61619
SEC61A2,7,5,M18,C,Q9H9S3
SAR1B,8,6,M09,A,Q9H029
HSP90B1,8,6,M09,A,P14625
UFM1,8,NULL,M09,A,P61960
UBA5,8,NULL,M09,A,Q9GZZ9
UFC1,8,NULL,M09,A,Q9Y3C8
SAR1B,8,6,M09,A,Q9Y6B6
TCF20,9,NULL,M01,A,Q9UGU0
ZNF609,9,NULL,M01,A,O15014
LCOR,9,NULL,M01,A,Q96JN0
RAI1,9,NULL,M01,A,Q7Z5J4
BAHD1,9,NULL,M01,A,Q8TBE0
MBD2,9,7,M01,A,Q9UBB5
C16ORF87,9,NULL,M01,A,Q6PH81
GSE1,9,NULL,M01,A,Q14687
MIER1,9,7,M01,A,Q8N108
ZMYND8,9,7,M01,A,Q9ULU4
HMG20A,9,NULL,M01,A,Q9NP66
ZNF516,9,NULL,M01,A,Q92618
ZEB1,9,NULL,M01,A,P37275
ARID4A,9,NULL,M01,A,P29374
BCL11A,9,NULL,M01,A,Q9H165
RREB1,9,NULL,M01,A,Q92766
GATAD2A,9,7,M01,A,Q86YP4
RCOR3,9,NULL,M01,A,Q9P2K3
ZNF687,9,NULL,M01,A,Q8N1G0
HIC2,9,NULL,M01,A,Q96JB3
RCOR1,9,7,M01,A,Q9UKL0
SAP130,9,NULL,M01,A,Q9H0E3
ZNF217,9,NULL,M01,A,O75362
SALL1,9,NULL,M01,A,Q9NSC2
H2BC17,9,7,M01,A,P23527
H2BC3,9,7,M01,A,P33778
ZEB2,9,NULL,M01,A,O60315
H2BC11,9,7,M01,A,P06899
TRPS1,9,NULL,M01,A,Q9UHF7
ARID5B,9,NULL,M01,A,Q14865
SINHCAF,9,NULL,M01,A,Q9NP50
SUDS3,9,NULL,M01,A,Q9H7L9
CASZ1,9,NULL,M01,A,Q86V15
SAP30L,9,NULL,M01,A,Q9HAJ7
GATAD2B,9,7,M01,A,Q8WXI9
PHF21A,9,NULL,M01,A,Q96BD5
SAP30,9,7,M01,A,O75446
CHD4,9,7,M01,A,Q14839
MECOM,9,NULL,M01,A,Q03112
HMG20B,9,NULL,M01,A,Q9P0W2
ZHX1,9,NULL,M01,A,Q9UKY1
ZHX2,9,NULL,M01,A,Q9Y6X8
MBD3,9,7,M01,A,O95983
ZHX3,9,NULL,M01,A,Q9H4I2
BRMS1L,9,NULL,M01,A,Q5PSV4
SATB2,9,NULL,M01,A,Q9UPW6
L3MBTL3,9,NULL,M01,A,Q96JM7
MIER3,9,NULL,M01,A,Q7Z3K6
HDAC2,9,7,M01,A,Q92769
KDM1A,9,7,M01,A,O60341
SIN3A,9,7,M01,A,Q96ST3
ZMYM2,9,NULL,M01,A,Q9UBW7
HDAC1,9,7,M01,A,Q13547
ZNF423,9,NULL,M01,A,Q2M1K9
MTA2,9,7,M01,A,O94776
MTA1,9,7,M01,A,Q13330
BEND3,9,NULL,M01,A,Q5T5X7
RBBP4,9,7,M01,A,Q09028
MTA3,9,NULL,M01,A,Q9BTC8
RBBP7,9,7,M01,A,Q16576
CTBP1,9,7,M01,A,Q13363
CTBP2,9,7,M01,A,P56545
CMTR2,10,NULL,M14,C,Q8IYT2
SNRPB,10,8,M14,C,P14678
SRRM2,10,NULL,M14,C,Q9UQ35
SRRM1,10,NULL,M14,C,Q8IYB3
NKAP,10,NULL,M14,C,Q8N5F7
PPIG,10,NULL,M14,C,Q13427
TAF15,10,8,M14,C,Q92804
IWS1,10,NULL,M14,C,Q96ST2
SRSF4,10,NULL,M14,C,Q08170
LEO1,10,NULL,M14,C,Q8WVC0
FUS,10,8,M14,C,P35637
PQBP1,10,NULL,M14,C,O60828
ARL6IP4,10,NULL,M14,C,Q66PJ3
RBBP6,10,NULL,M14,C,Q7Z6E9
SNRNP70,10,8,M14,C,P08621
ZNF207,10,NULL,M14,C,O43670
RPRD2,10,NULL,M14,C,Q5VT52
CCDC12,10,NULL,M14,C,Q8WUD4
HNRNPC,10,8,M14,C,P07910
PPP1R10,10,NULL,M14,C,Q96QC0
SNRPC,10,8,M14,C,P09234
SRSF1,10,8,M14,C,Q07955
HNRNPCL1,10,8,M14,C,O60812
HNRNPCL2,10,8,M14,C,B2RXH8
SNRPN,10,8,M14,C,P63162
ZNF318,10,NULL,M14,C,Q5VUA4
ZNF326,10,NULL,M14,C,Q5BKZ1
HNRNPCL3,10,8,M14,C,B7ZW38
HNRNPCL4,10,8,M14,C,P0DMR1
SETD2,10,NULL,M14,C,Q9BYW2
CSTF2,10,NULL,M14,C,P33240
SON,10,NULL,M14,C,P18583
PARD3B,10,NULL,M14,C,Q8TEW8
PHF3,10,NULL,M14,C,Q92576
HNRNPA0,10,8,M14,C,Q13151
SNRNP35,10,NULL,M14,C,Q16560
PAXBP1,10,NULL,M14,C,Q9Y5B6
SRPK1,10,NULL,M14,C,Q96SB4
RNPC3,10,NULL,M14,C,Q96LT9
SNRPD2,10,8,M14,C,P62316
RBM22,10,NULL,M14,C,Q9NW64
DDX3X,10,NULL,M14,C,O00571
SNRPA,10,8,M14,C,P09012
TOE1,10,NULL,M14,C,Q96GM8
SNUPN,10,NULL,M14,C,O95149
KIN,10,NULL,M14,C,O60870
RPRD1B,10,NULL,M14,C,Q9NQG5
TASOR,10,NULL,M14,C,Q9UK61
SART3,10,NULL,M14,C,Q15020
SYF2,10,NULL,M14,C,O95926
SNRPD3,10,8,M14,C,P62318
SNRPF,10,8,M14,C,P62306
DDX41,10,NULL,M14,C,Q9UJV9
DDX5,10,8,M14,C,P17844
RPRD1A,10,NULL,M14,C,Q96P16
PPWD1,10,NULL,M14,C,Q96BP3
CPSF1,10,NULL,M14,C,Q10570
STRAP,10,8,M14,C,Q9Y3F4
LSM2,10,8,M14,C,Q9Y333
TXN,10,8,M14,C,P10599
KLHL8,10,NULL,M14,C,Q9P2G9
SMU1,10,NULL,M14,C,Q2TAY7
TP53BP1,11,9,M06,A,Q12888
CIZ1,11,NULL,M06,A,Q9ULV3
FAM117A,11,9,M06,A,Q9C073
CTTNBP2NL,11,9,M06,A,Q9P2B4
DDA1,11,9,M06,A,Q9BW61
NDE1,11,NULL,M06,A,Q9NXR1
KMT2C,11,NULL,M06,A,Q8NEZ4
AGGF1,11,9,M06,A,Q8N302
AMOTL1,11,NULL,M06,A,Q8IY63
LCA5,11,NULL,M06,A,Q86VQ0
UBQLN4,11,9,M06,A,Q9NRR5
PTPN12,11,NULL,M06,A,Q05209
UBQLN1,11,9,M06,A,Q9UMX0
PXN,11,9,M06,A,P49023
KANK2,11,NULL,M06,A,Q63ZY3
DYRK1A,11,9,M06,A,Q13627
RNF214,11,9,M06,A,Q8ND24
MPHOSPH9,11,NULL,M06,A,Q99550
OPTN,11,NULL,M06,A,Q96CV9
KNSTRN,11,NULL,M06,A,Q9Y448
RSBN1,11,NULL,M06,A,Q5VWQ0
IFFO1,11,NULL,M06,A,Q0D2I5
ZMYM3,11,9,M06,A,Q14202
DLG5,11,NULL,M06,A,Q8TDM6
SKP1,11,9,M06,A,P63208
NDEL1,11,NULL,M06,A,Q9GZM8
EML3,11,NULL,M06,A,Q32P44
SOGA1,11,NULL,M06,A,O94964
EML4,11,NULL,M06,A,Q9HC35
WWC1,11,NULL,M06,A,Q8IX03
IFFO2,11,NULL,M06,A,Q5TF58
PLEKHH2,11,NULL,M06,A,Q8IVE3
ATMIN,11,NULL,M06,A,O43313
PDZRN3,11,NULL,M06,A,Q9UPQ7
KANK1,11,NULL,M06,A,Q14678
WWC2,11,NULL,M06,A,Q6AWC2
PPFIBP1,11,NULL,M06,A,Q86W92
ANKRD20A8P,11,NULL,M06,A,Q5CZ79
ANKRD20A2P,11,NULL,M06,A,Q5SQ80
ANKRD20A3P,11,NULL,M06,A,Q5VUR7
ANKRD20A1,11,NULL,M06,A,Q5TYW2
ANKRD20A4P,11,NULL,M06,A,Q4UJ75
N4BP2,11,NULL,M06,A,Q86UW6
ZMYM4,11,9,M06,A,Q5VZL5
GOLGB1,11,9,M06,A,Q14789
OFD1,11,NULL,M06,A,O75665
HMMR,11,9,M06,A,O75330
MORC3,11,9,M06,A,Q14149
NEK9,11,9,M06,A,Q8TD19
GPHN,11,9,M06,A,Q9NQX3
RELCH,11,9,M06,A,Q9P260
MTPAP,11,NULL,M06,A,Q9NVV4
DYNLL2,11,9,M06,A,Q96FJ2
DIABLO,11,NULL,M06,A,Q9NR28
DYNLL1,11,9,M06,A,P63167
FBXO30,11,NULL,M06,A,Q8TB52
MYO5A,11,NULL,M06,A,Q9Y4I1
ZMYM6,11,NULL,M06,A,O95789
XIAP,11,NULL,M06,A,P98170
CHD7,12,NULL,M09,A,Q9P2D1
FKBP5,12,NULL,M09,A,Q13451
HMGA1,13,NULL,M01,A,P17096
NUCKS1,13,10,M01,A,Q9H1E3
HMGN5,13,10,M01,A,P82970
CHAMP1,13,NULL,M01,A,Q96JM3
CBX2,13,NULL,M01,A,Q14781
HP1BP3,13,10,M01,A,Q5SSJ5
CBX8,13,NULL,M01,A,Q9HC52
KMT2A,13,NULL,M01,A,Q03164
SRCAP,13,NULL,M01,A,Q6ZRS2
PRDM2,13,NULL,M01,A,Q13029
PHF14,13,NULL,M01,A,O94880
CBX5,13,10,M01,A,P45973
BRPF1,13,NULL,M01,A,P55201
NUMA1,13,10,M01,A,Q14980
NECAP1,13,NULL,M01,A,Q8NC96
ZNF22,13,NULL,M01,A,P17026
BAZ1B,13,10,M01,A,Q9UIG0
ZNF512,13,10,M01,A,Q96ME7
TRIP12,13,NULL,M01,A,Q14669
SUZ12,13,10,M01,A,Q15022
ING4,13,10,M01,A,Q9UNL4
H2AC21,13,10,M01,A,Q8IUE6
PHIP,13,10,M01,A,Q8WWQ0
NSD2,13,10,M01,A,O96028
ATAD2B,13,NULL,M01,A,Q9ULI0
H2AC6,13,10,M01,A,Q93077
MRE11,13,NULL,M01,A,P49959
EZH2,13,NULL,M01,A,Q15910
ATAD2,13,NULL,M01,A,Q6PL18
NTHL1,13,NULL,M01,A,P78549
TOP2A,13,10,M01,A,P11388
TOP2B,13,10,M01,A,Q02880
WDR76,13,NULL,M01,A,Q9H967
MTF2,13,10,M01,A,Q9Y483
POGZ,13,NULL,M01,A,Q7Z3K3
GLYR1,13,NULL,M01,A,Q49A26
BRD1,13,NULL,M01,A,O95696
PARP2,13,NULL,M01,A,Q9UGN5
MCM2,13,NULL,M01,A,P49736
EED,13,10,M01,A,O75530
CUL4B,13,10,M01,A,Q13620
MCM4,13,NULL,M01,A,P33991
NCK1,13,10,M01,A,P16333
KDM5B,13,NULL,M01,A,Q9UGL1
MCM6,13,10,M01,A,Q14566
MCM7,13,10,M01,A,P33993
SUV39H1,13,NULL,M01,A,O43463
CUL4A,13,NULL,M01,A,Q13619
APOBEC3C,13,NULL,M01,A,Q9NRW3
PSME3IP1,14,13,M05,A,Q9GZU8
AKIRIN1,14,NULL,M05,A,Q9H9L7
ANKRD36,14,NULL,M05,A,A6QL64
ADRM1,14,11,M05,A,Q16186
UBQLN2,14,NULL,M05,A,Q9UHD9
ANKZF1,14,NULL,M05,A,Q9H8Y5
ANKRD36B,14,NULL,M05,A,Q8N2N9
PSMF1,14,11,M05,A,Q92530
PSMD4,14,11,M05,A,P55036
PIPSL,14,11,M05,A,A2A3N6
PSMC1,14,11,M05,A,P62191
PSMD3,14,11,M05,A,O43242
PSMA1,14,11,M05,A,P25786
PSMD7,14,11,M05,A,P51665
PSMD8,14,11,M05,A,P48556
USP14,14,NULL,M05,A,P54578
PSMA4,14,11,M05,A,P25789
PSMA7,14,11,M05,A,O14818
PSMD1,14,11,M05,A,Q99460
PSMC2,14,11,M05,A,P35998
PSMA3,14,11,M05,A,P25788
PSMD2,14,11,M05,A,Q13200
PSMB1,14,11,M05,A,P20618
PSMB6,14,NULL,M05,A,P28072
PSMC3,14,11,M05,A,P17980
PSMC6,14,11,M05,A,P62333
PSMD10,14,11,M05,A,O75832
PSMB4,14,11,M05,A,P28070
PSMD14,14,12,M05,A,O00487
PSMC5,14,11,M05,A,P62195
PSMB7,14,13,M05,A,Q99436
UCHL5,14,11,M05,A,Q9Y5K5
ECPAS,14,11,M05,A,Q5VYK3
GPI,14,11,M05,A,P06744
PSMA5,14,11,M05,A,P28066
PAAF1,14,12,M05,A,Q9BRP4
PSMB5,14,11,M05,A,P28074
PSMC4,14,11,M05,A,P43686
UBE3C,14,12,M05,A,Q15386
PSMA6,14,11,M05,A,P60900
PSMD12,14,12,M05,A,O00232
PSMA2,14,11,M05,A,P25787
PSMD6,14,11,M05,A,Q15008
PSMB2,14,11,M05,A,P49721
PSME4,14,13,M05,A,Q14997
PSMD13,14,11,M05,A,Q9UNM6
PSMB3,14,11,M05,A,P49720
PSMD11,14,11,M05,A,O00231
MYL6B,15,14,M08,A,P14649
MYO9B,15,NULL,M08,A,Q13459
CDC42,15,14,M08,A,P60953
MYL6,15,14,M08,A,P60660
IQGAP1,15,NULL,M08,A,P46940
IQGAP3,15,NULL,M08,A,Q86VI3
CLTB,16,15,M10,B,P09497
AP1AR,16,NULL,M10,B,Q63HQ0
CLINT1,16,15,M10,B,Q14677
LSM4,16,NULL,M10,B,Q9Y4Z0
CLTA,16,15,M10,B,P09496
AFTPH,16,NULL,M10,B,Q6ULP2
GAK,16,NULL,M10,B,O14976
CHMP5,16,NULL,M10,B,Q9NZZ3
DCP2,16,NULL,M10,B,Q8IU60
ARHGAP18,16,NULL,M10,B,Q8N392
CHMP2A,16,NULL,M10,B,O43633
CHMP1A,16,NULL,M10,B,Q9HD42
VPS4A,16,NULL,M10,B,Q9UN37
HIP1R,16,NULL,M10,B,O75146
SCYL2,16,15,M10,B,Q6P3W7
MARF1,16,NULL,M10,B,Q9Y4F3
HIP1,16,NULL,M10,B,O00291
LSM1,16,NULL,M10,B,O15116
IGF2R,16,NULL,M10,B,P11717
PIK3C2A,16,NULL,M10,B,O00443
AP1G1,16,NULL,M10,B,O43747
AP1B1,16,NULL,M10,B,Q10567
AP1M1,16,NULL,M10,B,Q9BXS5
ALDH18A1,16,NULL,M10,B,P54886
CLTC,16,15,M10,B,Q00610
CLTCL1,16,NULL,M10,B,P53675
COPB2,17,16,M13,B,P35606
GPATCH2,17,NULL,M13,B,Q9NW75
RTN2,17,NULL,M13,B,O75298
SUGP2,17,NULL,M13,B,Q8IX01
SMIM11A,17,NULL,M13,B,P58511
PSD3,17,NULL,M13,B,Q9NYI0
GRAMD1A,17,NULL,M13,B,Q96CP6
SCYL1,17,16,M13,B,Q96KG9
RCN1,17,NULL,M13,B,Q15293
SUN2,17,NULL,M13,B,Q9UH99
PPIP5K2,17,NULL,M13,B,O43314
MICAL2,17,NULL,M13,B,O94851
SCYL3,17,NULL,M13,B,Q8IZE3
BCAP29,17,NULL,M13,B,Q9UHQ4
ARCN1,17,16,M13,B,P48444
BCAP31,17,16,M13,B,P51572
PTBP3,17,NULL,M13,B,O95758
APMAP,17,NULL,M13,B,Q9HDC9
NDC1,17,NULL,M13,B,Q9BTX1
COPE,17,16,M13,B,O14579
ERLIN1,17,NULL,M13,B,O75477
PRDX4,17,NULL,M13,B,Q13162
ARF5,17,NULL,M13,B,P84085
COPG1,17,16,M13,B,Q9Y678
ERGIC1,17,NULL,M13,B,Q969X5
COPB1,17,16,M13,B,P53618
COPG2,17,16,M13,B,Q9UBF2
ALDH7A1,17,NULL,M13,B,P49419
COPA,17,16,M13,B,P53621
WDR11,17,NULL,M13,B,Q9BZH6
HSD17B12,17,NULL,M13,B,Q53GQ0
NUDCD1,17,NULL,M13,B,Q96RS6
COPZ1,17,16,M13,B,P61923
