gene_names,community,core_complex
ATG4B,1,0
ATG7,1,0
CAPRIN1,1,0
CCDC124,1,0
DLG1,1,0
DRG1,1,0
EEF2,1,0
EIF3C;EIF3CL,1,0
ENY2,1,0
FASTKD2,1,0
G3BP1,1,0
G3BP2,1,0
GLUD1;GLUD2,1,0
GNB2L1,1,0
GSPT1,1,0
HMGB2,1,0
HSPB1,1,0
ILF2,1,0
ILF3,1,0
MAGOH;MAGOHB,1,0
MAGOHB,1,0
MARS,1,0
METAP2,1,0
MTDH,1,0
NCL,1,0
PA2G4,1,0
PABPC1,1,0
RACK1,1,0
RBM8A,1,0
RPL10,1,0
RPL10A,1,0
RPL11,1,0
RPL12,1,0
RPL13,1,0
RPL13A;RPL13A,1,0
RPL14,1,0
RPL15,1,0
RPL17;RPL17-C18ORF32,1,0
RPL18,1,0
RPL18A,1,0
RPL19,1,0
RPL21,1,0
RPL22,1,0
RPL23,1,0
RPL23A,1,0
RPL24,1,0
RPL26L1;RPL26,1,0
RPL27,1,0
RPL27A,1,0
RPL28,1,0
RPL3,1,0
RPL30,1,0
RPL31,1,0
RPL32,1,0
RPL34,1,0
RPL35,1,0
RPL35A,1,0
RPL36,1,0
RPL39P5;RPL39,1,0
RPL4,1,0
RPL5,1,0
RPL6,1,0
RPL7,1,0
RPL7A,1,0
RPL8,1,0
RPL9,1,0
RPLP0;RPLP0P6,1,0
RPLP1,1,0
RPLP2,1,0
RPS10;RPS10-NUDT3,1,0
RPS11,1,0
RPS12,1,0
RPS13,1,0
RPS14,1,0
RPS15,1,0
RPS15A,1,0
RPS16,1,0
RPS17,1,0
RPS18,1,0
RPS19,1,0
RPS2,1,0
RPS20,1,0
RPS21,1,0
RPS23,1,0
RPS24,1,0
RPS25,1,0
RPS26,1,0
RPS27,1,0
RPS27L,1,0
RPS28,1,0
RPS3,1,0
RPS3A,1,0
RPS4X,1,0
RPS5,1,0
RPS6,1,0
RPS7,1,0
RPS9,1,0
RPSA,1,0
SEC61G,1,0
SERBP1,1,0
SRP14,1,0
SRP19,1,0
SRP54,1,0
SRP68,1,0
SRP72,1,0
SRP9,1,0
SRP9;DKFZP564M2223,1,0
SSR1,1,0
SSR4,1,0
STAU1,1,0
TPT1,1,0
ZC3H15,1,0
EIF4B,1,1
FAU,1,1
PSPC1,1,1
ABCF2,1,
ASCC1,1,
AVEN,1,
BTF3L4,1,
CCDC86,1,
CENPQ,1,
DARS,1,
DHX29,1,
DHX30,1,
DHX57,1,
EIF1B,1,
EIF4A2,1,
EXOSC3,1,
EXOSC4,1,
EXOSC9,1,
GNL2,1,
GPC4,1,
GTPBP4,1,
HERC5,1,
LARP4,1,
LARP4B,1,
LSG1,1,
LYAR,1,
MAGEB2,1,
NKRF,1,
PDZD8,1,
PRRC2B,1,
QARS,1,
RBM28,1,
RNMTL1,1,
RRP1B,1,
SDAD1,1,
SERPINB12,1,
SND1,1,
TARBP2,1,
WASH6P;WASH3P;WASH2P;WASH1;WASH4P,1,
ZCCHC17,1,
ZNF598,1,
ZNF622,1,
C3ORF17,2,
CMAS,2,
EPB41L5,2,
ISG20L2,2,
KIAA0020,2,
KRI1,2,
MINA,2,
MRPL24,2,
MRPL41,2,
MRPS17;HCG_1984214,2,
MRPS18B,2,
MRPS23,2,
NIFK,2,
NPM1,2,
NPM3,2,
RRP8,2,
SENP5,2,
ACTR10,3,2
ACTR1B,3,2
CALD1,3,2
CAPZA1,3,2
CAPZA2,3,2
CAPZB,3,2
CD2AP,3,2
DCTN2,3,2
DCTN3,3,2
DCTN4,3,2
FAM21A,3,2
MTPN,3,2
TWF1,3,2
AIF1L,3,
ASF1A,3,
CABIN1,3,
CNOT2,3,
DBNL,3,
DCTN5,3,
FAM101B,3,
FLII,3,
FLNA,3,
FLNB,3,
FLNC,3,
HIRA,3,
KIAA1671,3,
LIMA1,3,
MPP5,3,
MYO5C,3,
NEXN,3,
NSUN2,3,
PEAK1,3,
PHLDB2,3,
PPP1CA;PPP1CB,3,
PPP1CB,3,
PPP1CC,3,
PPP1R9A,3,
SIPA1L3,3,
SPAST,3,
SPECC1,3,
SPTAN1,3,
SVIL,3,
TMOD1,3,
TMOD3,3,
UBN2,3,
HIST2H2BE,4,3
HIST2H3A,4,3
PARP1,4,3
APTX,4,
CHD1L,4,
CORO1B,4,
CORO1C,4,
HLTF,4,
KAT7,4,
LIG3,4,
MCM5,4,
MEAF6,4,
MSL1,4,
PNKP,4,
POLB,4,
RECQL,4,
SHPRH,4,
UHRF1,4,
XRCC1,4,
CBX4,5,
CSNK2B,5,
GTF3C5,5,
ING5,5,
JADE1,5,
JADE3,5,
PCGF3,5,
PCGF5,5,
PHF2,5,
RPS6KA3,5,
DNM1,6,
DNM2,6,
DNM3,6,
SNX9,6,
CCDC47,7,4
DERL2,7,4
EMC1,7,4
EMC10,7,4
EMC2,7,4
EMC3,7,4
EMC4,7,4
EMC7,7,4
EMC8,7,4
EMC9,7,4
TMEM33,7,4
ERN1,7,5
PGRMC2,7,5
SEC61A1,7,5
SEC61A2,7,5
SEC61B,7,5
SEC62,7,5
SEC63,7,5
SSR3,7,5
ATP13A1,7,
ATP2A2,7,
MMGT1,7,
ODR4,7,
PTRH2,7,
RAB29,7,
TEX264,7,
HSP90B1,8,6
SAR1B,8,6
SAR1B;DKFZP434B2017,8,6
UBA5,8,
UFC1,8,
UFM1,8,
CHD4,9,7
CTBP1,9,7
CTBP2,9,7
GATAD2A,9,7
GATAD2B,9,7
HDAC1,9,7
HDAC2,9,7
HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ,9,7
KDM1A,9,7
MBD2,9,7
MBD3,9,7
MIER1,9,7
MTA1,9,7
MTA2,9,7
RBBP4,9,7
RBBP7,9,7
RCOR1,9,7
SAP30,9,7
SIN3A,9,7
ZMYND8,9,7
ARID4A,9,
ARID5B,9,
BAHD1,9,
BCL11A,9,
BEND3,9,
BRMS1L,9,
C16ORF87,9,
CASZ1,9,
FAM60A,9,
GSE1,9,
HIC2,9,
HMG20A,9,
HMG20B,9,
L3MBTL3,9,
LCOR,9,
MECOM,9,
MIER3,9,
MTA3,9,
PHF21A,9,
RAI1,9,
RCOR3,9,
RREB1,9,
SALL1,9,
SAP130,9,
SAP30L,9,
SATB2,9,
SUDS3,9,
TCF20,9,
TRPS1,9,
ZEB1,9,
ZEB2,9,
ZHX1,9,
ZHX2,9,
ZHX3,9,
ZMYM2,9,
ZNF217,9,
ZNF423,9,
ZNF516,9,
ZNF609,9,
ZNF687,9,
DDX5,10,8
FUS,10,8
HNRNPA0,10,8
HNRNPC;HNRNPCL3;HNRNPCL2;HNRNPCL1;HNRNPCL4,10,8
LSM2,10,8
SNRNP70,10,8
SNRPA,10,8
SNRPB,10,8
SNRPB;SNRPN,10,8
SNRPC,10,8
SNRPD2,10,8
SNRPD3,10,8
SNRPF,10,8
SRSF1,10,8
STRAP,10,8
TAF15,10,8
TXN,10,8
ARL6IP4,10,
CCDC12,10,
CMTR2,10,
CPSF1,10,
CSTF2,10,
DDX3X,10,
DDX41,10,
FAM208A,10,
IWS1,10,
KIN,10,
KLHL8,10,
LEO1,10,
NKAP,10,
PARD3B,10,
PAXBP1,10,
PHF3,10,
PPIG,10,
PPP1R10,10,
PPWD1,10,
PQBP1,10,
RBBP6,10,
RBM22,10,
RNPC3,10,
RPRD1B;RPRD1A,10,
RPRD2,10,
SART3,10,
SETD2,10,
SMU1,10,
SNRNP35,10,
SNUPN,10,
SON,10,
SRPK1,10,
SRRM1,10,
SRRM2,10,
SRSF4,10,
SYF2,10,
TOE1,10,
ZNF207,10,
ZNF318,10,
ZNF326,10,
AGGF1,11,9
CTTNBP2NL,11,9
DDA1,11,9
DYNLL1,11,9
DYNLL2,11,9
DYRK1A,11,9
FAM117A,11,9
GOLGB1,11,9
GPHN,11,9
HMMR,11,9
KIAA1468,11,9
MORC3,11,9
NEK9,11,9
PXN,11,9
RNF214,11,9
SKP1,11,9
TP53BP1,11,9
UBQLN1,11,9
UBQLN4,11,9
ZMYM3,11,9
ZMYM4,11,9
AMOTL1,11,
ANKRD20A1;ANKRD20A2;ANKRD20A3;ANKRD20A4;ANKRD20A8P,11,
ATMIN,11,
CIZ1,11,
DIABLO,11,
DLG5,11,
EML3,11,
EML4,11,
FBXO30,11,
IFFO1,11,
IFFO2,11,
KANK1,11,
KANK2,11,
KMT2C,11,
KNSTRN,11,
LCA5,11,
MPHOSPH9,11,
MTPAP,11,
MYO5A,11,
N4BP2,11,
NDE1,11,
NDEL1,11,
OFD1,11,
OPTN,11,
PDZRN3,11,
PLEKHH2,11,
PPFIBP1,11,
PTPN12,11,
RSBN1,11,
SOGA1,11,
WWC1,11,
WWC2,11,
XIAP,11,
ZMYM6,11,
CHD7,12,
FKBP5,12,
BAZ1B,13,10
CBX5,13,10
CUL4B,13,10
EED,13,10
HIST1H2AC,13,10
HIST2H2AB,13,10
HMGN5,13,10
HP1BP3,13,10
ING5;ING4,13,10
MCM6,13,10
MCM7,13,10
MTF2,13,10
NCK1,13,10
NUCKS1,13,10
NUMA1,13,10
PHIP,13,10
SUZ12,13,10
TOP2A,13,10
TOP2B,13,10
WHSC1,13,10
ZNF512,13,10
APOBEC3C,13,
ATAD2,13,
ATAD2B,13,
BRD1,13,
BRPF1,13,
CBX2,13,
CBX8,13,
CHAMP1,13,
CUL4A,13,
EZH2,13,
GLYR1,13,
HMGA1,13,
KDM5B,13,
KMT2A,13,
MCM2,13,
MCM4,13,
MRE11A,13,
NECAP1,13,
NTHL1,13,
PARP2,13,
PHF14,13,
POGZ,13,
PRDM2,13,
SRCAP,13,
SUV39H1,13,
TRIP12,13,
WDR76,13,
ZNF22,13,
ADRM1,14,11
GPI,14,11
KIAA0368,14,11
PSMA1,14,11
PSMA2,14,11
PSMA3,14,11
PSMA4,14,11
PSMA5,14,11
PSMA6,14,11
PSMA7,14,11
PSMB1,14,11
PSMB2,14,11
PSMB3,14,11
PSMB4,14,11
PSMB5,14,11
PSMC1,14,11
PSMC2,14,11
PSMC3,14,11
PSMC4,14,11
PSMC5,14,11
PSMC6,14,11
