gene_names,community,core_complex
PSMD1,14,11
PSMD10,14,11
PSMD11,14,11
PSMD13,14,11
PSMD2,14,11
PSMD3,14,11
PSMD4,14,11
PSMD4;PIPSL,14,11
PSMD6,14,11
PSMD7,14,11
PSMD8,14,11
PSMF1,14,11
UCHL5,14,11
PAAF1,14,12
PSMD12,14,12
PSMD14,14,12
UBE3C,14,12
FAM192A;NIP30,14,13
PSMB7,14,13
PSME4,14,13
AKIRIN1,14,
ANKRD36B;ANKRD36,14,
ANKZF1,14,
PSMB6,14,
UBQLN2,14,
USP14,14,
CDC42,15,14
MYL6,15,14
MYL6B,15,14
IQGAP1,15,
IQGAP3,15,
MYO9B,15,
CLINT1,16,15
CLTA,16,15
CLTB,16,15
CLTC,16,15
SCYL2,16,15
AFTPH,16,
ALDH18A1,16,
AP1AR,16,
AP1B1,16,
AP1G1,16,
AP1M1,16,
ARHGAP18,16,
CHMP1A,16,
CHMP2A,16,
CHMP5,16,
CLTCL1,16,
DCP2,16,
GAK,16,
HIP1,16,
HIP1R,16,
IGF2R,16,
KIAA0430,16,
LSM1,16,
LSM4,16,
PIK3C2A,16,
VPS4A,16,
ARCN1,17,16
BCAP31,17,16
COPA,17,16
COPB1,17,16
COPB2,17,16
COPE,17,16
COPG1,17,16
COPG2,17,16
COPZ1,17,16
SCYL1,17,16
ALDH7A1,17,
APMAP,17,
ARF5,17,
BCAP29,17,
DHRS7,17,
ERGIC1,17,
ERLIN1,17,
FAM213A,17,
GDPD1,17,
GPATCH2,17,
GRAMD1A,17,
HSD17B11,17,
HSD17B12,17,
ILVBL,17,
LCLAT1,17,
MICAL2,17,
NDC1,17,
NUDCD1,17,
PPIP5K2,17,
PRDX4,17,
PSD3,17,
PTBP3,17,
RCN1,17,
RTN2,17,
SACM1L,17,
SCYL3,17,
SMIM11,17,
SUGP2,17,
SUN2,17,
WDR11,17,
C4ORF32,18,17
DAD1,18,17
DDOST,18,17
EMD,18,17
KRTCAP2,18,17
MAGT1,18,17
MLEC,18,17
POR,18,17
RPN1,18,17
RPN2,18,17
STT3A,18,17
TIA1,18,17
TMEM43,18,17
TMPO,18,17
STT3B,18,18
TUSC3,18,18
APBB1,18,
DNAJB12,18,
DSG2,18,
EIF2AK3,18,
FAM50B,18,
JUP,18,
LIN52,18,
LIN54,18,
MYBL2,18,
NFXL1,18,
NSG1,18,
OST4,18,
PACRGL,18,
PHF8,18,
PLAGL1;DKFZP781P1017,18,
RAB5C;RAB5B;DIRAS1;DIRAS2;RAB5A,18,
RNF10,18,
SCD,18,
SIX1;SIX2,18,
SMG7,18,
STAU2,18,
TONSL,18,
TOR1AIP1,18,
VRK2,18,
YTHDF3,18,
ZC3HAV1,18,
EIF4A3,19,19
SSRP1,19,19
SUPT16H,19,19
ZCCHC8,19,19
ATRX,19,
MMS22L,19,
CKAP5,20,20
DNAJA1,20,20
TACC3,20,20
TUBA1B,20,20
TUBB4B,20,20
CEP97,20,
DLGAP5,20,
KIF14,20,
SLAIN1,20,
SLAIN2,20,
TACC1,20,
TACC2,20,
TCP11L1,20,
TCP11L2,20,
TUBB2B,20,
ZC2HC1A,20,
CCDC97,21,21
DDX42,21,21
DNAJC8,21,21
HTATSF1,21,21
P4HA1,21,21
PCNP,21,21
PPP4C,21,21
PPP4R2,21,21
SF3A1,21,21
SF3A2,21,21
SF3A3,21,21
SF3B1,21,21
SF3B2,21,21
SF3B3,21,21
SF3B4,21,21
SF3B5,21,21
SF3B6,21,21
SLC4A1AP,21,21
SMEK1,21,21
SNRPA1,21,21
SNRPB2,21,21
SNRPD1,21,21
TTC33,21,21
WDR61,21,21
ATXN7L2,21,
C16ORF33;SNRNP25,21,
RAB3IP,21,
RBM5,21,
SCNM1,21,
THRAP3,21,
ZCRB1,21,
ZRSR2,21,
CCT2,22,22
CCT3,22,22
CCT4,22,22
CCT5,22,22
CCT6A,22,22
CCT7,22,22
CCT8,22,22
PDCD5,22,22
PPP2CA,22,22
PPP2CB,22,22
PPP2R1A,22,22
PPP2R1B,22,22
PPP2R5D,22,22
SSSCA1,22,22
TCP1,22,22
TXNDC9,22,22
FGFR1OP,22,
IGBP1,22,
IGKC,22,
MSTO1,22,
PDCL,22,
RC3H2,22,
TUBD1,22,
WDR55,22,
ASNSD1,23,23
CD3EAP,23,23
CRCP,23,23
MAF1,23,23
PDRG1,23,23
PIH1D1,23,23
POLR1A,23,23
POLR1B,23,23
POLR1C,23,23
POLR1D,23,23
POLR1E,23,23
POLR2E,23,23
POLR2F,23,23
POLR2H,23,23
POLR2L,23,23
POLR3A,23,23
POLR3B,23,23
POLR3C,23,23
POLR3D,23,23
POLR3E,23,23
POLR3F,23,23
POLR3G,23,23
POLR3GL,23,23
POLR3H,23,23
POLR3K,23,23
RPAP3,23,23
TRMT1L,23,23
URI1,23,23
UXT,23,23
BDP1,23,
TWISTNB,23,
WDR92;DKFZP434B156,23,
ACTG1,24,24
CAP1,24,24
PFN1,24,24
PFN2,24,24
TWF2,24,24
FMN2,24,
FMNL2,24,
MTFR1,24,
CCNC,25,25
CDK19,25,25
CDK8,25,25
FBXL19,25,25
IXL;MED29,25,25
JMJD6,25,25
MED1,25,25
MED10,25,25
MED11,25,25
MED12;TNRC11,25,25
MED12L,25,25
MED13,25,25
MED14,25,25
MED15,25,25
MED16,25,25
MED17,25,25
MED19,25,25
MED20,25,25
MED21,25,25
MED22,25,25
MED23,25,25
MED24,25,25
MED25,25,25
MED26,25,25
MED27,25,25
MED28,25,25
MED29,25,25
MED30,25,25
MED31,25,25
MED4,25,25
MED6,25,25
MED7,25,25
MED8,25,25
MED9,25,25
MED13L,25,
PRDX1,25,
CBX1,26,
CBX3,26,
CSNK2A1;CSNK2A3,27,
MIF,27,
GOLGA2,28,26
GORASP2,28,26
TMED7-TICAM2;TMED7,28,26
TMED1,28,27
TMED10,28,27
TMED2,28,27
TMED4,28,27
TMED9,28,27
ATP2C1,28,
B4GAT1,28,
BLZF1,28,
GALNT2,28,
MAN1A1,28,
SEC22A,28,
SLC30A5,28,
SLC30A6,28,
STEAP3,28,
SURF4,28,
UBIAD1,28,
ZDHHC3,28,
CTDP1,29,28
GPN1,29,28
GPN2,29,28
GTF2B,29,28
GTF2F1,29,28
GTF2F2,29,28
METTL3,29,28
NELFA,29,28
POLR2A,29,28
POLR2B,29,28
POLR2C,29,28
POLR2D,29,28
POLR2G,29,28
POLR2I,29,28
POLR2J,29,28
POLR2J3;POLR2J;POLR2J2,29,28
RPAP1,29,28
CPSF3L,29,
GCOM1;GCOM2,29,
INTS12,29,
DNAJB4,30,
DNAJC9,30,
HSPA4,30,
HSPA8,30,
ESD,31,
HEATR3,31,
LONP1,31,
UQCRB,31,
DDB1,32,
RBX1,32,
CCDC101,33,29
EP400,33,29
ING3,33,29
KAT2A,33,29
KAT2B,33,29
MAX,33,29
MORF4L1,33,29
MYC,33,29
SUPT20H,33,29
SUPT3H,33,29
SUPT7L,33,29
TADA1,33,29
TADA2B,33,29
TADA3,33,29
TAF10,33,29
TAF12,33,29
TAF5L,33,29
TAF6L,33,29
TAF9,33,29
TRRAP,33,29
VPS72,33,29
NUTF2,34,30
RAN,34,30
RANBP1,34,30
RCC1,34,30
SUMO1,34,30
IPO4,34,
IPO9,34,
NUP155,34,
NUP205,34,
NUP35,34,
NUP37,34,
NUP54,34,
NUPL1,34,
NUPL2,34,
ABCE1,35,31
ASCC3,35,31
EIF3A,35,31
EIF3B,35,31
EIF3C,35,31
EIF3CL,35,31
EIF3D,35,31
EIF3E,35,31
EIF3F,35,31
EIF3G,35,31
EIF3H,35,31
EIF3I,35,31
EIF3J,35,31
EIF3K,35,31
EIF3L,35,31
EIF3M,35,31
EIF4G1,35,31
PABPC1;PABPC3,35,31
PDCD4,35,31
PRRC2A,35,31
RPS26;RPS26P11,35,31
C16ORF62,36,32
CCDC22,36,32
CCDC93,36,32
COMMD1,36,32
COMMD10,36,32
COMMD2,36,32
COMMD3-BMI1;COMMD3;BMI1,36,32
COMMD4,36,32
COMMD5,36,32
COMMD6,36,32
COMMD7,36,32
COMMD8,36,32
COMMD9,36,32
CWF19L2,36,32
DSCR3,36,32
FAM45A;FAM45B,36,32
RBMX2,36,32
VPS29,36,32
CPSF6,37,33
CPSF7,37,33
CRTAP,37,33
LEPRE1,37,33
NUDT21,37,33
RBM26,37,
SRPK2,37,
EMG1,38,
IPO5,38,
NOC4L,38,
NOP14,38,
ARHGAP19,39,
CALM2,39,
CALM3,39,
CAMKK1,39,
CEP290,39,
DDX55,39,
DMAP1,39,
MAP7D3,39,
PPP3CC,39,
RCAN1,39,
SCO1,39,
TIGD1,39,
ZNF536,39,
C14ORF166,40,34
DDX1,40,34
DDX39B,40,34
FAM98A,40,34
FAM98B,40,34
RTCB,40,34
API5,40,
AQR,40,
C17ORF85,40,
C19ORF47,40,
C2ORF49,40,
CDC40,40,
FYTTD1,40,
SARNP,40,
THOC1,40,
THOC7;NIF3L1BP1,40,
ZFC3H1,40,
ANAPC1,41,35
ANAPC10,41,35
ANAPC13,41,35
ANAPC16,41,35
ANAPC2,41,35
ANAPC4,41,35
ANAPC5,41,35
ANAPC7,41,35
BUB1B,41,35
CDC16,41,35
CDC20,41,35
CDC23,41,35
CDC26,41,35
CDC27,41,35
FZR1,41,35
NEK2,41,35
PYCR2,41,35
BUB3,41,
DEPDC1B,41,
FBXO5,41,
FHOD3,41,
KIF18A,41,
PYCR1,41,
BRK1,42,36
CYFIP1,42,36
CYFIP2,42,36
KIAA1522,42,36
NCKAP1,42,36
WASF1,42,36
WASF2,42,36
WASF3,42,36
ABI1,42,37
SLC1A3,42,37
ABI2,42,
ABL1,42,
CSNK1G3,42,
MECR,42,
NHSL1,42,
NHSL2,42,
ACTL6A,43,38
ARID1A,43,38
ARID1B,43,38
BCL7A,43,38
BRD9,43,38
DPF1,43,38
DPF2,43,38
SMARCA2,43,38
SMARCA4,43,38
SMARCB1,43,38
SMARCC1,43,38
SMARCC2,43,38
SMARCD1,43,38
SMARCD2,43,38
SMARCD3,43,38
SMARCE1,43,38
SS18,43,38
DPF3,43,
GLTSCR1,43,
SS18L1,43,
FKBP4,44,39
HSP90AA1,44,39
HSP90AB1,44,39
PTGES3,44,39
BRCA2,44,
PPP5C,44,
PTDSS2,44,
USP19,44,
ATL2,45,40
ATL3,45,40
CYB5B,45,41
ENDOD1,45,41
REEP5,45,41
RTN3,45,41
RTN4,45,41
ATL1,45,
LAMP1,46,42
RAB7A,46,42
SLC18B1,46,42
KIAA1524,46,
GTF3A,47,43
PUS7,47,43
SSB,47,43
ARHGDIA,48,44
RAC1,48,44
RHOA,48,44
RHOC,48,44
IQGAP2,48,
RAC3,48,
RAP1GDS1,48,
RHOG,48,
STRBP,48,
CEP170,49,45
KIF2A,49,45
MAP4,49,45
SSBP1,49,45
ACTR2,50,46
ACTR3,50,46
ARPC1A,50,46
ARPC1B,50,46
ARPC2,50,46
ARPC3,50,46
ARPC4-TTLL3;ARPC4,50,46
ARPC5,50,46
ARPC5L,50,46
USP22,50,46
ACTR3B,50,
ARL6IP6,50,
CHURC1;CHURC1-FNTB,50,
CRTC2,50,
MNDA,50,
ATP6AP1,51,47
ATP6AP2,51,47
ATP6V0A1,51,47
ATP6V0C,51,47
ATP6V0D1,51,47
ATP6V1A,51,47
ATP6V1B2,51,47
ATP6V1C1,51,47
ATP6V1D,51,47
ATP6V1E1,51,47
ATP6V1G1,51,47
ATP6V1H,51,47
RAB11B;RAB11A,51,47
VAMP7,51,47
WDR7,51,47
DMXL1,51,
DMXL2,51,
ROGDI,51,
SLC35F2,51,
BYSL,52,48
FAM207A,52,48
LTV1,52,48
NOB1,52,48
PNO1,52,48
RIOK2,52,48
RIOK3,52,48
RRP12,52,48
TSR1,52,48
UTP14A,52,48
DHX37,52,49
PARN,52,49
DDX10,52,
DIMT1,52,
FTSJ3,52,
USP16,52,
AAR2,53,50
CD2BP2,53,50
CSE1L,53,50
DDX23,53,50
EAPP,53,50
EFTUD2,53,50
PRPF4,53,50
PRPF6,53,50
PRPF8,53,50
SNRNP200,53,50
SNRNP40,53,50
TXNL4A,53,50
USP39,53,50
C9ORF78,53,
ECD,53,
CHTOP,54,51
LSM5,54,51
LSM7,54,51
PNN,54,51
PRPF3,54,51
PRPF4B,54,51
SART1,54,51
SNRNP40;DKFZP434D199,54,51
SNW1,54,51
ZC3H18,54,51
RBM6,54,
PDCD10,55,52
STK24,55,52
STK25,55,52
STK26,55,52
STRN,55,52
STRN3,55,52
STRN4,55,52
CTTNBP2,55,
FGFR1OP2,55,
GNG2,55,
PPP2CA;PPP2CB,55,
SIKE1,55,
SLMAP,55,
STRIP2,55,
HSPB11,56,53
IFT172,56,53
IFT20,56,53
IFT22,56,53
IFT27,56,53
IFT52,56,53
IFT74,56,53
IFT81,56,53
TTC26,56,53
TTC30A;TTC30B,56,53
C1QBP,57,54
DDX17,57,54
DDX21,57,54
DHX9,57,54
HNRNPAB,57,54
HNRNPR,57,54
SYNCRIP,57,54
YBX1,57,54
HNRNPC,57,55
HNRNPD,57,55
HNRNPK,57,55
HNRNPL,57,55
KHDRBS1,57,55
ADAR,57,
FAM120A,57,
IGF2BP2,57,
ZNF346,57,
MARK2,58,56
MARK3,58,56
PRPF40A,58,57
RBM25,58,57
MARK4,58,
PBK,58,
ATP6V1G1;ATP6V1G2-DDX39B;ATP6V1G2,59,58
NOP56,59,58
RAB11A,59,58
VIM,59,58
PTTG1IP,60,59
SNAP23,60,59
STX7,60,59
VAMP8,60,59
ATP6V1G2-DDX39B;ATP6V1G2;ATP6V1G1,60,60
VAMP3,60,60
GDI2,61,61
RAB14,61,61
RAB35,61,61
RAB4A,61,61
RAB5C,61,61
CHML,61,
CCNH,62,62
CDC7,62,62
CDK7,62,62
ERCC1,62,62
ERCC2,62,62
ERCC3,62,62
ERCC4,62,62
GTF2H1,62,62
GTF2H2C,62,62
GTF2H3,62,62
GTF2H4,62,62
GTF2H5,62,62
MNAT1,62,62
PREB,62,62
XPA,62,62
XPC,62,62
ERCC5-201;BIVM-ERCC5;ERCC5,62,
CISD2,63,
OSBP,63,
VAPB,63,
PCBP1,64,63
PCBP2,64,63
RBM39,64,63
TRAPPC1,65,64
TRAPPC10,65,64
TRAPPC11,65,64
TRAPPC12;CGI-87,65,64
TRAPPC13,65,64
TRAPPC2,65,64
TRAPPC2B;TRAPPC2,65,64
TRAPPC2L,65,64
TRAPPC3,65,64
TRAPPC4,65,64
TRAPPC5,65,64
TRAPPC6B,65,64
TRAPPC8,65,64
CAMSAP3,65,
TRAPPC9,65,
RAB1A,66,65
SCAMP3,66,65
PDCD6IP,66,66
RAB11FIP5,66,66
RAB21,66,66
SCAMP1,66,66
SCAMP2,66,66
TFRC,66,66
WDFY1,66,66
BET1L,67,67
GOSR1,67,67
GOSR2,67,67
NAPA,67,67
NSF,67,67
SCFD1,67,67
SEC22B,67,67
SFT2D3,67,67
STX5,67,67
ASNA1,67,
RNF25,67,
YKT6,67,
PRKACA,68,68
PRKAR1A,68,68
PRKAR2A,68,68
H2AFY,69,69
H2AFZ,69,69
H2AFZ;H2AFV,69,69
HIST1H1C,69,69
HIST1H4A,69,69
ACTB,70,70
CFL1,70,70
HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ,70,70
TMSB10,70,70
BAG2,71,71
DNAJC7,71,71
HSPA5,71,71
TUBA1A;TUBA3E,71,71
DNAJB6,71,
IQSEC1;IQSEC2,71,
MLK4,71,
STUB1,71,
ACTR1A,72,72
DCTN1;DKFZP686E0752,72,72
DYNC1H1,72,72
DYNC1I2,72,72
DYNC1LI1,72,72
DYNC1LI2,72,72
DYNLRB1,72,72
DYNLT1,72,72
DYNLT3,72,72
MAPRE1,72,72
PAFAH1B1,72,72
ANAPC11,73,73
DDX46,73,73
RNF169,73,73
SLC3A2,73,73
SLC7A6,73,73
BSG,74,
SLC16A1,74,
ARL1,75,74
ARL3,75,74
KRAS,75,74
YWHAB,75,74
YWHAE,75,74
YWHAH,75,74
YWHAQ,75,74
YWHAZ,75,74
RRAS2,75,
BCAS2,76,75
CDC5L,76,75
CTNNBL1,76,75
CWC15,76,75
PLRG1,76,75
PRPF19,76,75
CRNKL1,76,
DNAJC17,76,
ISY1,76,
PPIE,76,
XAB2,76,
ZNF830,76,
NONO,77,76
RBM7,77,76
SFPQ,77,76
SKIV2L2,77,76
EXOSC10,77,
EXOSC2,77,
ZNF768,77,
DNTTIP1,78,
ELMSAN1,78,
PTMA,78,
RPS27A,78,
INPPL1,79,
TMSB4X,79,
CDC123,80,77
EIF2B1,80,77
EIF2B2,80,77
EIF2B3,80,77
EIF2S1,80,77
EIF2S2,80,77
EIF2S3,80,77
EIF2S3;EIF2S3L,80,77
EIF5,80,77
RPL26;RPL26L1,80,77
RPS27;RPS27L,80,77
CSNK1A1,81,
SEC16A,81,
GOLPH3,82,78
STX10,82,78
STX16,82,78
STX16;STX16-NPEPL1,82,78
STX6,82,78
STX8,82,78
VAMP4,82,78
VTI1A,82,78
VTI1B,82,78
KIAA1033,83,79
VPS26A,83,79
VPS26B,83,79
VPS35,83,79
WASH3P;WASH2P;WASH6P;WASH1;WASH4P,83,79
BRF1,84,80
BTAF1,84,80
GTF2A1,84,80
TAF5,84,80
TBP,84,80
CCAR1,85,81
U2AF1;U2AF1L4,85,81
U2AF2,85,81
RBM10,85,
BAP18;C17ORF49;RNASEK-C17ORF49,86,82
BAZ1A,86,82
BPTF,86,82
CECR2,86,82
CHRAC1,86,82
HMGXB4,86,82
POLE3,86,82
RSF1,86,82
SMARCA1,86,82
SMARCA5,86,82
IPO7,87,83
KPNA2,87,83
