"__mclCluster","name","selected","shared name"
"304","GMDS","false","GMDS"
"304","NPC2","false","NPC2"
"304","TSR2","false","TSR2"
"95","UBAP1","false","UBAP1"
"95","MVB12B","false","MVB12B"
"95","UMAD1","false","UMAD1"
"95","VPS37C","false","VPS37C"
"32","MORF4L2","false","MORF4L2"
"32","MAX","false","MAX"
"16","ZNF324","false","ZNF324"
"16","ZNF235","false","ZNF235"
"16","ZNF649","false","ZNF649"
"16","ZNF250","false","ZNF250"
"16","ZNF8","false","ZNF8"
"16","ZNF561","false","ZNF561"
"16","ZNF316","false","ZNF316"
"16","ZNF354A;ZNF354B","false","ZNF354A;ZNF354B"
"16","ZNF92","false","ZNF92"
"16","ZNF268","false","ZNF268"
"16","ZNF100","false","ZNF100"
"16","ZNF658","false","ZNF658"
"16","ZNF195","false","ZNF195"
"16","ZNF567","false","ZNF567"
"16","ZNF688","false","ZNF688"
"16","ZNF738","false","ZNF738"
"16","ZNF587;ZNF417","false","ZNF587;ZNF417"
"16","ZNF302","false","ZNF302"
"16","ZNF670","false","ZNF670"
"16","ZNF184","false","ZNF184"
"16","ZNF607","false","ZNF607"
"16","ZNF552;ZNF814","false","ZNF552;ZNF814"
"16","ZFP90","false","ZFP90"
"16","ZNF483","false","ZNF483"
"16","ZNF845","false","ZNF845"
"16","ZNF566","false","ZNF566"
"16","ZNF689","false","ZNF689"
"16","ZFP30","false","ZFP30"
"16","ZNF624","false","ZNF624"
"16","POGK","false","POGK"
"16","ZNF267","false","ZNF267"
"16","ZNF761","false","ZNF761"
"16","ZNF620","false","ZNF620"
"16","ZNF627","false","ZNF627"
"16","ZNF611","false","ZNF611"
"16","ZNF555","false","ZNF555"
"16","ZNF34","false","ZNF34"
"16","TIMM50","false","TIMM50"
"16","ZNF74","false","ZNF74"
"16","ZNF829","false","ZNF829"
"16","ZNF284","false","ZNF284"
"16","ZNF684","false","ZNF684"
"65","TRAPPC2","false","TRAPPC2"
"65","TRAPPC5","false","TRAPPC5"
"65","TRAPPC6B","false","TRAPPC6B"
"65","TRAPPC12;CGI-87","false","TRAPPC12;CGI-87"
"65","TRAPPC9","false","TRAPPC9"
"65","TRAPPC3","false","TRAPPC3"
"65","TRAPPC2L","false","TRAPPC2L"
"65","TRAPPC2B;TRAPPC2","false","TRAPPC2B;TRAPPC2"
"65","TRAPPC10","false","TRAPPC10"
"65","TRAPPC1","false","TRAPPC1"
"1","TPT1","false","TPT1"
"116","OPA1","false","OPA1"
"116","GDAP1","false","GDAP1"
"116","TOMM7","false","TOMM7"
"116","TOMM20A","false","TOMM20A"
"305","TOM1L1","false","TOM1L1"
"135","CXORF56","false","CXORF56"
"135","RBM27","false","RBM27"
"58","TMEM63B","false","TMEM63B"
"382","TMEM147","false","TMEM147"
"27","TIMP3","false","TIMP3"
"83","RABL3","false","RABL3"
"27","STEAP3","false","STEAP3"
"5","DDRGK1","false","DDRGK1"
"5","CDK5RAP3","false","CDK5RAP3"
"27","NSUN4","false","NSUN4"
"27","MOSPD1","false","MOSPD1"
"27","JPH1","false","JPH1"
"27","QPCTL","false","QPCTL"
"27","TMEM251","false","TMEM251"
"27","PARP16","false","PARP16"
"27","DPM1","false","DPM1"
"152","MAGI1","false","MAGI1"
"183","VPS16","false","VPS16"
"183","VPS11","false","VPS11"
"183","TGFBRAP1","false","TGFBRAP1"
"66","IREB2","false","IREB2"
"85","TAF4B","false","TAF4B"
"85","BTAF1","false","BTAF1"
"85","TAF1;TAF1L","false","TAF1;TAF1L"
"85","DRAP1","false","DRAP1"
"85","TAF1A","false","TAF1A"
"85","TAF7","false","TAF7"
"85","GTF2A1","false","GTF2A1"
"85","TBP","false","TBP"
"85","TAF3","false","TAF3"
"383","TARDBP","false","TARDBP"
"384","HIST1H2AJ;HIST1H2AH;HIST1H2AD;HIST1H2AG;H2AFJ","false","HIST1H2AJ;HIST1H2AH;HIST1H2AD;HIST1H2AG;H2AFJ"
"85","TAF6","false","TAF6"
"32","TAF10","false","TAF10"
"85","TAF5","false","TAF5"
"245","TAF4","false","TAF4"
"245","TAF1","false","TAF1"
"385","SEL1L","false","SEL1L"
"385","SYVN1","false","SYVN1"
"58","SYNE3","false","SYNE3"
"40","SVIP","false","SVIP"
"83","SEMG2","false","SEMG2"
"83","OSBPL6","false","OSBPL6"
"386","STX3","false","STX3"
"386","STXBP2","false","STXBP2"
"387","STX2","false","STX2"
"117","TBC1D20","false","TBC1D20"
"83","STX16","false","STX16"
"60","ATP9A","false","ATP9A"
"83","STX16;STX16-NPEPL1","false","STX16;STX16-NPEPL1"
"96","RASSF2","false","RASSF2"
"96","S100A7","false","S100A7"
"96","RASSF3","false","RASSF3"
"96","RASSF4","false","RASSF4"
"96","RASSF5;FLJ00186","false","RASSF5;FLJ00186"
"96","RASSF1","false","RASSF1"
"96","RASSF6","false","RASSF6"
"96","MAP1S","false","MAP1S"
"246","MOB2","false","MOB2"
"246","STK38L","false","STK38L"
"246","MOB1A;MOB1B","false","MOB1A;MOB1B"
"55","SIKE1","false","SIKE1"
"55","PTPN13","false","PTPN13"
"55","PPP2CA;PPP2CB","false","PPP2CA;PPP2CB"
"55","MANF","false","MANF"
"55","STK25","false","STK25"
"55","ZNF569","false","ZNF569"
"55","STK24","false","STK24"
"247","STRADB","false","STRADB"
"247","STK11","false","STK11"
"247","CAB39","false","CAB39"
"209","CCDC117","false","CCDC117"
"306","STIM2","false","STIM2"
"307","STAG1","false","STAG1"
"18","WDHD1","false","WDHD1"
"18","TBL1X","false","TBL1X"
"18","CHD1","false","CHD1"
"18","CHD2","false","CHD2"
"18","PRIM2","false","PRIM2"
"18","POLA2","false","POLA2"
"18","POLA1","false","POLA1"
"18","SETD5","false","SETD5"
"18","TIPIN","false","TIPIN"
"18","DSCC1","false","DSCC1"
"18","GINS3","false","GINS3"
"18","SCAF1","false","SCAF1"
"18","UPF3A","false","UPF3A"
"388","TRIM33","false","TRIM33"
"18","TIMELESS","false","TIMELESS"
"18","GINS2","false","GINS2"
"18","BRWD1","false","BRWD1"
"18","DROSHA","false","DROSHA"
"18","POLD3","false","POLD3"
"18","REXO1","false","REXO1"
"18","HDGFRP2","false","HDGFRP2"
"18","ZFP62","false","ZFP62"
"18","SETX","false","SETX"
"18","SPTY2D1","false","SPTY2D1"
"47","TRMT10C","false","TRMT10C"
"47","TSEN2","false","TSEN2"
"40","NPLOC4","false","NPLOC4"
"47","RPP38","false","RPP38"
"47","TRMT5","false","TRMT5"
"47","METTL1","false","METTL1"
"47","DUS2","false","DUS2"
"47","PUS7","false","PUS7"
"47","DUS3L","false","DUS3L"
"47","TRMT61A","false","TRMT61A"
"47","TRIT1","false","TRIT1"
"47","TSEN34","false","TSEN34"
"86","U2AF1;U2AF1L4","false","U2AF1;U2AF1L4"
"308","MOSPD2","false","MOSPD2"
"308","SRPRA","false","SRPRA"
"1","GPC1","false","GPC1"
"1","C12ORF43","false","C12ORF43"
"1","GPC6","false","GPC6"
"1","MPP1","false","MPP1"
"1","MRPL11","false","MRPL11"
"1","ALDH5A1","false","ALDH5A1"
"1","TLE1;TLE4","false","TLE1;TLE4"
"1","LTN1","false","LTN1"
"1","CASK","false","CASK"
"207","FGA","false","FGA"
"389","NIPSNAP1","false","NIPSNAP1"
"187","FAM76A","false","FAM76A"
"187","ORMDL2","false","ORMDL2"
"187","MON2","false","MON2"
"187","ORMDL1","false","ORMDL1"
"187","SPTLC2","false","SPTLC2"
"14","SPOUT1","false","SPOUT1"
"210","SOX12","false","SOX12"
"211","PLIN2","false","PLIN2"
"211","SNX7","false","SNX7"
"211","NPEPPS","false","NPEPPS"
"212","OTULIN","false","OTULIN"
"212","KCTD3","false","KCTD3"
"212","SNX27","false","SNX27"
"136","SNX5","false","SNX5"
"390","SNX17","false","SNX17"
"94","SNTB2","false","SNTB2"
"136","SNX6","false","SNX6"
"136","SDF2L1","false","SDF2L1"
"8","SNUPN","false","SNUPN"
"8","LSM3","false","LSM3"
"8","FKBP10","false","FKBP10"
"8","WDR20","false","WDR20"
"8","LSM8","false","LSM8"
"47","TUT1","false","TUT1"
"8","C1ORF131","false","C1ORF131"
"8","PRPF38A","false","PRPF38A"
"8","CDC25B","false","CDC25B"
"8","WDR37","false","WDR37"
"8","IGHG1","false","IGHG1"
"8","CHEK2","false","CHEK2"
"20","PLEKHA2","false","PLEKHA2"
"8","PPIL2","false","PPIL2"
"8","PARD3B","false","PARD3B"
"8","SNRPB","false","SNRPB"
"8","MAST2","false","MAST2"
"115","HUWE1","false","HUWE1"
"8","TIAL1;TIA1","false","TIAL1;TIA1"
"8","SCAND1","false","SCAND1"
"8","SRSF4","false","SRSF4"
"8","SNIP1","false","SNIP1"
"8","KLHL8","false","KLHL8"
"135","LUC7L","false","LUC7L"
"8","RPRD1B;RPRD1A","false","RPRD1B;RPRD1A"
"8","DDX41","false","DDX41"
"8","CMTR2","false","CMTR2"
"8","ZNF207","false","ZNF207"
"8","KIN","false","KIN"
"8","KHDRBS3","false","KHDRBS3"
"309","VPS36","false","VPS36"
"309","SNF8","false","SNF8"
"102","GEMIN8","false","GEMIN8"
"102","GEMIN6","false","GEMIN6"
"102","GEMIN2","false","GEMIN2"
"102","SMN1","false","SMN1"
"310","PDS5A","false","PDS5A"
"307","STAG1;DKFZP781D1416","false","STAG1;DKFZP781D1416"
"133","USP13","false","USP13"
"87","BAP18","false","BAP18"
"43","GLTSCR1","false","GLTSCR1"
"43","BRD9","false","BRD9"
"391","SLC9A3R2","false","SLC9A3R2"
"391","PODXL","false","PODXL"
"118","SLC9A3R1","false","SLC9A3R1"
"73","DDX46","false","DDX46"
"73","ZNF592","false","ZNF592"
"73","CDC14A","false","CDC14A"
"311","SLC7A5","false","SLC7A5"
"392","SLC46A1","false","SLC46A1"
"393","ZNRF2","false","ZNRF2"
"209","SLC35B2","false","SLC35B2"
"73","SLC35B1","false","SLC35B1"
"64","SLC33A1","false","SLC33A1"
"394","SLC31A1","false","SLC31A1"
"44","SLC2A1","false","SLC2A1"
"395","SLC25A17","false","SLC25A17"
"396","SLC23A2","false","SLC23A2"
"42","SLC1A3","false","SLC1A3"
"397","SLC16A2","false","SLC16A2"
"397","ITFG3","false","ITFG3"
"398","SLC16A10","false","SLC16A10"
"74","EMB","false","EMB"
"74","CD99","false","CD99"
"74","STXBP3","false","STXBP3"
"312","SLC15A4","false","SLC15A4"
"399","SH3GLB2","false","SH3GLB2"
"399","SH3GLB1","false","SH3GLB1"
"248","SH3GL2","false","SH3GL2"
"248","SH3GL3","false","SH3GL3"
"248","SH3GL1","false","SH3GL1"
"20","IGJ;JCHAIN","false","IGJ;JCHAIN"
"32","SUPT3H","false","SUPT3H"
"32","KAT2B","false","KAT2B"
"20","TRAF7","false","TRAF7"
"32","TAF9","false","TAF9"
"32","TAF12","false","TAF12"
"20","HDGFRP3","false","HDGFRP3"
"20","SCNM1","false","SCNM1"
"8","RNPC3","false","RNPC3"
"20","ZRSR2","false","ZRSR2"
"8","SNRNP35","false","SNRNP35"
"20","ZCRB1","false","ZCRB1"
"188","CT45A3;CT45A1;CT45A2;CT45A9;CT45A8;CT45A7;CT45A10;CT45A5;CT45A6","false","CT45A3;CT45A1;CT45A2;CT45A9;CT45A8;CT45A7;CT45A10;CT45A5;CT45A6"
"20","C16ORF33;SNRNP25","false","C16ORF33;SNRNP25"
"20","RAB3IP","false","RAB3IP"
"97","MUCL1","false","MUCL1"
"97","SEPT10","false","SEPT10"
"188","SEM1","false","SEM1"
"5","ODR4","false","ODR4"
"5","TMED8","false","TMED8"
"40","UBE4A","false","UBE4A"
"5","SEC63","false","SEC63"
"5","RAD18","false","RAD18"
"40","IP6K1","false","IP6K1"
"40","UBXN4","false","UBXN4"
"83","GOLPH3","false","GOLPH3"
"5","ACBD3","false","ACBD3"
"5","SEC61A2","false","SEC61A2"
"5","UFSP2","false","UFSP2"
"19","ZC2HC1A","false","ZC2HC1A"
"5","RNH1","false","RNH1"
"20","HTATSF1","false","HTATSF1"
"400","SEC24A","false","SEC24A"
"249","PRRC1","false","PRRC1"
"116","PLGRKT","false","PLGRKT"
"401","SEC14L1","false","SEC14L1"
"153","KLHL12","false","KLHL12"
"249","SEC24C","false","SEC24C"
"117","SCFD2","false","SCFD2"
"67","RNF25","false","RNF25"
"137","SCD5","false","SCD5"
"61","SCAMP4","false","SCAMP4"
"66","SCAMP2","false","SCAMP2"
"66","APEX1","false","APEX1"
"66","CLCN3","false","CLCN3"
"6","SARS","false","SARS"
"6","AK1","false","AK1"
"6","FABP5","false","FABP5"
"6","UBE2N","false","UBE2N"
"244","NAE1","false","NAE1"
"6","PPA1","false","PPA1"
"244","UBA3","false","UBA3"
"6","FARSB","false","FARSB"
"6","PHPT1","false","PHPT1"
"6","TLN1","false","TLN1"
"6","UFC1","false","UFC1"
"6","CLIC4","false","CLIC4"
"6","SAR1B;DKFZP434B2017","false","SAR1B;DKFZP434B2017"
"6","CARHSP1","false","CARHSP1"
"6","RNPEP","false","RNPEP"
"6","PARK7","false","PARK7"
"114","AK2","false","AK2"
"6","ABHD14B","false","ABHD14B"
"6","NPEPPS;NPEPPSL1","false","NPEPPS;NPEPPSL1"
"6","GCA","false","GCA"
"6","ALDOC","false","ALDOC"
"6","ACOT7","false","ACOT7"
"6","OLA1","false","OLA1"
"6","HN1L","false","HN1L"
"6","TBCB","false","TBCB"
"6","SUCLA2","false","SUCLA2"
