,uniprot,gene_name,go_annot
10,Q9C0E8,LNPK,GO:0005654 GO:0005783 GO:0005789 GO:0007029 GO:0007596 GO:0016021 GO:0030176 GO:0032330 GO:0035115 GO:0042733 GO:0042802 GO:0046872 GO:0060173 GO:0071788 GO:0071788 GO:0098826 GO:0098826 GO:0098826 GO:0098826 GO:1903373 GO:1903373 GO:0071782 GO:0071786
11,P27816,MAP4,GO:0000226 GO:0003723 GO:0003723 GO:0005198 GO:0005515 GO:0005829 GO:0005874 GO:0005875 GO:0005886 GO:0005930 GO:0007052 GO:0014069 GO:0015630 GO:0030424 GO:0051012 GO:0051294 GO:0051294 GO:0051301 GO:0072686 GO:1902856 GO:0000226 GO:0008017 GO:0043005 GO:0031175
12,Q8IWA4,MFN1,GO:0003924 GO:0003924 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0005739 GO:0005739 GO:0005741 GO:0005741 GO:0005741 GO:0005741 GO:0008053 GO:0008053 GO:0008053 GO:0008053 GO:0010918 GO:0016021 GO:0016236 GO:0031307 GO:0042802 GO:0046039 GO:0051646 GO:0098799 GO:1990613 GO:0008053 GO:0003924 GO:0051646 GO:0031306
13,P52701,MSH6,GO:0000710 GO:0000790 GO:0003682 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005794 GO:0005829 GO:0006281 GO:0006298 GO:0006298 GO:0006298 GO:0006298 GO:0006298 GO:0006298 GO:0008340 GO:0008630 GO:0009411 GO:0016032 GO:0016446 GO:0016447 GO:0019899 GO:0030983 GO:0032301 GO:0032301 GO:0035064 GO:0043231 GO:0045190 GO:0045910 GO:0051096 GO:0097193 GO:0042803 GO:0043570 GO:0000287 GO:0000400 GO:0003690 GO:0005515 GO:0005524 GO:0016887 GO:0030983 GO:0030983 GO:0030983 GO:0032137 GO:0032137 GO:0032142 GO:0032143 GO:0032357 GO:0032357 GO:0032405 GO:0043531 GO:0030983 GO:0016447 GO:0016446 GO:0008630 GO:0032143 GO:0032300 GO:0032357 GO:0000710 GO:0032301 GO:0045910 GO:0006290 GO:0036297 GO:0006298 GO:0008094 GO:0032405
14,Q96A49,SYAP1,GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005654 GO:0005794 GO:0005829 GO:0030154 GO:0030424 GO:0030425 GO:0030426 GO:0031234 GO:0032869 GO:0036120 GO:0038203 GO:0042734 GO:0043204 GO:0045211 GO:0045600 GO:0048471 GO:0070062 GO:0071364 GO:0071902 GO:1990314
15,Q17R31,TATDN3,GO:0004518 GO:0005634 GO:0046872 GO:0090305
16,Q8NBN3,TMEM87A,GO:0005829 GO:0016021 GO:0032580 GO:0042147 GO:0016020 GO:0042147 GO:0006810 GO:0032580 GO:0005794
17,O94826,TOMM70,GO:0005515 GO:0005515 GO:0005739 GO:0005739 GO:0005741 GO:0005742 GO:0006626 GO:0008320 GO:0016020 GO:0016021 GO:0016236 GO:0070062 GO:0071806
18,P68363,TUBA1B,GO:0003725 GO:0003924 GO:0005198 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005874 GO:0005874 GO:0005881 GO:0007017 GO:0015630 GO:0030705 GO:0031625 GO:0045121 GO:0051301 GO:0071353 GO:0000278 GO:0005200 GO:0005874 GO:0000226 GO:0007017 GO:0005525 GO:0005737
19,P68371,TUBB4B,GO:0000086 GO:0003725 GO:0003924 GO:0005515 GO:0005515 GO:0005576 GO:0005634 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005856 GO:0005874 GO:0010389 GO:0035578 GO:0042267 GO:0042288 GO:0043312 GO:0051082 GO:0070062 GO:0070062 GO:0070062 GO:0097711 GO:1903561 GO:0005200 GO:0007017 GO:0000278 GO:0005525 GO:0000226 GO:0005874 GO:0005737
20,P08670,VIM,GO:0003725 GO:0005200 GO:0005212 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005777 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005844 GO:0005844 GO:0005856 GO:0005856 GO:0005882 GO:0005882 GO:0005886 GO:0005925 GO:0010977 GO:0014002 GO:0016032 GO:0016363 GO:0019221 GO:0019904 GO:0030049 GO:0031252 GO:0032967 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0043005 GO:0043488 GO:0045109 GO:0045111 GO:0045335 GO:0045727 GO:0060020 GO:0060395 GO:0070062 GO:0070062 GO:0070307 GO:0071222 GO:0071225 GO:0071346 GO:0097110 GO:0097110 GO:1990254 GO:1990904
21,Q9H9H4,VPS37B,GO:0000813 GO:0000813 GO:0000813 GO:0000813 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005768 GO:0005886 GO:0010008 GO:0010008 GO:0010008 GO:0010008 GO:0010008 GO:0010008 GO:0016197 GO:0016236 GO:0019058 GO:0030496 GO:0031902 GO:0032509 GO:0036258 GO:0039702 GO:0043657 GO:0048306 GO:0070062 GO:0070062 GO:0075733 GO:1902188 GO:1903774 GO:0043162 GO:0000813 GO:0006623 GO:0043231 GO:0006612
22,Q13740,ALCAM,GO:0001772 GO:0002250 GO:0005102 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005887 GO:0005925 GO:0007155 GO:0007157 GO:0007165 GO:0008045 GO:0009897 GO:0030424 GO:0030425 GO:0031226 GO:0031290 GO:0042802 GO:0043025 GO:0048846 GO:0070062 GO:0070062 GO:1990138 GO:0042101
23,Q8N6T3,ARFGAP1,GO:0005096 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0006888 GO:0006890 GO:0014069 GO:0015031 GO:0036498 GO:0043547 GO:0045202 GO:0046872 GO:0030100 GO:0032012 GO:0000139 GO:0005096
24,P48509,CD151,GO:0005178 GO:0005178 GO:0005178 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005604 GO:0005829 GO:0005829 GO:0005886 GO:0005925 GO:0007155 GO:0009986 GO:0016020 GO:0016032 GO:0030335 GO:0030335 GO:0031581 GO:0042098 GO:0044319 GO:0044319 GO:0045807 GO:0045807 GO:0016477 GO:0005887
25,P19022,CDH2,GO:0005509 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005737 GO:0005788 GO:0005886 GO:0005886 GO:0005886 GO:0005886 GO:0005886 GO:0005887 GO:0005911 GO:0005912 GO:0005912 GO:0005916 GO:0005925 GO:0007155 GO:0007157 GO:0008013 GO:0008013 GO:0009986 GO:0010001 GO:0014704 GO:0016323 GO:0016324 GO:0016339 GO:0016342 GO:0016477 GO:0019901 GO:0019903 GO:0021987 GO:0030027 GO:0030054 GO:0034332 GO:0042383 GO:0042802 GO:0043410 GO:0043687 GO:0044267 GO:0044331 GO:0044853 GO:0045294 GO:0045295 GO:0048854 GO:0048872 GO:0051146 GO:0051149 GO:0060019 GO:0060563 GO:0062023 GO:0070445 GO:0072659 GO:0090090 GO:0097118 GO:0097150 GO:0098609 GO:1902897 GO:2000809 GO:0030864 GO:0045177 GO:0007156 GO:0099059 GO:0005509 GO:0098742 GO:0050770 GO:0051966 GO:0007416 GO:0014069 GO:0016342 GO:0007420 GO:0014704 GO:0045296 GO:0099060 GO:0043005 GO:0005737 GO:0048514 GO:0030027
26,P49450,CENPA,GO:0000132 GO:0000281 GO:0000775 GO:0000775 GO:0000778 GO:0000780 GO:0000788 GO:0000939 GO:0003677 GO:0003682 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005634 GO:0005634 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0016032 GO:0031618 GO:0034080 GO:0046982 GO:0051382 GO:0071459 GO:0005634
27,P53621,COPA,GO:0000139 GO:0000139 GO:0000139 GO:0003729 GO:0005179 GO:0005198 GO:0005515 GO:0005615 GO:0005737 GO:0005789 GO:0005789 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0006888 GO:0006890 GO:0007165 GO:0016020 GO:0030126 GO:0030126 GO:0030133 GO:0030133 GO:0030133 GO:0030133 GO:0030133 GO:0030133 GO:0030157 GO:0030426 GO:0070062 GO:0099612 GO:1902463 GO:0006891 GO:0006886 GO:0006890 GO:0006888 GO:0030126
28,O14579,COPE,GO:0000139 GO:0000139 GO:0000139 GO:0005198 GO:0005515 GO:0005515 GO:0005515 GO:0005654 GO:0005789 GO:0005789 GO:0005794 GO:0005794 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0005829 GO:0006888 GO:0006890 GO:0006891 GO:0015031 GO:0030126 GO:0030133 GO:0030133 GO:0030133 GO:0030133 GO:0030133 GO:0030133 GO:0006888 GO:0006891 GO:0030126
