gene_name,ensg_id,,uniprot_id,is_rna_bp,is_dna_bp,is_xna_bp
A1BG,ENSG00000121410,,P04217,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
A1CF,ENSG00000148584,,Q9NQ94,RNA_BP,NOT_DNA_BP,xNA_BP
A2M,ENSG00000175899,,P01023,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
A2ML1,ENSG00000166535,,A8K2U0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
A3GALT2,ENSG00000184389,,U3KPV4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
A4GALT,ENSG00000128274,,Q9NPC4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
A4GNT,ENSG00000118017,,Q9UNA3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AAAS,ENSG00000094914,,Q9NRG9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AACS,ENSG00000081760,,Q86V21,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AADAC,ENSG00000114771,,P22760,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AADACL2,ENSG00000197953,,Q6P093,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AADACL3,ENSG00000188984,,Q5VUY0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AADACL4,ENSG00000204518,,Q5VUY2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AADAT,ENSG00000109576,,Q8N5Z0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AAGAB,ENSG00000103591,,Q6PD74,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AAK1,ENSG00000115977,,Q2M2I8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AAMDC,ENSG00000087884,,Q9H7C9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AAMP,ENSG00000127837,,Q13685,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AANAT,ENSG00000129673,,Q16613,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AAR2,ENSG00000131043,,Q9Y312,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AARD,ENSG00000205002,,Q4LEZ3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AARS1,ENSG00000090861,,P49588,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AARS2,ENSG00000124608,,Q5JTZ9,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AARSD1,ENSG00000266967,,Q9BTE6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AASDH,ENSG00000157426,,Q4L235,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AASDHPPT,ENSG00000149313,,Q9NRN7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AASS,ENSG00000008311,,Q9UDR5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AATF,ENSG00000275700,,Q9NY61,RNA_BP,NOT_DNA_BP,xNA_BP
AATK,ENSG00000181409,,Q6ZMQ8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABAT,ENSG00000183044,,P80404,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA1,ENSG00000165029,,O95477,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA10,ENSG00000154263,,Q8WWZ4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA12,ENSG00000144452,,Q86UK0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA13,ENSG00000179869,,Q86UQ4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA2,ENSG00000107331,,Q9BZC7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA3,ENSG00000167972,,Q99758,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA4,ENSG00000198691,,P78363,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA5,ENSG00000154265,,Q8WWZ7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA6,ENSG00000154262,,Q8N139,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA7,ENSG00000064687,,Q8IZY2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA8,ENSG00000141338,,O94911,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCA9,ENSG00000154258,,Q8IUA7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB1,ENSG00000085563,,P08183,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB10,ENSG00000135776,,Q9NRK6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB11,ENSG00000276582,,O95342,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB4,ENSG00000005471,,P21439,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB5,ENSG00000004846,,Q2M3G0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB6,ENSG00000115657,,Q9NP58,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB7,ENSG00000131269,,O75027,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB8,ENSG00000197150,,Q9NUT2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCB9,ENSG00000150967,,Q9NP78,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC1,ENSG00000278183,,P33527,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC10,ENSG00000124574,,Q5T3U5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC11,ENSG00000121270,,Q96J66,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC12,ENSG00000140798,,Q96J65,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC2,ENSG00000023839,,Q92887,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC3,ENSG00000108846,,O15438,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC4,ENSG00000125257,,O15439,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC5,ENSG00000114770,,O15440,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC6,ENSG00000091262,,O95255,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC8,ENSG00000006071,,Q09428,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCC9,ENSG00000069431,,O60706,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCD1,ENSG00000101986,,P33897,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCD2,ENSG00000173208,,Q9UBJ2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCD3,ENSG00000117528,,P28288,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCD4,ENSG00000119688,,O14678,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCE1,ENSG00000164163,,P61221,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCF1,ENSG00000231129,,Q8NE71,RNA_BP,NOT_DNA_BP,xNA_BP
ABCF2,ENSG00000033050,,Q9UG63,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCF3,ENSG00000161204,,Q9NUQ8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCG1,ENSG00000160179,,P45844,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCG2,ENSG00000118777,,Q9UNQ0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCG4,ENSG00000172350,,Q9H172,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCG5,ENSG00000138075,,Q9H222,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABCG8,ENSG00000143921,,Q9H221,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD1,ENSG00000143994,,Q96SE0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD10,ENSG00000144827,,Q9NUJ1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD11,ENSG00000106077,,Q8NFV4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD12,ENSG00000100997,,Q8N2K0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD12B,ENSG00000131969,,Q7Z5M8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD13,ENSG00000139826,,Q7L211,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD14A,ENSG00000248487,,Q9BUJ0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD14B,ENSG00000114779,,Q96IU4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD15,ENSG00000168792,,Q6UXT9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD16A,ENSG00000204427,,O95870,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD16B,ENSG00000183260,,Q9H3Z7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD17A,ENSG00000129968,,Q96GS6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD17B,ENSG00000107362,,Q5VST6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD17C,ENSG00000136379,,Q6PCB6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD18,ENSG00000164074,,Q0P651,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD2,ENSG00000140526,,P08910,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD3,ENSG00000158201,,Q8WU67,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
