gene_name,ensg_id,,uniprot_id,is_rna_bp,is_dna_bp,is_xna_bp
ABHD4,ENSG00000100439,,Q8TB40,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD5,ENSG00000011198,,Q8WTS1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD6,ENSG00000163686,,Q9BV23,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABHD8,ENSG00000127220,,Q96I13,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABI1,ENSG00000136754,,Q8IZP0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABI2,ENSG00000138443,,Q9NYB9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABI3,ENSG00000108798,,Q9P2A4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABI3BP,ENSG00000154175,,Q7Z7G0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABITRAM,ENSG00000119328,,Q9NX38,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABL1,ENSG00000097007,,P00519,NOT_RNA_BP,DNA_BP,xNA_BP
ABL2,ENSG00000143322,,P42684,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABLIM1,ENSG00000099204,,O14639,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABLIM2,ENSG00000163995,,Q6H8Q1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABLIM3,ENSG00000173210,,O94929,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABR,ENSG00000278741,,Q12979,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABRA,ENSG00000174429,,Q8N0Z2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABRACL,ENSG00000146386,,Q9P1F3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABRAXAS1,ENSG00000163322,,Q6UWZ7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABRAXAS2,ENSG00000165660,,Q15018,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ABT1,ENSG00000146109,,Q9ULW3,RNA_BP,DNA_BP,xNA_BP
ABTB1,ENSG00000114626,,Q969K4,RNA_BP,NOT_DNA_BP,xNA_BP
ABTB2,ENSG00000166016,,Q8N961,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC009286.3,ENSG00000281536,,A0A0G2JS06,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC011476.10,ENSG00000277629,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC011476.11,ENSG00000277824,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC011476.4,ENSG00000273506,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC011476.5,ENSG00000273916,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC011476.6,ENSG00000274053,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC011476.9,ENSG00000275822,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.10,ENSG00000274894,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.12,ENSG00000275117,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.18,ENSG00000276260,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.20,ENSG00000276421,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.23,ENSG00000277154,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.25,ENSG00000277667,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.26,ENSG00000277707,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.28,ENSG00000277953,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.29,ENSG00000277996,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.31,ENSG00000278363,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.5,ENSG00000274144,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.8,ENSG00000274651,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC012314.9,ENSG00000274873,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC068987.5,ENSG00000284730,,P0DPE3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC079341.3,ENSG00000164112,,Q4W5P6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC091057.6,ENSG00000284906,,NA,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC093323.1,ENSG00000170846,,B2RBV5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC093668.3,ENSG00000284981,,E5RIL1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC106774.8,ENSG00000284373,,A6NLC8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC116565.1,ENSG00000273238,,A0A286YF58,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC118549.1,ENSG00000036549,,Q8IYH5,NOT_RNA_BP,DNA_BP,xNA_BP
AC229888.1,ENSG00000282054,,A0A5A2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC233282.1,ENSG00000282040,,A0A1B0GX51,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC233282.2,ENSG00000282610,,A0A0J9YX75,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC233755.1,ENSG00000275063,,P0DP08,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC234301.4,ENSG00000282404,,A0A087WSY4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC234635.1,ENSG00000282353,,P0DPF7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC234635.3,ENSG00000282543,,A0A589,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC270258.1,ENSG00000284958,,A8MXU0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
AC270285.6,ENSG00000285217,,Q96NF6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAA1,ENSG00000060971,,P09110,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAA2,ENSG00000167315,,P42765,RNA_BP,NOT_DNA_BP,xNA_BP
ACACA,ENSG00000275176,,Q13085,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACACB,ENSG00000076555,,O00763,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAD10,ENSG00000111271,,Q6JQN1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAD11,ENSG00000240303,,Q709F0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAD8,ENSG00000151498,,Q9UKU7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAD9,ENSG00000177646,,Q9H845,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACADL,ENSG00000115361,,P28330,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACADM,ENSG00000117054,,P11310,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACADS,ENSG00000122971,,P16219,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACADSB,ENSG00000196177,,P45954,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACADVL,ENSG00000072778,,P49748,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAN,ENSG00000157766,,P16112,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAP1,ENSG00000072818,,Q15027,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAP2,ENSG00000114331,,Q15057,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAP3,ENSG00000131584,,Q96P50,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAT1,ENSG00000075239,,P24752,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACAT2,ENSG00000120437,,Q9BWD1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACBD3,ENSG00000182827,,Q9H3P7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACBD4,ENSG00000181513,,Q8NC06,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACBD5,ENSG00000107897,,Q5T8D3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACBD6,ENSG00000230124,,Q9BR61,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACBD7,ENSG00000176244,,Q8N6N7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACCS,ENSG00000110455,,Q96QU6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACCSL,ENSG00000205126,,Q4AC99,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACD,ENSG00000102977,,Q96AP0,NOT_RNA_BP,DNA_BP,NOT_xNA_BP
ACE,ENSG00000159640,,P12821,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACE2,ENSG00000130234,,Q9BYF1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACER1,ENSG00000167769,,Q8TDN7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACER2,ENSG00000177076,,Q5QJU3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACER3,ENSG00000078124,,Q9NUN7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACHE,ENSG00000087085,,P22303,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACIN1,ENSG00000100813,,Q9UKV3,RNA_BP,NOT_DNA_BP,xNA_BP
ACKR1,ENSG00000213088,,Q16570,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACKR2,ENSG00000144648,,O00590,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACKR3,ENSG00000144476,,P25106,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACKR4,ENSG00000129048,,Q9NPB9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACLY,ENSG00000131473,,P53396,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACMSD,ENSG00000153086,,Q8TDX5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACO1,ENSG00000122729,,P21399,RNA_BP,NOT_DNA_BP,xNA_BP
ACO2,ENSG00000100412,,Q99798,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOD1,ENSG00000102794,,A6NK06,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT1,ENSG00000184227,,Q86TX2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT11,ENSG00000162390,,Q8WXI4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT12,ENSG00000172497,,Q8WYK0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT13,ENSG00000112304,,Q9NPJ3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT2,ENSG00000119673,,P49753,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT4,ENSG00000177465,,Q8N9L9,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT6,ENSG00000205669,,Q3I5F7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT7,ENSG00000097021,,O00154,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT8,ENSG00000101473,,O14734,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOT9,ENSG00000123130,,Q9Y305,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOX1,ENSG00000161533,,Q15067,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOX2,ENSG00000168306,,Q99424,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOX3,ENSG00000087008,,O15254,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACOXL,ENSG00000153093,,Q9NUZ1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP1,ENSG00000143727,,P24666,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP2,ENSG00000134575,,P11117,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP3,ENSG00000014257,,P15309,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP4,ENSG00000142513,,Q9BZG2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP5,ENSG00000102575,,P13686,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP6,ENSG00000162836,,Q9NPH0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACP7,ENSG00000183760,,Q6ZNF0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACR,ENSG00000100312,,P10323,NOT_RNA_BP,DNA_BP,xNA_BP
ACRBP,ENSG00000111644,,Q8NEB7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACRV1,ENSG00000134940,,P26436,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSBG1,ENSG00000103740,,Q96GR2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSBG2,ENSG00000130377,,Q5FVE4,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSF2,ENSG00000167107,,Q96CM8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSF3,ENSG00000176715,,Q4G176,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSL1,ENSG00000151726,,P33121,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSL3,ENSG00000123983,,O95573,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSL4,ENSG00000068366,,O60488,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSL5,ENSG00000197142,,Q9ULC5,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSL6,ENSG00000164398,,Q9UKU0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM1,ENSG00000166743,,Q08AH1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM2A,ENSG00000183747,,Q08AH3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM2B,ENSG00000066813,,Q68CK6,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM3,ENSG00000005187,,Q53FZ2,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM4,ENSG00000215009,,P0C7M7,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM5,ENSG00000183549,,Q6NUN0,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSM6,ENSG00000173124,,Q6P461,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSS1,ENSG00000154930,,Q9NUB1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSS2,ENSG00000131069,,Q9NR19,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACSS3,ENSG00000111058,,Q9H6R3,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTA1,ENSG00000143632,,P68133,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTA2,ENSG00000107796,,P62736,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTB,ENSG00000075624,,P60709,NOT_RNA_BP,DNA_BP,xNA_BP
ACTBL2,ENSG00000169067,,Q562R1,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTC1,ENSG00000159251,,P68032,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTG1,ENSG00000184009,,P63261,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTG2,ENSG00000163017,,P63267,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTL10,ENSG00000288649,,Q5JWF8,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTL6A,ENSG00000136518,,O96019,NOT_RNA_BP,DNA_BP,xNA_BP
ACTL6B,ENSG00000077080,,O94805,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTL7A,ENSG00000187003,,Q9Y615,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTL7B,ENSG00000148156,,Q9Y614,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTL8,ENSG00000117148,,Q9H568,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTL9,ENSG00000181786,,Q8TC94,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTN1,ENSG00000072110,,P12814,RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTN2,ENSG00000077522,,P35609,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
ACTN3,ENSG00000248746,,Q08043,NOT_RNA_BP,NOT_DNA_BP,NOT_xNA_BP
