target,prey,pInt
RRS1,RPS9,0.94505648708043
RRS1,RPS18,0.995055505926325
RRS1,RPS17,0.897457879350885
RRS1,RPL13A,0.91256180685855
RRS1,FYTTD1,0.758709926972496
RRS1,RPL18A,0.92719440996101
RRS1,RBM34,0.83512018594579
RRS1,RPL37A,0.97555362865358
RRS1,RPF2,0.964542901454088
RRS1,RPL13,0.97560155265394
RRS1,TRIM71,0.996333701846645
RRS1,RBM4,0.94600070773501
RRS1,PURB,0.99817460451089
RRS1,PURA,0.849712996893479
RRS1,RPS25,0.967833427907607
RRS1,SF3B4,0.84025228662039
RRS1,SRSF4,0.77276788494072
RRS1,SRSF5,0.9983533985448
RRS1,SRSF6,0.90234554121139
RRS1,STAU1,0.94819516679051
RRS1,GLE1,0.9390013321669
RRS1,FARS2,0.84236583596489
RRS1,PRKRA,0.99866792538644
RRS1,RPS24,0.86968165722547
RRS1,RPL28,0.97419571033986
RRS1,RPL30,0.81517861667107
RRS1,RPS5,0.968775216671446
RRS1,SCAF4,0.868511803351919
RRS1,NIP7,0.788296250803678
RRS1,RPL11,0.86421484470988
RRS1,SRSF3,0.82396682628649
RRS1,RPL34,0.91485866329017
RRS1,HIST2H2AC,0.9999978219088
RRS1,RPL35A,0.785867662936445
RRS1,SRSF1,0.97158103644463
RRS1,RPS26,0.779856241824667
RRS1,FAU,0.88474706099338
RRS1,MRPL52,0.97129328421829
TPST1,HSPA5,0.99997547147481
UROD,POTEF,0.957067826592812
VASH1,HSPA8,0.863083541632849
EBNA1BP2,LYAR,0.93061222490358
EBNA1BP2,RPL4,0.90875718200261
EBNA1BP2,RPL11,0.95247454881581
EBNA1BP2,RPLP0,0.98249006572728
EBNA1BP2,RPL3,0.99782126462274
EBNA1BP2,HIST1H1A,0.99999851069384
EBNA1BP2,HIST1H1E,0.87124874088859
EBNA1BP2,MYBBP1A,0.85033714807949
EBNA1BP2,RPL26,0.82273479485482
EBNA1BP2,RPL18,0.97120982708385
EBNA1BP2,RSL1D1,0.77623691711795
EBNA1BP2,NPM1,0.82699944115998
EBNA1BP2,RPL8,0.8926953258838
EBNA1BP2,DDX21,0.97812080734352
EBNA1BP2,RPS8,0.8757109038897
EBNA1BP2,NOP2,0.94030212802086
EBNA1BP2,RPL17,0.9714299496881
EBNA1BP2,BRIX1,0.91911179158179
EBNA1BP2,RPL15,0.89579496252209
EBNA1BP2,RBM28,0.85199533070427
EBNA1BP2,RPL28,0.84984013197827
EBNA1BP2,RPS9,0.9411320380237
EBNA1BP2,RPL18A,0.77484761828952
EBNA1BP2,TPM2,0.973967424252912
EBNA1BP2,RPL7A,0.98024616919667
EBNA1BP2,RPL13,0.98260036986789
EBNA1BP2,SRSF5,0.96422647937269
EBNA1BP2,SRSF4,0.92283665158066
EBNA1BP2,RPL27A,0.96357052065536
EBNA1BP2,RPL36,0.84132407592544
EBNA1BP2,RPL30,0.96252528506137
EBNA1BP2,RPL13A,0.91220480174173
FKSG43,HSPA8,0.80790583828852
C20orf96,C1orf222,0.973929723074867
HTR1E,ATP5B,0.977080174791387
INHA,HSPA5,0.960814937641357
INHA,PDIA3,0.998509134122478
INHA,CALR,0.998286927141423
INHA,IKBKG,0.872705831147578
LMX1B,MAB21L1,0.998224507034502
LMX1B,POTEF,0.999977509922613
LMX1B,ACTB,0.831917427140427
LMX1B,PKNOX2,0.999991806874321
LMX1B,PARS2,0.899654574747621
LMX1B,LDB1,0.999999821742305
LMX1B,PBX1,0.999416033270075
LMX1B,PBX2,0.999998983528001
LMX1B,PBX3,0.999977555109863
LMX1B,MEIS1,0.999999580710686
LMX1B,MEIS2,0.999999549445947
LMX1B,SSBP2,0.99999999997865
LMX1B,SSBP4,0.99999999888316
LMX1B,SSBP3,0.99999999999254
NXF5,HSPA8,0.766505245130796
NXF5,ACTBL2,0.914264579958977
CDCA7,YWHAG,0.904264854907984
CDCA7,YWHAZ,0.921541589991001
POLE,POLE2,0.99999999990215
POPDC2,ANK2,0.972189659247291
POPDC2,TPCN1,0.980984499325195
POPDC2,ANO6,0.916803754753672
POPDC2,SLC12A9,0.767943980895751
POPDC2,RHBDD3,0.844940794892974
POPDC2,LRRC8C,0.971253501405976
PSRC1,PRMT2,0.997299947166811
RAE1,NUP98,0.913802677096688
RAE1,AGGF1,0.999970491726072
RAE1,PRIM2,0.78813180393597
RAE1,NUPL2,0.97008496781392
RAE1,BUB1B,0.99298030917468
RAE1,PRIM1,0.93960353837184
RIC3,PHB,0.995191824018734
RIC3,ERLIN2,0.962295598168933
RIC3,NCAPG2,0.843276445585499
RIC3,DNAJC11,0.767262515638214
RIC3,NCAPD3,0.873770500934327
RIC3,USP22,0.94201788719011
RIC3,HMGCR,0.874792148761157
RIC3,PHB2,0.99600168642615
RIC3,SLC30A5,0.969368530282933
RIC3,RMND1,0.939115154994932
RIC3,TAPT1,0.999998595069367
RIC3,NCAPH2,0.999451545780623
RIC3,TMUB1,0.817554771920546
RIC3,LRBA,0.823277503570579
RIC3,SLC30A6,0.994547519202129
RIC3,ATP9A,0.99770083833359
CXCR7,ATP5B,0.986026081104138
CXCR7,ATP5A1,0.983971664613601
CXCR7,ATP5D,0.758775406470338
CXCR7,ATP5O,0.8174846237559
TSSK1B,HSPA8,0.907637313785084
TSSK1B,AZI1,0.999990348054665
TSSK1B,GPHN,0.99893158148216
TSSK1B,CRYBG3,0.999998519635381
TSSK1B,GAPVD1,0.992064257098065
TSSK1B,SNX24,0.999035099074378
USP46,PHLPP1,0.999997221448198
USP46,WDR20,0.99999999999962
USP46,DMWD,0.999999680926804
USP46,WDR48,0.999870172224157
USP46,SNX6,0.998099080712729
USP46,SNX2,0.969217734538604
USP46,PHLPP2,0.999999955873494
VSX1,CSNK2A2,0.999992742455685
VSX1,CSNK2A1,0.999974184582003
VSX1,CSNK2B,0.998890644350293
VSX1,USP12,0.963722677381807
VSX1,HIST2H2AC,0.995104735489404
TOMM7,AMY2A,0.998788159308139
TOMM7,TOMM40L,0.876146615291224
ATP5ME,ATPIF1,0.82502806633292
ATP5ME,ATP5C1,0.86615913486091
ATP5ME,ATP5B,0.98899443244613
ATP5ME,ATP5H,0.911370280896494
ATP5ME,ATP5D,0.93714176892558
ATP5ME,ATP5A1,0.985306845256267
ATP5ME,ATP5F1,0.99863331130325
ATP5ME,DNAJC28,0.999999341330938
ATP5ME,ATP5J,0.99986743858499
ATP5ME,SLC19A2,0.98908991723413
ATP5ME,ATP5L,0.909927842794763
ATP5ME,ATP5O,0.90553067443145
ATP5ME,LASS2,0.83303835429028
ATP5ME,ATP8,0.998856488149441
MT2A,PLS1,0.761196438583912
MT2A,PTER,0.806280712619319
MT2A,PCDHGA5,0.999994276234148
MTCP1NB,GFER,0.7667681335655
NBR2,PITRM1,0.888896822546929
NBR2,GMIP,0.999243391059851
NBR2,EIF2C4,0.820291463231695
NDUFA1,NDUFB1,0.997573280191447
NDUFA1,NDUFV2,0.96875496570647
NDUFA1,NDUFV3,0.99999588601599
NDUFA1,ND4,0.970017467224112
NDUFA1,NDUFA7,0.99995829767479
NDUFA1,NDUFB9,0.993712378943484
NDUFA1,NDUFA3,0.759173901721776
NDUFA1,NDUFB8,0.99169645160843
NDUFA1,NDUFS4,0.999353310004643
NDUFA1,NDUFA9,0.894072920290563
NDUFA1,NDUFA12,0.999964753359905
NDUFA1,NDUFV1,0.934417768639625
NDUFA1,NDUFB3,0.98928750214316
NDUFA1,NDUFC2,0.99908806637563
NDUFA1,ND5,0.991765209085361
NDUFA1,NDUFS6,0.99859375011832
NDUFA1,NDUFB6,0.999534468739915
NDUFA1,NDUFB5,0.996854958279552
NOP10,NAF1,0.999998973994444
NOP10,YBX1,0.9663695707497
NOP10,DCAF4,0.999981280760974
NOP10,DKC1,0.99999973396993
NOP10,MYBBP1A,0.92376106564605
NOP10,WRAP53,0.99963731572155
NOP10,SRSF1,0.97908874916844
NOP10,RPS19,0.98642308672561
NOP10,KPNA1,0.81023855422608
NOP10,GAR1,0.99999417038
NOP10,SHQ1,0.999999905834724
NOP10,KRR1,0.92639098625318
NOP10,SNRNP70,0.85649397408855
NOP10,CRNN,0.831131657428468
OAZ1,YWHAG,0.7735642678375
OAZ1,ACTA2,0.988833364072792
OAZ1,LCN2,0.916743537366027
POLR2L,POLR2G,0.99988760455589
POLR2L,POLR3H,0.9999999939632
POLR2L,RPAP1,0.999258286203851
POLR2L,POLR1E,0.999997739081017
POLR2L,POLR1B,0.999554245469153
POLR2L,SERPINB8,0.987575669005611
POLR2L,SERPINB7,0.989343578795517
POLR2L,POLR1A,0.999559481250921
POLR2L,POLR3A,0.999901320765819
POLR2L,DSG1,0.891574256770596
POLR2L,RPAP2,0.999778456821178
POLR2L,HAL,0.928432843278927
POLR2L,POLR3E,0.99999900820504
POLR2L,POLR3B,0.999987636808774
POLR2L,POLR2A,0.995195867418263
POLR2L,GRINL1A,0.99998993127689
POLR2L,POLR3C,0.999995330767409
POLR2L,POLR2D,0.99995967084021
POLR2L,RPRD1B,0.99999593412144
POLR2L,RPRD1A,0.999941921802284
POLR2L,SUPT6H,0.999783444165567
POLR2L,SERPINB12,0.950260349345093
POLR2L,RPRD2,0.99996523040389
POLR2L,POLR2B,0.989647353747974
POLR2L,CRCP,0.99999497585331
POLR2L,RCCD1,0.90979531739985
POLR2L,POLR3D,0.99999979498896
POLR2L,RRN3,0.99999918834256
POLR2L,RECQL5,0.999999480355781
POLR2L,POLR2H,0.991190387676149
POLR2L,ARG1,0.83592656722845
POLR2L,GPN1,0.99993901905015
POLR2L,TWISTNB,0.991654938167042
POLR2L,POLR2J,0.99958072525566
POLR2L,TGM3,0.86036521375035
POLR2L,POLR1C,0.99866258469191
POLR2L,POF1B,0.871209900838147
POLR2L,POLR2I,0.990381977983611
POLR2L,POLR2E,0.97858538016269
POLR2L,POLR3G,0.999999969661516
POLR2L,POLR3F,0.999999563316586
POLR2L,PKP1,0.895739709108864
POLR2L,CD3EAP,0.999999187695039
POLR2L,CPA4,0.96520489169005
POLR2L,SDR9C7,0.98334829550802
POLR2L,POLR2C,0.996919143882702
POLR2L,GPN3,0.99796459634558
POLR2L,ALOX12B,0.926460881426243
POLR2L,POLR3GL,0.99999992136612
POLR2L,SERPINA12,0.939653125101136
POLR2L,CDSN,0.969932545961074
POLR2L,PLBD1,0.997633840702437
POLR2L,SERPINB13,0.932604433477251
POLR2L,SERPINB2,0.999732612105745
POLR2L,NCCRP1,0.840484576510843
POLR2L,GPN2,0.99999774422535
POLR2L,CTDP1,0.992956673470971
POLR2L,POLR1D,0.99951560186494
POLR2L,POLR2F,0.99949091518729
POLR2L,POLR3K,0.99996264658681
POLR2L,WWP2,0.89136324063847
RPS21,NME2P1,0.840883020006287
RPS21,RPSA,0.91828784173911
RPS28,RPS3,0.85840958543477
RPS28,THNSL1,0.99984350724047
RPS28,RPL31,0.88666433798226
RPS28,RPL19,0.75580718378718
SBDSP1,PDCD1LG2,0.992013638867783
SEP15,TTR,0.97553788757382
SEP15,SERPINB7,0.999518115148486
SEP15,ARG1,0.78829950573943
SEP15,SERPINA12,0.99599866836543
SEP15,CPA4,0.89615857972932
SEP15,SDR9C7,0.984141324155866
SEP15,SERPINB2,0.99327976891246
SEP15,SERPINB8,0.988973425291385
SEP15,PLBD1,0.978026382825989
SEP15,SERPINA1,0.998402537148871
SEP15,HBB,0.855255860922713
ST13,NELL2,0.998774733399364
UQCR10,UQCRB,0.99991182470451
UQCR10,UQCRC2,0.98164711084921
UQCR10,COX7A2L,0.999906908835933
UQCR10,UQCRFS1,0.85856391459725
UQCR10,CYC1,0.99753403995082
UQCR10,UQCRC1,0.993957351433304
UQCR10,PTGES2,0.94827074708541
UQCR10,UQCRQ,0.99658471345863
UQCR10,ABCB10,0.993686698334414
UQCR10,CYTB,0.999846387528386
UQCR10,UQCRH,0.99842366567506
UQCR10,COX6B1,0.945514938802122
UQCR10,TSPAN6,0.96827048518526
USMG5,PEX19,0.84744162009658
C16orf74,PPP3CC,0.988122604834414
C16orf74,ZER1,0.870650748621746
C16orf74,KLHL20,0.985371470897754
C16orf74,ADO,0.996479108493626
COX17,TTC19,0.971078308679575
COX17,SUOX,0.999142785683799
COX7C,COX6C,0.998819812641077
COX7C,UQCRC2,0.879865743413307
COX7C,COX7A2L,0.999281334049969
COX7C,COX4I1,0.959252378433374
COX7C,MYO18A,0.77471189405703
COX7C,TMBIM6,0.794615565959355
COX7C,COX5B,0.983324336254383
COX7C,COX6B1,0.99998332205915
COX7C,COX2,0.923607187537882
COX7C,UQCRB,0.857605051618151
COX7C,COX1,0.966187062809921
DEFB106A,CST6,0.862139502690124
DEFB106A,SERPINB7,0.991013817859938
DEFB106A,TGM1,0.923583140591758
DEFB106A,PCYOX1L,0.991621432630501
DEFB106A,CTSL2,0.989897960299076
DEFB106A,TMEM111,0.98393157468033
DEFB106A,RNASE7,0.834955782517668
DEFB106A,POF1B,0.862983097226173
DEFB106A,TMEM2,0.988032518186226
DEFB106A,ALOX12B,0.943089583503662
DEFB106A,CDSN,0.904182138733393
DEFB106A,IL1F7,0.987514420115622
DEFB106A,C15orf24,0.81365590604295
DEFB106A,TMEM85,0.866144610340364
DEFB106A,CES3,0.993080451675401
DEFB106A,COX4NB,0.868706645139212
DEFB123,PFDN4,0.96518217452816
DEFB123,PFDN2,0.869855939980924
DEFB123,CACNA2D2,0.810716285211613
DEFB123,CACNA2D1,0.995447659576668
DEFB123,PFDN1,0.903562105866366
DEFB123,SORL1,0.990355824358787
DEFB123,VBP1,0.837341059059841
DEFB123,PFDN5,0.899082571544169
DEFB123,COL6A2,0.91939383625332
DEFB123,PFDN6,0.908416904664516
DEFB123,TMEM67,0.944728804969686
DEFB123,LDLR,0.985607329382627
DEFB123,LRP1B,0.975426620861015
DEFB123,CTBS,0.873450486557158
DEFB123,LRP4,0.932276823622082
FAM165B,VMA21,0.965000299130688
FAM165B,ATP5B,0.923831416723039
FAM165B,TTYH3,0.754674314153658
GNG10,GNB3,0.999975654217288
GNG10,GNB1,0.995652912724871
GNG10,GNB2,0.999942434425367
GNG10,GNB4,0.999985630445462
GNG10,GNAS,0.98507652696882
GNG10,GNAI3,0.99045507334753
GNG10,GNAO1,0.820000857073676
GNG10,GNAI1,0.83084111672707
GNG10,GNAZ,0.988721834220491
GNG10,GNA11,0.998319270820025
GNG10,GNAQ,0.999861855858133
GNG10,GNA13,0.99886142668494
GNG10,PDCL,0.980526674372671
GNG5,GNAS,0.98421281918324
GNG5,GNAI3,0.99966276732617
GNG5,GNAI1,0.99549631851448
GNG5,GNAQ,0.959086055166693
GNG5,GNA13,0.98923616245165
GNG5,C9orf41,0.999999826412879
GNG5,PDCL,0.925377766638596
GNG5,GNB1,0.99996970417857
GNG5,GNB4,0.999989225415829
GNG5,GNB2,0.99998073127855
GNG5,GNB5,0.99806342678674
LENEP,RBM28,0.797271145252751
LENEP,H2AFY,0.819935674366514
LENEP,HIST1H1D,0.999999863175129
LENEP,HIST1H1C,0.999998148322961
LENEP,HIST1H1A,0.999997949301438
LENEP,CENPV,0.999968033626353
LENEP,NMNAT1,0.751453450952429
LENEP,ZNF800,0.999404253229691
LENEP,SRSF12,0.979470370972712
MRPL33,YBX1,0.99790094473335
MRPL33,MRPL12,0.9850778896906
MRPL33,MRPL45,0.798657209430332
MRPL33,MRPL9,0.756160747256669
MRPL33,MRPL39,0.770830684670553
MRPL33,MRPL10,0.98960999323173
MRPL33,MRPL24,0.889127776697235
MRPL33,MRPL50,0.99096446613583
MRPL33,MRPL22,0.798318181405017
MRPL33,MRPL27,0.849948641650393
MRPL33,MRPL47,0.9567747223248
MRPL33,ICT1,0.771647478508116
MRPL33,MRPL2,0.99360116494822
MRPL33,MRPL13,0.9996402461317
MRPL33,MRPL4,0.84603583757073
MRPL33,MRPL35,0.875677022350593
MRPL33,MRPL30,0.9999783559481
MRPL33,MRPS18A,0.857924390268266
MRPL33,MRPL42,0.91836020146273
MRPL33,MRPL20,0.83169359062402
MRPL33,MRPL18,0.99971530276866
MRPL33,MRPS30,0.99846119672585
MRPL33,MRPL23,0.86588017453225
MRPL33,MRPL51,0.996671277490349
ANAPC13,CDC16,0.999998781359524
ANAPC13,ANAPC16,0.99999903997547
ANAPC13,ANAPC4,0.999999365221883
ANAPC13,ANAPC1,0.999989726653722
ANAPC13,CDC23,0.999996684339257
ANAPC13,FZR1,0.999855551470414
ANAPC13,ANAPC2,0.999998197883483
ANAPC13,CDC26,0.999998314476361
ANAPC13,FBXO5,0.999945602083349
ANAPC13,ANAPC10,0.988341273837082
ANAPC13,ANAPC5,0.999993947247652
ANAPC13,CDC27,0.999991918902608
ANAPC13,ANAPC7,0.999288325543954
ATP6V0E1,VMA21,0.984094765173455
ATP6V0E1,ATP6V0A2,0.997961458432894
ATP6V0E1,ATP6V0A1,0.913482088310713
ATP6V0E1,ATP6AP2,0.771706282382445
ATP6V0E1,REEP5,0.811339603246777
ATP6V0E1,PIGG,0.87980656085046
ATP6V0E1,SLC7A2,0.999485351078187
ATP6V0E1,ATP6AP1,0.773868594514753
ATP6V0E1,TMEM199,0.992985626966245
ATP6V0E1,PTPRF,0.915496569053394
ATP6V0E1,CCDC115,0.998671264376036
GNG3,GNAZ,0.999793510616771
GNG3,GNA11,0.998160607371905
GNG3,GNAQ,0.999833127440072
GNG3,GNA13,0.999367199290757
GNG3,GNB1,0.976036392765119
GNG3,GNB4,0.999656775865285
GNG3,FLNC,0.987014598861023
GNG3,GNAI2,0.934570504523904
GNG3,GNAO1,0.999902488556692
GNG3,GNAT2,0.999992659004363
GNG3,GNAS,0.93559308553302
GNG3,GNAI1,0.811615183489049
GNG3,PDCL,0.755619885460209
GNG4,GNB4,0.989324107781569
GNG4,GNAS,0.9999612209975
GNG4,GNAI2,0.99997930449167
GNG4,GNAI3,0.99999930481013
GNG4,GNAI1,0.99995819498504
GNG4,GNAQ,0.856032426143303
GNG4,GNA13,0.91539236277721
GNG4,PDCL,0.906252105647296
GNG4,MOSPD2,0.987082314211956
GNG4,KCTD17,0.828387536788698
HIST1H2BJ,FGG,0.999998582084702
HIST1H2BJ,FGB,0.99999921735122
HIST1H2BJ,FGA,0.999999710237195
HIST1H2BJ,USP48,0.994018417096636
HIST1H2BJ,HBB,0.99240049056476
HIST1H2BJ,MDM2,0.758332140723471
IER3IP1,VPS13C,0.99915976409574
LSM6,LSM2,0.99970428118699
LSM6,LSM4,0.99999731911505
LSM6,NAA38,0.999472488714218
LSM6,PRPF3,0.99977176406842
LSM6,PRMT5,0.997471592940194
LSM6,TUT1,0.999995576121782
LSM6,PRPF4,0.97774660256871
LSM6,RIOK1,0.999752666726372
LSM6,SART3,0.99988549232407
LSM6,PRPF31,0.80072156080597
LSM6,MEPCE,0.999196248050898
LSM6,PATL1,0.99999976078675
LSM6,WDR77,0.937050110414969
LSM6,AKAP7,0.999995984222364
LSM6,WBP4,0.9977952255888
LSM6,LSM5,0.99999992886975
LSM6,SNRPD2,0.866041981806414
LSM6,CLNS1A,0.999995324520016
LSM6,C17orf79,0.999536061233332
LSM6,LSM1,0.9999999662952
LSM6,LSM7,0.99998803709553
LSM6,SNRPE,0.9601487324366
LSM6,LSM10,0.997911115087838
LSM6,SNRPD1,0.766860842432708
LSM6,LSM3,0.99999117718228
LSM6,SIP1,0.772773226736767
LSM6,ZNF511,0.99535310568839
MED9,STX8,0.847612752131273
MZT1,TUBGCP2,0.999452097046638
MZT1,PCNT,0.999959748561171
MZT1,TUBGCP5,0.99999976818591
MZT1,TUBGCP4,0.999958778745195
MZT1,TUBG1,0.991932134476534
MZT1,TUBGCP3,0.99996588898139
MZT1,TUBGCP6,0.999993990854612
MZT1,MZT2A,0.999994599404698
MZT1,MZT2B,0.999841669986212
MZT1,NME7,0.995239124168924
NRGN,TRIM62,0.999999990457196
NRGN,EFCAB7,0.999999918334116
NUPR1,SEMG2,0.999999233436052
NUPR1,SEMG1,0.999998084105471
C5orf46,TMBIM6,0.783112914570945
PKIG,TYMS,0.918451605918412
PKIG,PRKACG,0.826870421002943
PKIG,PRKACB,0.990140793736719
ROMO1,ERAP1,0.906252959044033
SMR3B,CRTAP,0.945604281598068
SMR3B,BCHE,0.999792942880675
SNRPG,SNRPC,0.99640766071038
SNRPG,SNRPA,0.999400670885564
SNRPG,SNRPB2,0.99941304622921
SNRPG,PDCD7,0.999987071335415
SNRPG,PRPF3,0.99950167559033
SNRPG,SF3B1,0.977218854850291
SNRPG,TOE1,0.999963083739287
SNRPG,PRPF6,0.99228941732215
SNRPG,DDX20,0.76755663306845
SNRPG,SNRNP200,0.977863193265492
SNRPG,PRPF8,0.976337655571605
SNRPG,TFIP11,0.999053999013727
SNRPG,TUT1,0.999758578955114
