target,prey,pInt
ADA,POTEF,0.999882363646109
BEND7,RPL13,0.77433552589126
BEND7,RBBP4,0.99993583309574
BEND7,RPL36,0.87181726573587
BEND7,RPL4,0.79936208909816
BEND7,RPS3,0.99897356885442
BEND7,C1QBP,0.992966076535255
BEND7,LRP4,0.999668507415908
BEND7,KPNA1,0.99997067338891
CCNI2,HSPA8,0.954254552735558
CCNI2,LARP1B,0.963663399803402
CCNI2,CDK5,0.999956445554138
CD33,SLC39A11,0.940758148905588
CD33,PEX19,0.99013564907753
CD33,CALM3,0.942766366580091
CD33,COMMD3,0.864324856695064
DRG2,HSPA8,0.890490851958304
DRG2,RWDD1,0.999999999977033
DRG2,MAPK13,0.999976600274077
FAM187B,VRK2,0.873958886386971
FAM187B,CANX,0.947075388133389
FAM187B,HSPA5,0.867363140339333
FAM187B,SPPL2B,0.873929903696391
FAM187B,SLC25A6,0.835383662415897
FAM187B,RPL23,0.97481898798803
FAM187B,TUBA1A,0.845306141219765
FAM187B,TUBA1C,0.86390041810137
FAM187B,SOAT1,0.978786636129852
FAM187B,MOSPD2,0.999859895621051
HAO1,KCNAB2,0.98973511172668
HSPBP1,HSPA8,0.98334374906507
HSPBP1,POTEF,0.825112340611164
HSPBP1,C10orf137,0.999979503288055
HSPBP1,NT5C2,0.999999991460762
HSPBP1,ELF2,0.839479088085094
KIAA0930,YWHAQ,0.99999990737763
KIAA0930,YWHAB,0.99999999448384
KIAA0930,SFN,0.904039972171397
KIAA0930,YWHAG,0.99999999899527
KIAA0930,YWHAE,0.973750417118473
KIAA0930,YWHAZ,0.99999991557147
KIAA0930,YWHAH,0.99999997182549
KIAA0930,CDK5RAP1,0.99991424093337
KIAA0930,KLHL11,0.999975785151963
KIAA0930,ATG7,0.908118374996614
KIAA0930,WRN,0.934291014744662
KIAA0930,SIRT2,0.867844016384699
KIAA1967,HSPA8,0.9492283093566
KIAA1967,KCNAB2,0.99990875484226
KIAA1967,HAO1,0.999999764471436
KIAA1967,CEP170,0.857967448110879
KIAA1967,TUBB3,0.95146599533602
KIAA1967,TUBB8,0.90227237832337
KIAA1967,MCC,0.90187776469842
LPGAT1,POTEF,0.999832085926353
LPGAT1,ACTBL2,0.830607231355067
LRRC28,HSPD1,0.999870485883042
LRRC28,HSP90AB4P,0.989950841429888
LRRC28,HSPA8,0.885314468694645
LRRC28,HSPA1L,0.789057428527953
LRRC28,CUL5,0.99999999524909
LRRC28,SUGT1,0.9992446575725
LRRC28,AMBRA1,0.99542338476993
MAGEA10,KAT2A,0.999999924262265
MAGEA10,KAT2B,0.999999921128591
MAGEA10,NCOA2,0.999999999872925
MAGEA10,CSRP2BP,0.933657938367004
MAGEA10,YEATS2,0.974346286920288
MAGEA10,MAGEA9B,0.999999633853247
MAGEA10,POTEF,0.999978727710602
MAGEA10,ACTB,0.801045575320438
MAGEA10,CUX1,0.945841921590663
MAGEA10,ANKRD32,0.999857182030799
MAGEA10,PHF8,0.999970261007971
MAGEA10,SATB2,0.988775262583713
MAGEA10,NRIP1,0.999966775997794
MAGEA10,ZZZ3,0.941898659942844
MAGEA10,RPS4X,0.787547360963424
MAGEA10,QSER1,0.99999766531712
MAGEA10,ERI1,0.999998707165333
MAGEA10,VPS37C,0.909714984105394
MAGEA10,FOXJ2,0.999999999991107
MAGEA10,PES1,0.991733542830662
MAGEA10,TADA3,0.988017246229325
MAGEA10,FAM216A,0.999999992417785
MAGEA10,PKN1,0.999329103689015
MAGEA10,POU2F1,0.999996373771473
MAGEA10,CCDC106,0.997227987285283
MAGEA10,CCHCR1,0.999777610087606
MAGEA10,CRTC3,0.999781249835867
MAGEA10,VPS72,0.788078338237836
MAPK13,POTEF,0.978821871424722
ARPC1B,ARPC2,0.998145621415209
ARPC1B,ARPC5L,0.931806567289034
ARPC1B,ARPC5,0.99398575814005
ARPC1B,ACTR2,0.989807683904992
ARPC1B,ARPC3,0.93407540030411
ARPC1B,ACTR3B,0.99997323112002
ARPC1B,ACTR3,0.99949422864283
ARPC1B,ARPC4,0.945766941272323
ARPC1B,POGK,0.999981647365169
ARPC1B,NT5C,0.99994657561379
PPID,UROD,0.997697127853362
PPM1K,DBT,0.999999952593443
PPM1K,BCKDHB,0.999978475293635
PPM1K,BCKDHA,0.999621174897851
RRS1,RPLP2,0.955546586873843
RRS1,RPLP1,0.968005289639136
RRS1,RPL4,0.99191816057887
RRS1,NCL,0.98053161548385
RRS1,YBX1,0.99365527423441
RRS1,CCDC137,0.96177121479872
RRS1,RBM28,0.90715626142837
RRS1,RPL7A,0.98257117688062
RRS1,SF3B1,0.80452617116529
RRS1,NOC4L,0.789231966657415
RRS1,RPS3A,0.97314755173287
RRS1,RPS14,0.95449771909913
RRS1,RPS10,0.9642452812014
RRS1,RPS2,0.98289520839917
RRS1,FTSJ3,0.927048746013475
RRS1,RPS3,0.99426259866943
RRS1,ILF3,0.85341451511711
RRS1,DDX21,0.98791286183274
RRS1,RPLP0,0.99761696712322
RRS1,RPL3,0.99290302605114
RRS1,SRPK2,0.97160452220081
RRS1,DHX30,0.869761273704544
RRS1,RPL6,0.94800987063648
RRS1,HIST1H1E,0.81701369307051
RRS1,HP1BP3,0.81873418556455
RRS1,DHX57,0.846223474907566
RRS1,RPS16,0.993555099344142
RRS1,MYBBP1A,0.97302750446463
RRS1,U2AF2,0.94382116298457
RRS1,APOBEC3C,0.87594990795268
RRS1,RBM19,0.86075737641514
RRS1,ZCRB1,0.9356914995888
RRS1,RPL18,0.98702626430727
RRS1,RPL8,0.96444929855605
RRS1,ZC3HAV1,0.9233001805156
RRS1,GRSF1,0.785015034983943
RRS1,RSL1D1,0.83088706490775
RRS1,MRPS34,0.800636441029293
RRS1,DAP3,0.811665266872526
RRS1,RPL14,0.83074348705013
RRS1,NPM1,0.98321908184993
RRS1,GTPBP4,0.843939437640029
RRS1,RRP1B,0.769135713164577
RRS1,RPS6,0.80576696197654
RRS1,NOP2,0.87808479798956
RRS1,MRPS7,0.801750795337301
RRS1,RPS20,0.952607886095779
RRS1,GLTSCR2,0.89184899420767
RRS1,RPS19,0.9829421555
RRS1,MKI67IP,0.93379952735849
RRS1,ABT1,0.89947847721808
RRS1,MRPS31,0.955825615172542
RRS1,RPS15,0.945876880494318
RRS1,GPATCH4,0.95145663636511
RRS1,MRPS9,0.975825771781555
RRS1,KRR1,0.9834071660226
RRS1,RPS8,0.88032260473298
RRS1,BRIX1,0.937524601800356
RRS1,BMS1,0.866987582915592
RRS1,RPL31,0.86228130806986
RRS1,ZNF512,0.78198628567313
RRS1,LYAR,0.87599285568266
RRS1,RPL17,0.940743703223
RRS1,RPSA,0.7604050963355
RRS1,RPL15,0.92218392074258
RRS1,KIAA0020,0.84091268981374
RRS1,NOC3L,0.78292130809954
RRS1,RPL23A,0.91973214624331
RRS1,RPL36,0.84772566915887
RRS1,RPS13,0.929477566114997
RRS1,RPS28,0.937663571780519
RRS1,RPL32,0.77874686859205
RRS1,NSA2,0.98565736592002
RRS1,RBMS1,0.945685754100885
RRS1,MRPS35,0.908940951999482
