,complex,gene_names
329,41,ACD
330,41,TINF2
331,41,RAD50
332,41,TERF2
333,42,LMO2
334,42,NHLH2
335,42,LDB1
336,42,BEX2
337,43,APBB1
338,43,APP
339,43,LRP1
340,44,GEMIN4
341,44,SYVN1
342,44,DERL1
343,45,SMC2
344,45,NCAPD3
345,45,NCAPH2
346,45,NCAPG2
347,45,SMC4
348,46,COG6
349,46,COG2
350,46,COG4
351,46,COG1
352,46,COG5
353,46,COG3
354,46,COG7
355,46,COG8
356,47,OGT
357,47,TRAK2
358,47,TRAK1
359,48,NDUFS8
360,48,NDUFA4
361,48,NDUFAB1
362,48,NDUFA1
363,48,NDUFS4
364,48,NDUFB5
365,48,NDUFB3
366,48,NDUFC1
367,48,NDUFA2
368,48,NDUFS5
369,48,NDUFS7
370,48,NDUFS2
371,48,NDUFS6
372,48,NDUFB1
373,48,NDUFS3
374,48,NDUFB6
375,48,NDUFA3
376,48,NDUFB4
377,48,NDUFB8
378,48,NDUFB2
379,48,NDUFA7
380,48,NDUFC2
381,48,NDUFA10
382,48,NDUFB10
383,48,MT-ND1
384,48,MT-ND2
385,48,MT-ND3
386,48,MT-ND4L
387,48,MT-ND5
388,48,MT-ND6
389,48,NDUFB7
390,48,NDUFV2
391,48,NDUFS1
392,48,NDUFV1
393,48,NDUFA8
394,48,NDUFV3
395,48,NDUFA6
396,48,NDUFA5
397,48,NDUFA9
398,48,NDUFA11
399,48,NDUFB11
400,48,NDUFA13
401,48,NDUFA12
402,48,NDUFB9
403,49,PSMB3
404,49,PSMC5
405,49,PSMD2
406,49,PSMD14
407,49,PSMC1
408,49,PSMB4
409,49,PSMD10
410,49,PSMA1
411,49,PSMD3
412,49,PSMA6
413,49,PSMD4
414,49,PSMD6
415,49,PSMD11
416,49,PSMD5
417,49,PSMC3
418,49,PSMA3
419,49,PSMA4
420,49,PSME3
421,49,PSMD7
422,49,PSMC4
423,49,PSMC2
424,49,PSMA5
425,49,PSMB2
426,49,PSMD12
427,49,PSMB6
428,49,PSMD13
429,49,PSME2
430,49,PSMD9
431,49,PSMC6
432,49,PSMD1
433,49,PSMA7
434,49,PSMA2
435,49,PSMB7
436,49,PSMB1
437,49,PSME1
438,49,PSMB5
439,49,PSMD8
440,50,CYFIP1
441,50,ABI1
442,50,BRK1
443,50,NCKAP1
444,50,WASF2
445,51,BUB3
446,51,BUB1B
447,51,CDC20
448,51,MAD2L1
449,52,BRCA1
450,52,POLR2A
451,52,BARD1
452,53,CSTF3
453,53,CSTF2
454,53,CSTF1
455,53,BRCA1
456,53,BARD1
457,54,BRCA1
458,54,BACH1
459,54,BARD1
460,55,BRCA1
461,55,BRCA2
462,55,BARD1
463,56,BRCA1
464,56,UBE2D3
465,56,BARD1
466,57,BRCA1
467,57,BARD1
468,57,UBE2L3
469,58,XRCC4
470,58,LIG4
471,58,AHNAK
472,59,XRCC4
473,59,LIG4
474,59,PNKP
475,60,NHEJ1
476,60,XRCC4
477,60,LIG4
478,61,ASB2
479,61,ASB12
480,61,CUL5
481,61,ASB7
482,61,ASB6
483,61,TCEB2
484,61,TCEB1
485,61,ASB1
486,61,RNF7
487,62,RBX1
488,62,TCEB1
489,62,TCEB2
490,62,CUL5
491,62,WSB1
492,63,RBX1
493,63,CUL1
494,63,CAND1
495,64,NPM1
496,64,HUWE1
497,64,CDKN2A
498,65,RBX1
499,65,CUL2
500,65,CAND1
501,66,RBX1
502,66,CUL3
503,66,CAND1
504,67,RBX1
505,67,CUL4A
506,67,CAND1
507,68,RBX1
508,68,CUL4B
509,68,CAND1
510,69,RBX1
511,69,SKP1
512,69,NEDD8
513,69,SMAD3
514,69,CUL1
515,69,BTRC
516,70,SKP1
517,70,NFKBIA
518,70,CUL1
519,70,FBXW11
520,70,BTRC
521,70,RBX1
522,71,MED14
523,71,MED24
524,71,MED6
525,71,CCNC
526,71,CDK8
527,71,MED21
528,71,MED1
529,71,MED31
530,72,MED6
531,72,MED14
532,72,MED23
533,72,MED10
534,72,MED21
535,72,CCNC
536,72,CDK8
537,73,MED6
538,73,MED14
539,73,MED13L
540,73,MED17
541,73,MED19
542,73,MED23
543,73,MED15
544,73,MED29
545,73,OPA1
546,73,CDK8
547,73,MED18
548,73,MED25
549,73,MED12
550,73,MED26
551,73,MED31
552,73,MED28
553,73,MED20
554,73,MED27
555,73,MED10
556,73,MED1
557,73,MED21
558,73,MED30
559,73,MED22
560,73,MED4
561,73,MED13
562,73,MED24
563,73,MED9
564,73,MED16
565,73,MED8
566,73,CDK19
567,73,MED7
568,73,CCNC
569,73,MED11
570,74,MED6
571,74,MED14
572,74,MED17
573,74,RXRB
574,74,MED23
575,74,MED15
576,74,ACAD8
577,74,CDK8
578,74,MED25
579,74,MED12
580,74,MED26
581,74,CCNC
582,74,MED1
583,74,MED21
584,74,MED4
585,74,MED13
586,74,MED24
587,74,MED16
588,74,MED8
589,74,VDR
590,74,MED7
591,75,SMARCA5
592,75,POLE3
593,75,CHRAC1
594,75,BAZ1A
595,76,BRCA1
596,76,RBBP8
597,76,ZNF350
598,77,RALBP1
599,77,CDK1
600,77,CCNB1
601,78,FANCG
602,78,RPA2
603,78,MLH1
604,78,FANCF
605,78,FANCM
606,78,BLM
607,78,TOP3A
608,78,RPA3
609,78,RPA1
610,78,RMI1
611,78,FANCL
612,78,FANCB
613,78,FANCA
614,78,FAAP100
615,78,FANCE
616,78,FANCC
617,79,FANCG
618,79,FANCF
619,79,FANCM
620,79,FAAP24
621,79,FANCL
622,79,FANCB
623,79,RMI1
624,79,FAAP100
625,79,FANCA
626,79,FANCE
627,79,FANCC
628,80,MLH1
629,80,BLM
630,80,TOP3A
631,80,RMI1
632,81,AP2A1
633,81,CCNB1
634,81,NUMB
635,81,RALBP1
636,81,EPN1
637,82,RAD51D
638,82,BLM
639,82,XRCC2
640,83,BRD4
641,83,RAD17
642,83,RFC5
643,83,RFC2
644,83,RFC3
645,83,CHTF18
646,83,PCNA
647,83,RFC4
648,83,RFC1
649,84,RAD9A
650,84,RAD1
651,84,FEN1
652,84,POLB
653,84,RHNO1
654,84,APEX1
655,84,LIG1
656,84,HUS1
657,85,GAPDH
658,85,HMGB1
659,85,HSPA8
660,85,HMGB2
661,85,PDIA3
662,86,RAD21
663,86,SMARCA5
664,86,MTA2
665,86,MBD3
666,86,RBBP4
667,86,CHD3
668,86,MTA1
669,86,HDAC1
670,86,SMC1A
671,86,RBBP7
672,86,STAG2
673,86,STAG1
674,86,HDAC2
675,86,BAZ1A
676,86,MBD2
677,86,SMC3
678,87,MLH1
679,87,PMS1
680,87,PCNA
681,88,MLH1
682,88,MSH6
683,88,PMS2
684,88,PCNA
685,88,PMS1
686,88,MSH2
687,89,PCNA
688,89,POLD1
689,89,POLD2
690,89,POLD3
691,89,POLD4
692,90,APEX1
693,90,STAT3
694,90,HIF1A
695,90,CITED1
696,91,MED6
697,91,MED14
698,91,MED17
699,91,MED23
700,91,NCOA1
701,91,CDK8
702,91,MED12
703,91,CCNC
704,91,MED31
705,91,ESR2
706,91,EP300
707,91,THRAP3
708,91,MED20
709,91,MED27
710,91,MED10
711,91,MED1
712,91,MED21
713,91,MED4
714,91,MED13
715,91,MED24
716,91,MED16
717,91,ESR1
718,91,THRA
719,91,MED7
720,92,ACTL6A
721,92,TCF3
722,92,INO80D
723,92,NFRKB
724,92,INO80C
725,92,INO80E
726,92,MCRS1
727,92,INO80B
728,92,ACTR8
729,92,ACTR5
730,92,INO80
731,92,RUVBL2
732,92,RUVBL1
733,93,ZNHIT1
734,93,YEATS4
735,93,ACTL6A
736,93,H2AFZ
737,93,VPS72
738,93,SRCAP
739,93,EAF2
740,93,ACTR6
741,93,RUVBL2
742,93,RUVBL1
743,94,RPS21
744,94,RPS4X
745,94,RPS8
746,94,RPS29
747,94,RPS19
748,94,RPS14
749,94,RPS13
750,94,RPS20
751,94,RPS10
752,94,RPS23
753,94,RPS9
754,94,RPS7
755,94,RPS5
756,94,RPS15
757,94,RPS27
758,94,RPS25
759,94,FAU
760,94,RPS26
761,94,RPS6
762,94,RPS24
763,94,RPS28
764,94,RPS11
765,94,RPS3
766,94,RPS17
767,94,RPS3A
768,94,RPS4Y1
769,94,RPS16
770,94,RPS27A
771,94,RPSA
772,94,RPS15A
773,94,RPS18
774,94,RPS2
775,94,RPS12
776,95,RPLP1
777,95,RPLP2
778,95,RPLP0
779,95,RPS17
780,95,RPSA
781,95,RPS2
782,95,RPL35A
783,95,RPL7
784,95,RPL17
785,95,RPS4Y1
786,95,RPS3
787,95,RPS12
788,95,RPL13
789,95,RPL10
790,95,RPL12
791,95,RPL9
792,95, RPL9
793,95,RPL22
794,95,RPL4
795,95,RPS19
796,95,RPL3
797,95,RPL13A
798,95,RPS27
799,95,RPL35
800,95,RPL27A
801,95,RPL5
802,95,RPL21
