,target,prey,confidence
161,SNW1,PPIL1,B
162,KIFC1,MRPL48,B
163,KIFC1,ENY2,B-
164,KIFC1,CDK11B,B
165,KIFC1,KPNA3,A+
166,KIFC1,KPNA4,A+
167,KIFC1,PHF2,B-
168,KIFC1,SF3B1,A
169,KIFC1,DNAJC8,B
170,KIFC1,MED26,B
171,KIFC1,KRT75,B-
172,KIFC1,TFRC,A-
173,KIFC1,HMGA1,B-
174,KIFC1,ELK4,A
175,KIFC1,HSPA1L,B-
176,KIFC1,NUP214,A+
177,KIFC1,RBM25,B-
178,KIFC1,NUP153,A+
179,KIFC1,RANBP2,A+
180,KIFC1,KPNA2,B+
181,KIFC1,RBM5,B
182,KIFC1,NUP98,A+
183,KIFC1,NUP107,A+
184,KIFC1,DSC1,B-
185,KIFC1,DDX42,B-
186,KIFC1,CHERP,B
187,KIFC1,CCAR1,B
188,KIFC1,NUP93,A+
189,KIFC1,NUP35,A+
190,KIFC1,PNISR,A
191,KIFC1,PCNP,B
192,KIFC1,SEH1L,A+
193,KIFC1,C3orf37,B-
194,KIFC1,SMARCD1,B-
195,KIFC1,DOCK6,A-
196,KIFC1,KIFC1,A+
197,KIFC1,CTSZ,B-
198,KIFC1,NUP50,A+
199,KIFC1,ZC3H4,B
200,KIFC1,HPS5,B-
201,KIFC1,CEPT1,B-
202,ZW10,NBAS,A+
203,ZW10,STX18,A+
204,ZW10,RNF5,B
205,ZW10,POLR3A,B
206,ZW10,SPTLC1,B-
207,ZW10,ZW10,A+
208,ZW10,ATP2B1,B
209,ZW10,KNTC1,A+
210,ZW10,BNIP1,A+
211,ZW10,RINT1,A+
212,ZW10,SCFD2,A+
213,ZW10,SCFD1,A+
214,ZW10,RACGAP1,B-
215,ZW10,ZWILCH,A+
216,ZW10,USE1,A+
217,ZW10,C19orf25,A+
218,NEK9,EML3,A+
219,NEK9,TUBA1C,A+
220,NEK9,TUBB,A
221,NEK9,EML1,A+
222,NEK9,EML2,A+
224,NEK9,UTRN,B
225,NEK9,DYNLL1,B+
226,NEK9,TUBB4B,B
227,NEK9,NBEAL1,B-
228,NEK9,STT3B,B+
229,NEK9,NEK9,A+
230,NEK9,NEK7,A+
231,NEK9,RRP36,B-
232,NEK9,EML4,A+
233,SKA1,CCDC18,B
234,SKA1,HSPD1,B
235,SKA1,SKA3,A+
236,SKA1,KIAA1967,A+
237,SKA1,SKA2;SKA2L,A+
238,SKA1,SKA1,A+
239,BUB1,EHMT2,B
240,BUB1,SEPT6,A-
241,BUB1,PEX10,B+
242,BUB1,C12orf43,B-
243,BUB1,DAPK2,B-
244,BUB1,SP110,B-
245,BUB1,TRPM7,B
246,BUB1,C1orf86;FAAP20,A
247,BUB1,RBBP8,A
248,BUB1,UBR5,B
249,BUB1,PPP6C,B-
250,BUB1,TOR1B,B-
251,BUB1,SPTLC1,B
252,BUB1,BUB1,A+
253,BUB1,BUB3,A
254,BUB1,PHLPP1,B
255,BUB1,DNAJC6,B-
256,BUB1,ZWINT,A+
257,BUB1,ARAF,B
258,BUB1,CLU,B-
259,BUB1,ALDH1B1,B+
260,BUB1,PIK3CA,A
261,BUB1,LRPPRC,B-
262,BUB1,DAP3,B-
263,BUB1,CTSC,B
264,BUB1,RAD51,A-
265,BUB1,PDE4D,B-
266,BUB1,CDC20,A-
267,BUB1,ECH1,B-
268,BUB1,RPRD2,B
269,BUB1,GPAM;RP11,B-
270,BUB1,PMF1,A+
271,BUB1,HSDL2,B
272,BUB1,PNKD,B
273,BUB1,KLHL36,B
274,BUB1,CASC5,B
275,BUB1,KAT6B,B
276,BUB1,FUBP1,B
277,BUB1,LCOR,B-
278,BUB1,FAM192A;NIP30,B-
279,BUB1,ASCC2,B
280,BUB1,HEATR1,B
281,BUB1,IMPACT,A
282,BUB1,CHMP2B,B
283,CNOT1,CNOT1,A+
284,CNOT1,CNOT8,A+
285,CNOT1,IBTK,B-
286,CNOT1,RAVER1,A+
287,CNOT1,CNOT6L,A+
288,CNOT1,FHL2,A+
289,CNOT1,SDCBP,B-
290,CNOT1,NUPL2,B-
291,CNOT1,CNOT3,A+
292,CNOT1,UBTF,B
293,CNOT1,RPS27,B
294,CNOT1,ATRX,B-
295,CNOT1,CAPZA2,A-
296,CNOT1,CAPZB,A-
297,CNOT1,TOB1,A+
298,CNOT1,CAPZA1,A
299,CNOT1,TOB2,A+
300,CNOT1,BTG3,A+
301,CNOT1,RNF219,A+
302,CNOT1,INTS5,B-
303,CNOT1,SND1,B-
304,CNOT1,ABCF1,B-
305,CNOT1,RQCD1,A+
306,CNOT1,PI4K2A,B-
307,CNOT1,TNKS1BP1,A+
308,CNOT1,CNOT10,A+
309,CNOT1,GPBP1L1,A+
310,CNOT1,AURKAIP1,B-
311,CNOT1,CNOT2,A+
312,CNOT1,AFF4,B-
313,CNOT1,CNOT7,A+
314,CNOT1,C2orf29,A+
315,CNOT1,CNOT6,A+
316,CPSF3,P4HA2,A
317,CPSF3,CPSF4,A+
318,CPSF3,P4HB,A+
319,CPSF3,P4HA1,A+
320,CPSF3,MARK3,B-
321,CPSF3,CSTF2,A+
322,CPSF3,CSTF1,A+
323,CPSF3,CPSF1,A+
324,CPSF3,CSTF3,A+
325,CPSF3,LRRC41,A
326,CPSF3,LEPRE1,C+
327,CPSF3,PKN3,B-
328,CPSF3,FIP1L1,A+
330,CPSF3,UBE3D,B-
331,CPSF3,SYMPK,A+
332,CPSF3,WDR33,A+
333,CPSF3,CSTF2T,A+
334,CPSF3,CPSF2,A+
335,CPSF3,CPSF3,A+
336,CDC26,PEX10,B
337,CDC26,ANAPC15,A+
338,CDC26,CDC27,A+
340,CDC26,BUB3,B-
341,CDC26,BUB1B,A+
342,CDC26,FDX1,A
343,CDC26,HTT,A+
344,CDC26,NEK2,A+
345,CDC26,NEK2,A
346,CDC26,CDC20,A+
347,CDC26,CDC16,A+
348,CDC26,NNT,B-
349,CDC26,GNPTAB,A
350,CDC26,ANKRD11,B
351,CDC26,UBR2,B-
352,CDC26,CDKN2A,B-
353,CDC26,CDC26,A+
354,CDC26,KIF18A,A
355,CDC26,ANAPC16,A+
356,CDC26,MRRF,B-
357,CDC26,ANAPC13,A+
358,CDC26,RBCK1,B-
359,CDC26,ANAPC1,A+
360,CDC26,EPB41L5,B
361,CDC26,KIAA1430,A+
362,CDC26,GNPTG,A+
363,CDC26,CDC23,A+
364,CDC26,ANAPC7,A+
365,CDC26,ANAPC5,A+
366,CDC26,ANAPC4,A+
367,CDC26,ANAPC2,A+
368,CDC26,FBXO5,A
369,CDC26,FZR1,A+
370,CDC26,ANAPC10,A+
371,CDC26,HPS5,B
372,UBE2K,ANXA7,B
373,UBE2K,CYHR1,A+
374,UBE2K,UBL4A,B
375,UBE2K,UBA1,A+
376,UBE2K,UBE2K,A+
377,UBE2K,RNF213,B
378,TIMELESS,C5orf44,B
379,TIMELESS,SLC43A3,B-
380,TIMELESS,GHDC,A
381,TIMELESS,SP110,B-
382,TIMELESS,TRPM7,B
383,TIMELESS,PARP1,B
384,TIMELESS,MCM3,B
385,TIMELESS,MCM7,A
386,TIMELESS,MCM2,B
387,TIMELESS,RBM10,B
388,TIMELESS,TAP2,B-
389,TIMELESS,SPTAN1,B-
390,TIMELESS,MCM6,A
391,TIMELESS,MCM10,B
392,TIMELESS,USMG5,B-
393,TIMELESS,GINS4,A+
394,TIMELESS,TIPIN,A+
395,TIMELESS,CLSPN,A+
396,TIMELESS,EPB41L5,B
397,TIMELESS,CLIP2,B
398,TIMELESS,HSPB8,B
399,TIMELESS,TIMELESS,A+
400,TIMELESS,CHMP2B,A
401,CTR9,TOX4,A+
402,CTR9,TCEB2,A
403,CTR9,POLR2B,B
404,CTR9,TCEB1,A
405,CTR9,RP11;RPP30,B
406,CTR9,TACC2,A-
407,CTR9,FN1,B
408,CTR9,ING5,B
409,CTR9,PPP2R5D,B-
410,CTR9,VEZF1,A-
411,CTR9,SUPT5H,A
412,CTR9,ELL2,B-
413,CTR9,POLR2D,A
414,CTR9,EIF4G3,A
415,CTR9,AKR7A2,B
416,CTR9,CCNT1,B-
417,CTR9,ATP9A,B-
418,CTR9,PRSS23,B
419,CTR9,NFIC,A-
420,CTR9,G6PD,B-
421,CTR9,POLR2C,A
422,CTR9,POLR2A,A-
423,CTR9,ADRBK1,B-
424,CTR9,SHMT2,B-
425,CTR9,CETN2,A-
426,CTR9,ALDH3B1,B-
427,CTR9,CDK9,B-
428,CTR9,PMS2,B
429,CTR9,ELL,B-
430,CTR9,POLR2G,A+
431,CTR9,RPP38,B
432,CTR9,FOXK2,B
433,CTR9,TCEB3,A
434,CTR9,FAM161A,B-
435,CTR9,ACTBL2,B-
436,CTR9,TJAP1,B-
437,CTR9,ACSS2,A
438,CTR9,FKBP15,B
439,CTR9,RPRD2,A+
440,CTR9,CDC73,A+
441,CTR9,CTR9,A+
442,CTR9,FGD6,B-
443,CTR9,SUPT6H,A
444,CTR9,PAF1,A+
445,CTR9,LEO1,A+
446,CTR9,DGCR8,B
447,CTR9,TMEM131,A
448,CTR9,ERGIC1,B
449,CTR9,ZFP91,B-
450,CTR9,PPP1R10,A+
451,CTR9,IWS1,A
452,CTR9,MAPKAP1,B
453,CTR9,KLF16,B
454,CTR9,ANO3,B-
455,CTR9,NDEL1,A
456,CTR9,WDR61,A+
457,CTR9,TAOK3,B
458,CTR9,AFF4,A
459,CTR9,NFS1,A-
460,LEO1,CDK2AP1,B-
461,LEO1,LMNB2,B
462,LEO1,SUPT5H,B+
463,LEO1,AKR7A2,B-
464,LEO1,POLR2C,B+
465,LEO1,POLR2G,B+
466,LEO1,TCEB3,B
467,LEO1,SETMAR,B-
468,LEO1,RPRD2,B+
469,LEO1,CDC73,A+
470,LEO1,CTR9,A+
471,LEO1,PAF1,A+
472,LEO1,LEO1,A+
473,LEO1,TOP1MT,B
474,LEO1,WDR61,A+
475,AZI1,WBP2,B-
476,AZI1,MRPS27,B-
477,AZI1,PCM1,A+
478,AZI1,WDR90,C+
479,AZI1,TTLL5,B+
480,AZI1,DPM1,B-
481,AZI1,FOPNL,C+
482,AZI1,CCDC18,B+
483,AZI1,ATP5J,B-
484,AZI1,AKR7A2,B-
485,AZI1,OFD1,A+
486,AZI1,FGFR1OP,C
487,AZI1,RBM25,B-
488,AZI1,MAP2K1,B-
490,AZI1,CSPP1,B+
491,AZI1,KIAA0753,A+
492,AZI1,C2CD3,C+
493,AZI1,CEP350,C
494,AZI1,RAB11FIP2,B-
495,AZI1,HEATR3,B-
496,AZI1,KIAA1328,C
497,AZI1,MIB1,A+
498,AZI1,AGXT2L2,B
499,AZI1,FOXRED2,B-
500,AZI1,NIN,B-
501,AZI1,PIBF1,A+
502,AZI1,YIPF5,B-
503,AZI1,WDR67,B+
504,AZI1,CCDC138,C
505,AZI1,BBS4,B+
506,AZI1,CCDC77,A+
507,AZI1,CCDC77,C
508,AZI1,KIAA1731,C+
509,AZI1,MRPL18,B-
510,AZI1,TFB2M,B-
511,AZI1,EPB41L5,B-
512,AZI1,CEP72,A+
513,AZI1,HMG2L1;HMGXB4,B
514,AZI1,SS18L2,B-
515,AZI1,AZI1,A+
517,AZI1,SSX2IP,A+
518,AZI1,MRPL11,B-
519,AZI1,CCDC61,C
520,SGOL1,TCEB1,B-
521,SGOL1,DROSHA,B-
522,SGOL1,ZNF768,B-
523,SGOL1,NCOR1,B-
524,SGOL1,DYSF,B-
525,SGOL1,ALDH1B1,A-
526,SGOL1,LIMS1,B-
527,SGOL1,CTSC,B-
528,SGOL1,SET,B-
529,SGOL1,RAD51,A-
530,SGOL1,ECH1,B-
531,SGOL1,SGOL1,A+
532,SGOL1,SUPT6H,B-
533,SGOL1,CHD1L,B-
534,SGOL1,UBR2,B-
535,SGOL1,KLHL36,B-
536,SGOL1,RB1CC1,B-
537,SGOL1,KAT6B,A
538,SGOL1,KIF2C,A+
539,SGOL1,HNRNPAB,B-
540,SGOL1,C2orf44,B-
541,SGOL1,IMPACT,A-
542,SGOL1,DNMT3B,B-
543,SGOL1,PFDN2,A-
544,SGOL1,HPS5,A-
545,SGOL1,CHMP2B,B-
546,SNRNP70,APOBEC3B,B
547,SNRNP70,SNRPD3,A+
548,SNRNP70,STRAP,A+
549,SNRNP70,ZNF668,B
550,SNRNP70,SMN1,A
551,SNRNP70,GEMIN2,A+
552,SNRNP70,CAPN1,B
553,SNRNP70,SNRNP70,A+
554,SNRNP70,SNRPC,B+
555,SNRNP70,TXN,A+
556,SNRNP70,SNRPB,B+
557,SNRNP70,GEMIN4,A
558,SNRNP70,SNRPF,B+
559,SNRNP70,SNRPG,B+
560,SNRNP70,SNRPD1,B+
561,SNRNP70,SNRPD2,A+
562,SNRNP70,LSM11,A+
563,SNRNP70,RPRD2,B
564,SNRNP70,PKN3,B
565,SNRNP70,GEMIN5,A+
566,SNRNP70,GEMIN6,A+
567,SNRNP70,TAF15,B+
568,SNRNP70,ZNF503,B-
569,SNRNP70,TOE1,A+
570,SNRNP70,PHAX,A+
571,SNRNP70,GEMIN7,A+
572,SNRNP70,GEMIN8,A+
573,SNRNP70,DKFZp686H07112;DKFZp781C1855;KLHL8,A+
574,SNRNP70,DDX20,A+
575,SNRNP70,ABT1,B
576,KIFC1,CAPG,B
579,KIFC1,ANXA1,B
580,KIFC1,RANGAP1,A+
585,KIFC1,KPNB1,A+
586,KIFC1,ARHGEF2,B-
587,KIFC1,CIAPIN1,B
588,KIFC1,LCOR,B-
591,ITSN2,EIF3EIP;EIF3L,A-
592,ITSN2,EIF3H;EIF3S3,A-
593,ITSN2,EIF3F,A-
594,ITSN2,EIF3C;EIF3CL,A-
595,ITSN2,SF1,A-
596,ITSN2,EIF3G,A-
597,ITSN2,DBI,B-
598,ITSN2,CSNK2A2,B-
599,ITSN2,SHMT2,B-
600,ITSN2,EIF3B,A-
601,ITSN2,EIF3E,A-
602,ITSN2,GOLGA3,A-
603,ITSN2,EIF3I,A-
604,ITSN2,EIF3A,A-
605,ITSN2,HIST2H2AA3;HIST2H2AC,B-
606,ITSN2,DKFZp686E14208;MKNK1,B-
607,ITSN2,ZMAT3,B-
608,ITSN2,ITSN2,A+
609,ITSN2,BCCIP,B-
610,MKLN1,CEP192,B-
611,MKLN1,NNT,B-
612,MKLN1,NAB1,B-
613,MKLN1,RANBP9,A+
614,MKLN1,DKFZp686E14208;MKNK1,B-
615,MKLN1,GID8,A+
616,MKLN1,MKLN1,A+
617,TNPO1,CCHCR1,B-
618,TNPO1,ZNF281,B-
619,TNPO1,YME1L1,A+
620,TNPO1,MRPS27,B
621,TNPO1,ATP1A1,B
622,TNPO1,ZNF768,B
623,TNPO1,ESYT2,B+
624,TNPO1,SLC27A2,A+
625,TNPO1,SPTLC1,B+
626,TNPO1,TGFB1I1,B+
627,TNPO1,ATP5H,B
628,TNPO1,ATP5L,B+
629,TNPO1,PYGB,A+
630,TNPO1,ATP5F1,B+
631,TNPO1,ADRBK1,B
632,TNPO1,SHMT2,B
633,TNPO1,DNM2,B
634,TNPO1,ALDH3A2,A+
635,TNPO1,HADHB,B
636,TNPO1,SEC61B,B
637,TNPO1,PCID2,B+
638,TNPO1,FAM83B,A
639,TNPO1,ATAD3B,B
640,TNPO1,DDX54,B+
641,TNPO1,SLC38A5,A+
642,TNPO1,TNPO1,A+
643,TNPO1,YIPF5,B+
644,TNPO1,TOP1MT,B
645,TNPO1,CCDC47,B+
646,TNPO1,CCDC101,B
647,TNPO1,CLPTM1L,B+
648,TNPO1,LYST,B-
649,TNPO1,CHCHD6,B+
650,TNPO1,RTKN,A
651,TNPO1,TMEM43,B
652,TNPO1,KLF16,B
653,TNPO1,TFB2M,B+
654,TNPO1,PDF,A
655,TNPO1,NDUFB11,B
656,TNPO1,CNTLN,B-
657,TNPO1,SUCLA2,A
658,TNPO1,ATXN10,B
659,TNPO1,BAIAP2L1,B+
660,TNPO1,MRPL11,B+
661,TNPO1,AFG3L2,B+
662,TNPO1,SRPRB,A+
663,TNPO1,IVNS1ABP,B+
664,PRKCI,PRR3,B-
665,PRKCI,RASAL2,A+
666,PRKCI,MBD4,A
667,PRKCI,LLGL2,A+
668,PRKCI,TIMM23;TIMM23B,B-
669,PRKCI,GBAS,A+
670,PRKCI,PYGB,A
671,PRKCI,ZNF3,B-
672,PRKCI,XRCC1,B-
673,PRKCI,LAMA1,B
674,PRKCI,GPC1,A+
675,PRKCI,PRKCI,A+
676,PRKCI,DNM2,B-
677,PRKCI,ALDH3A2,B+
678,PRKCI,ATP5E;ATP5EP2,B
679,PRKCI,SQSTM1,A+
680,PRKCI,KEAP1,B
681,PRKCI,LLGL1,A+
682,PRKCI,NOL8,B-
683,PRKCI,CENPV,B-
684,PRKCI,PARD3,A+
685,PRKCI,VWA9,B-
686,PRKCI,NIPSNAP1,A
687,PRKCI,PARD6B,A+
688,PRKCI,LSG1,B
689,PRKCI,TMEM165,B
690,PRKCI,PARD6A,A+
691,PRKCI,TMEM160,A+
692,PRKCI,MRPL11,B-
693,PRKCI,MRPS18B,B-
694,FAM134A,ABCD3,B
695,FAM134A,SLC25A19,A
696,FAM134A,ATP5J,B
697,FAM134A,SLC27A2,B-
698,FAM134A,MRPL33,B
699,FAM134A,ATP5H,A
700,FAM134A,ATP5F1,B-
701,FAM134A,ATP5A1,B
702,FAM134A,PRDX2,B-
703,FAM134A,ATP5O,B
704,FAM134A,EIF5A;EIF5AL1,B-
705,FAM134A,GOLGA3,A
706,FAM134A,CHD1L,B
707,FAM134A,FAM134A,A+
708,FAM134A,HPSE,B
709,OTUD5,HEATR7A,B
710,OTUD5,UACA,B
711,OTUD5,FMNL1,B
712,OTUD5,GOLGA4,B+
713,OTUD5,NHS,B
714,OTUD5,POGZ,A+
715,OTUD5,OTUD5,A+
716,OTUD5,EPS15L1,B-
717,CEP78,RASAL2,A+
718,CEP78,MBD4,B
719,CEP78,ING5,A
720,CEP78,CEP192,B
721,CEP78,NAP1L4;NAP1L4b,A+
722,CEP78,NAP1L1,B
723,CEP78,CIC,A
724,CEP78,FOPNL,B
725,CEP78,UBR5,A-
726,CEP78,PFKM,B-
727,CEP78,H3F3A;H3F3B;H3F3C,B-
728,CEP78,SRP19,B
729,CEP78,PYCR1,B-
730,CEP78,SQSTM1,B
731,CEP78,MVP,B+
732,CEP78,PLEC,B-
733,CEP78,PCM1,A-
734,CEP78,TSR1,B-
735,CEP78,CEP78,A+
736,CEP78,CEP350,B
737,CEP78,HUWE1,A+
738,CEP78,ERI1,B
739,CEP78,ERGIC1,B
740,CEP78,CCDC77,B-
741,CEP78,LZTS2,A
742,CEP78,KIFC3,B
743,CEP78,SENP6,B+
744,CEP78,MRPL18,A
745,CEP78,ACTR8,B-
746,CEP78,RPF1,B-
747,CEP78,RHOF,B
748,CEP78,CEP72,B-
749,CEP78,AZI1,A
750,CEP78,VPRBP,A+
751,SKP1,FBXW11,A+
752,SKP1,SKP1,A+
753,SKP1,TTC9C,A+
754,SKP1,FBXO30,A+
755,SKP1,FBXL8,A+
756,SKP1,FBXO7,C
757,SKP1,TLN2,B-
758,LLGL2,BAG6;BAT3,B-
759,LLGL2,KIAA1715;LNP,A
760,LLGL2,ATF2,A
761,LLGL2,ZNF668,B
762,LLGL2,DAPK2,B-
763,LLGL2,RBBP6,B-
764,LLGL2,SF1,B-
765,LLGL2,LLGL2,A+
766,LLGL2,DNM1L,A
767,LLGL2,CASC3,B-
768,LLGL2,KIAA0556,B-
769,LLGL2,SVIL,B-
770,LLGL2,CCNB1,A-
771,LLGL2,PRKCI,A+
772,LLGL2,MTOR,B-
773,LLGL2,ALDH18A1,B
774,LLGL2,ST5,B-
775,LLGL2,BPTF,B-
776,LLGL2,MAP3K1,A
777,LLGL2,NOLC1,B
778,LLGL2,ZNHIT3,B-
779,LLGL2,TAF9,B-
780,LLGL2,RBM26,B-
781,LLGL2,RNF20,B-
782,LLGL2,FMN1,A
783,LLGL2,FIP1L1,B-
784,LLGL2,C11orf57,B-
785,LLGL2,ZC3H3,B-
786,LLGL2,PHACTR4,A
787,LLGL2,ABCA7,B+
788,LLGL2,CD99L2,B-
789,LLGL2,PALLD,B-
790,LLGL2,PHF21A,B
791,LLGL2,ZNF707,B
792,LLGL2,GCC1,B-
793,LLGL2,IWS1,B
794,LLGL2,LYST,B-
795,LLGL2,ATP5S,B-
796,LLGL2,ECSIT,A
797,LLGL2,DKFZp686E14208;MKNK1,B-
798,LLGL2,PARD6B,A+
799,LLGL2,BHLHE41,A-
800,LLGL2,EPB41L4B,B
801,LLGL2,PARD6A,A+
802,LLGL2,BIRC6,A
803,LLGL2,IMP3,B-
804,LLGL2,IMPACT,A
805,LLGL2,HMG2L1;HMGXB4,A-
806,LLGL2,PLEKHG1,A-
807,LLGL2,EXO1,B-
808,LLGL2,VPRBP,A+
809,GJB2,SNX3,B+
810,GJB2,TFRC,A+
811,GJB2,CXCR7,A+
812,GJB2,GJB2,A+
813,GJB2,PSMD2,B-
814,GJB2,RAB11FIP2,B
815,GJB2,INADL,B-
816,GJB2,PIEZO1,A+
817,GJB2,SLC35E1,A
818,GJB2,SLC38A2,A+
819,GJB2,MUC13,B
820,GJB2,ANTXR1,B-
821,GJB2,CLSPN,B
822,GJB2,PACSIN3,B
823,ANAPC16,ANAPC15,A+
824,ANAPC16,CDC27,A+
825,ANAPC16,CDK1,A
826,ANAPC16,CCNB1,B
827,ANAPC16,RABIF,B-
828,ANAPC16,CDC20,A+
829,ANAPC16,CDC16,A+
830,ANAPC16,KANK2,B-
831,ANAPC16,CDC26,A+
832,ANAPC16,GADD45GIP1,B-
833,ANAPC16,ANAPC16,A+
834,ANAPC16,ANAPC13,C+
835,ANAPC16,ANAPC1,A+
836,ANAPC16,CDC23,A+
837,ANAPC16,ANAPC7,B+
838,ANAPC16,ANAPC5,B+
839,ANAPC16,ANAPC4,C+
840,ANAPC16,ANAPC2,B+
841,ANAPC16,FZR1,C+
842,ANAPC16,ANAPC10,C+
843,NCAPH,YME1L1,B-
844,NCAPH,DHRS2,B-
845,NCAPH,ATP5J2;PTCD1,B-
846,NCAPH,SCLY,B
847,NCAPH,SMC2,A+
848,NCAPH,ESPL1,B
849,NCAPH,NCAPH,A+
850,NCAPH,NCAPD2,A+
851,NCAPH,MTHFD1L,A
852,NCAPH,UTP15,B-
853,NCAPH,SRPK1,B-
854,NCAPH,NCAPG,A+
855,NCAPH,MED10,A+
856,NCAPH,INO80B,B-
857,NCAPH,NAT10,B-
858,NCAPH,SMC4,A+
859,NCAPH,PFDN2,A
860,NCAPH,SLC39A10,B-
861,NCAPH,RCL1,B-
862,TTK,IBTK,B-
863,TTK,NAA50,A+
864,TTK,KIF2A,B
865,TTK,TTK,A+
