,target,prey,confidence
0,CEP135,ANXA7,B
1,CEP135,MPDZ,B-
2,CEP135,CETN3,A+
3,CEP135,RIMS1,A
4,CEP135,PCM1,A+
5,CEP135,CSPP1,A+
6,CEP135,WDR90,B
7,CEP135,TTLL5,A+
8,CEP135,COBLL1,B-
9,CEP135,C1orf86;FAAP20,A
10,CEP135,NEURL4,A+
11,CEP135,FOPNL,A+
12,CEP135,RBBP8,A
13,CEP135,CCDC18,A+
14,CEP135,CCDC14,A+
15,CEP135,SIPA1L3,B-
16,CEP135,OFD1,A+
17,CEP135,FGFR1OP,A
18,CEP135,HERC2,A
19,CEP135,APOA1,A
20,CEP135,TFRC,B
21,CEP135,DBI,B
22,CEP135,CLU,B-
23,CEP135,PRKAR2A,B
24,CEP135,TRIM27,B
25,CEP135,CETN2,B
26,CEP135,ZBED6,B
27,CEP135,GOLGB1,A
28,CEP135,PCM1,A
30,CEP135,KIAA0753,A+
31,CEP135,CCDC57,A+
32,CEP135,C2CD3,A+
33,CEP135,CEP170,B
34,CEP135,ACBD5,A
35,CEP135,CEP350,A+
36,CEP135,ZNF318,B-
37,CEP135,CEP135,A+
38,CEP135,PHLDB2,A
39,CEP135,KIAA1328,A+
40,CEP135,HEATR2,A
41,CEP135,MIB1,A+
42,CEP135,TTC9C,B
43,CEP135,DLG5,B
44,CEP135,PIBF1,A+
45,CEP135,WDR67,A
46,CEP135,HOOK2,A
47,CEP135,DOCK6,A
48,CEP135,SCLT1,A
49,CEP135,CCDC77,A+
50,CEP135,CCDC77,A
51,CEP135,KIFC3,B
52,CEP135,KIAA1731,A+
53,CEP135,C5orf42,A+
54,CEP135,SLC38A10,A
55,CEP135,MED4,B-
56,CEP135,RPRD1B,A
57,CEP135,EXOC1,A
58,CEP135,CEP72,A+
59,CEP135,WDR8;WRAP73,A+
60,CEP135,ZNF219,B-
61,CEP135,CASP8AP2,A
62,CEP135,WBP7,A
63,CEP135,AZI1,A
64,CEP135,AZI1,A+
65,CEP135,HPS5,A
66,CEP135,SSX2IP,A+
67,CEP135,CCDC61,A
68,TIPIN,SAP30BP,B
69,TIPIN,NEMF,B-
70,TIPIN,HNRNPCL1,B-
71,TIPIN,DTNB,A
72,TIPIN,YIF1A,B-
73,TIPIN,ASS1,A-
74,TIPIN,MCM3,B
75,TIPIN,TBC1D10B,B-
76,TIPIN,BCL7A,A-
77,TIPIN,SRCAP,B-
78,TIPIN,PEG10,B-
79,TIPIN,MRRF,B-
80,TIPIN,C3orf37,B-
81,TIPIN,LCOR,B-
82,TIPIN,GINS4,C+
83,TIPIN,GINS3,A+
84,TIPIN,TIPIN,A+
85,TIPIN,XRN2,B-
86,TIPIN,CLSPN,A+
87,TIPIN,ABT1,B
88,TIPIN,MAGED2,B-
89,TIPIN,TIMELESS,A+
91,TIPIN,CHMP2B,B
92,PAPSS1,MRPL48,B
93,PAPSS1,PAPSS2,A+
94,PAPSS1,TCOF1,B-
95,PAPSS1,GOLIM4,A
96,PAPSS1,PAPSS1,A+
97,PAPSS1,APOA1,A+
98,PAPSS1,TFRC,B-
99,PAPSS1,DBI,B
100,PAPSS1,CCNB1,B+
101,PAPSS1,ATP5O,B-
102,PAPSS1,RBBP4,B-
103,PAPSS1,GALNT2,B-
104,PAPSS1,NNT,B
105,PAPSS1,STK11IP,A
106,PAPSS1,TTC9C,B+
107,PAPSS1,PNISR,B
108,PAPSS1,HOOK2,A+
109,PAPSS1,SLC38A10,B-
110,PAPSS1,IARS2,B+
111,PAPSS1,EVL,A+
112,PAPSS1,CASP8AP2,A+
113,PAPSS1,CNOT6,A+
114,PAPSS1,WBP7,B+
115,PAPSS1,MAGED2,B-
116,PAPSS1,HPS5,B+
117,PAPSS1,CHMP2B,A+
118,SNW1,HOOK1,A-
119,SNW1,XAB2,B+
120,SNW1,AKR7A2,B-
121,SNW1,PLRG1,C+
122,SNW1,AQR,B+
123,SNW1,CDC40,B+
124,SNW1,SNRNP200,B+
125,SNW1,BCAS2,B+
126,SNW1,PRSS23,B-
127,SNW1,SLU7,B+
128,SNW1,SYF2,B+
129,SNW1,G6PD,A-
130,SNW1,ZBED6,B
131,SNW1,KCNAB2,A
132,SNW1,GOLGA4,B-
133,SNW1,SNW1,A+
134,SNW1,FAM50A,B+
135,SNW1,DHX8,B+
136,SNW1,ZNHIT3,A
137,SNW1,PRPF8,C+
138,SNW1,PCGF5,B-
139,SNW1,HOMER1,A
140,SNW1,ISY1;RAB43,A+
141,SNW1,CLASRP,C+
142,SNW1,C1orf52,B+
143,SNW1,CCDC12,B+
144,SNW1,RREB1,B-
145,SNW1,DGCR14,B+
146,SNW1,SNRNP40,B+
147,SNW1,SAAL1,A
148,SNW1,TOE1,C
149,SNW1,CDC5L,B+
150,SNW1,KLF16,B-
151,SNW1,CRNKL1,A+
152,SNW1,ACTL8,B-
153,SNW1,WDR26,B-
154,SNW1,TMEM165,B-
155,SNW1,HOMER3,A
156,SNW1,RBM22,C+
157,SNW1,CWC15,B+
158,SNW1,ISY1,C+
159,SNW1,PRPF19,C
160,SNW1,PPIE,C+
